mood,count
"",36
Defiant,27
Brooding,25
Empowering,23
Urgent,22
Excited,20
Defiant/Heavy Brooding,20
Heavy Brooding,20
Excited/Euphoric Energy,19
Euphoric Energy,19
Yearning,17
 Romantic,15
Urgent/Energetic Anxious,13
Energetic Anxious,13
Sensual,13
Yearning/Energetic Yearning,13
Energetic Yearning,13
Empowering/Powerful / Heroic,12
 Heroic,12
Powerful ,12
Brooding/Dreamy Brooding,11
Dreamy Brooding,11
Melancholy,10
 Defiant,10
Energizing,10
Empowering/Dramatic Emotion,9
Dramatic Emotion,9
Romantic,9
Aggressive,9
Melancholy/Wistful / Forlorn,8
 Forlorn,8
Wistful ,8
Sensual/Dreamy Pulse,8
Dreamy Pulse,8
Brooding/Energetic Melancholy,8
Energetic Melancholy,8
Somber,8
Sophisticated/Smoky / Romantic,7
Smoky ,7
Sophisticated,7
Gritty,7
Cool/Wary / Defiant,7
Wary ,7
Cool,7
Romantic/Dramatic / Romantic,7
Dramatic ,7
Urgent/Dark Pop Intensity,7
Dark Pop Intensity,7
Energizing/Edgy / Sexy,7
 Sexy,7
Edgy ,7
Peaceful,5
Gritty/Strumming Yearning,5
Strumming Yearning,5
Somber/Enigmatic / Mysterious,5
 Mysterious,5
Enigmatic ,5
Sensual/Intimate,4
Intimate,4
Brooding/Evocative / Intriguing,4
 Intriguing,4
Evocative ,4
Serious,4
Fiery,4
Rowdy,4
Aggressive/Dark Hard Beat,4
Dark Hard Beat,4
Defiant/Attitude / Defiant,3
Attitude ,3
Peaceful/Quiet / Introspective,3
 Introspective,3
Quiet ,3
Serious/Thrilling,3
Thrilling,3
Fiery/Fiery Groove,3
Fiery Groove,3
Yearning/Sensitive / Exploring,3
 Exploring,3
Sensitive ,3
Aggressive/Chaotic / Intense,2
 Intense,2
Chaotic ,2
Sentimental/Tender / Sincere,2
 Sincere,2
Tender ,2
Sentimental,2
Peaceful/Reverent / Healing,2
 Healing,2
Reverent ,2
Rowdy/Confident / Tough,2
 Tough,2
Confident ,2
Melancholy/Sad / Soulful,2
 Soulful,2
Sad ,2
Somber/Creepy / Ominous,2
 Ominous,2
Creepy ,2
Brooding/Alienated / Brooding,2
 Brooding,2
Alienated ,2
Aggressive/Aggressive Power,2
Aggressive Power,2
Defiant/Hard Positive Excitement,2
Hard Positive Excitement,2
Gritty/Sober / Determined,2
 Determined,2
Sober ,2
Easygoing/Friendly,2
Friendly,2
Easygoing,2
Defiant/Hard Dark Excitement,2
Hard Dark Excitement,2
Aggressive/Heavy Triumphant,1
Heavy Triumphant,1
Urgent/Dark Pop,1
Dark Pop,1
Energizing/Heavy Beat,1
Heavy Beat,1
Fiery/Passionate Rhythm,1
Passionate Rhythm,1
Rowdy/Driving Dark Groove,1
Driving Dark Groove,1
Romantic/Lush / Romantic,1
Lush ,1
Excited/Upbeat Pop Groove,1
Upbeat Pop Groove,1
Urgent/Dark Urgent,1
Dark Urgent,1
Energizing/Arousing Groove,1
Arousing Groove,1
Empowering/Idealistic / Stirring,1
 Stirring,1
Idealistic ,1
Sensual/Soft Soulful,1
Soft Soulful,1
Empowering/Strong / Stable,1
 Stable,1
Strong ,1
Somber/Solemn / Spiritual,1
 Spiritual,1
Solemn ,1
Serious/Serious / Cerebral,1
 Cerebral,1
Serious ,1
Romantic/Heartfelt Passion,1
Heartfelt Passion,1
Energizing/Abstract Beat,1
Abstract Beat,1
Yearning/Bittersweet Pop,1
Bittersweet Pop,1
Rowdy/Ramshackle / Rollicking,1
 Rollicking,1
Ramshackle ,1
Other,1
Other,1
