id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239130,Three Days Grace,Someone Who Cares,Life Starts Now,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239121,Amnesia Beach,Just the Way You Are (Bruno Mars Cover),The Promise of a New Year EP,"",2011,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/110s
456239108,Sunrise Avenue,Fairytale Gone Bad (Acoustic Version),On The Way To Wonderland,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Gritty/Sober / Determined,Medium Tempo/Medium/60s
456239104,Breaking Benjamin,Give Me A Sign,Dear Agony,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
456239080,Three Days Grace,Give Me A Reason,Transit Of Venus,Male/Male Group,2012,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
364720318,Die Happy,Survivor,Red Box,Mixed/Mixed Group,2011,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
364664833,The Exies,Stray,A Modern Way Of Living With The Truth,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
352589234,Cousin Marnie,You've Been Fooling Me Baby,Is Sleeping,"",2013,Alternative a Punk/Alternative/Alternative Rock,Cool/Wary / Defiant,Slow Tempo/Slow/40s
351296796,The Exies,This Is The Sound,A Modern Way Of Living With The Truth,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
340215425,Breaking Benjamin,Without You,Dear Agony,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
338566410,Midnight Hour,Running Away,Midnight Hour,"",2014,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
311459933,Nickelback,What Are You Waiting For?,No Fixed Address,Male/Male Group,2014,Alternative a Punk/Alternative/Alternative Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
289519796,Various Artists,Сломанное фортепиано,Вечер вдвоем-лучшие инструментальные мелодии-10,"",0,Alternative a Punk/Alternative/Alternative Rock,"",""
288516778,Red Hot Chili Peppers,Can't Stop,By The Way,Male/Male Group,2002,Alternative a Punk/Alternative/Alternative Rock,Urgent/Dark Urgent,Medium Tempo/Medium Fast/90s
287592840,Nickelback,If Everyone Cared,All The Right Reasons,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
213037284,Nickelback,How You Remind Me,Silver Side Up,Male/Male Group,2001,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
201838139,My Darkest Days,Come Undone,My Darkest Days,Male/Male Group,2010,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
201835715,Three Days Grace,I Hate Everything About You,Three Days Grace,Male/Male Group,2003,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
191168123,Hinder,Bliss (I Don't Wanna Know),Extreme Behavior,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
172645069,Shinedown,Her Name Is Alice (Bonus Track),The Sound of Madness,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
143719901,The Rasmus,Livin' In A World Without You (Acoustic Version),Livin' In A World Without You,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
