id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239135,横田力,Laura Post COM,ボキャパワーvol.1,"",2012,Other/Spoken Word/General Spoken Word,Other,Slow Tempo/Static/0
456239101,Arkansas Gospel Mass Choir,Hold On For Life,Hold On For Life,Mixed/Mixed Group,2009,Other/Religious/Gospel Choir,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/60s
456239095,Thousand Foot Krutch,Be Somebody,The End Is Where We Begin,Male/Male Group,2012,Other/Religious/Christian Rock a Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239089,Ólafur Arnalds,Öldurót (feat.SinfoniaNord/Atli Örvarsson) [Island Songs IV],Öldurót (feat.SinfoniaNord/Atli Örvarsson) [Island Songs IV],Male/Male,2016,Other/New Age/New Acoustic,"",""
456239064,Black Elk,Aphotic Widow,Sparks,Male/Male Duo,2012,Other/New Age/New Acoustic,Peaceful/Quiet / Introspective,Slow Tempo/Very Slow/30s
456239022,Aaron Schweinberg,You Are Holy-Revelation Song,Deeper Places,"",2012,Other/Religious/Christian Inspirational,Romantic/Heartfelt Passion,Medium Tempo/Medium/60s
395676907,Ilya Beshevli,Roundelay,Russian Notebook,"",2014,Other/Data a Other/Data a Other,Peaceful/Quiet / Introspective,Medium Tempo/Medium Slow/50s
395675588,Ilya Beshevli,Wind,Night Forest,"",2014,Other/Data a Other/Data a Other,Peaceful/Quiet / Introspective,Slow Tempo/Slow/40s
366146358,Kutless,Winds Of Change,Hearts Of The Innocent,Male/Male Group,2006,Other/Religious/Christian Alt-Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/90s
357496370,Ólafur Arnalds,For Now I Am Winter,For Now I Am Winter,Male/Male,2013,Other/New Age/New Acoustic,Peaceful/Reverent / Healing,Slow Tempo/Slow/40s
353273145,David Nevue,Overcome,Overcome,Male/Male,2005,Other/New Age/New Acoustic,Melancholy/Wistful / Forlorn,Medium Tempo/Medium/70s
351300515,Ólafur Arnalds,Lost Song,Found Songs,Male/Male,2009,Other/New Age/New Acoustic,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
346235799,Thousand Foot Krutch,Take It Out On Me,Welcome to the Masquerade (Fan Edition),Male/Male Group,2011,Other/Religious/Christian Rock a Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
337488142,Hillsong,Mighty To Save,Mighty To Save,Mixed/Mixed Group,2006,Other/Religious/Hymns a Spirituals,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
287633510,Ashes Remain,Right Here,What I've Become,Male/Male Group,2011,Other/Religious/Christian Alt-Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
201835904,Ashram,Maria and the Violin's String,Shining Silver Skies,Male/Male Group,2006,Other/New Age/New Acoustic,Melancholy/Wistful / Forlorn,Medium Tempo/Medium/70s
142712019,Manu Chao,Дорожка без названия 22,La Radiolina,Male/Male,2007,Other/Latin Rock/Latin Alternative,"",""
