id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239132,James Arthur,Recovery,James Arthur,Male/Male,2013,Pop/Western Pop/Pop Vocal,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239128,Feder Feat. Alex Aiono,Lordly,Lordly [Single],Male/Male Duo,2014,Pop/Western Pop/Dance Pop,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/110s
456239120,Acoustic Hits,I Need Your Love (Acoustic Version) [Calvin Harris ft. Ellie Goulding Cover],Acoustified Hits Vol. 2,"",2016,Pop/Western Pop/Pop Vocal,Easygoing/Friendly,Medium Tempo/Medium Slow/60s
456239112,James Arthur,Say You Won't Let Go,Back From The Edge,Male/Male,2016,Pop/Western Pop/Pop Vocal,Easygoing/Friendly,Medium Tempo/Medium Slow/60s
456239087,2016 Billboard Masters,Rise - Tribute To Katy Perry,Rise - Tribute To Katy Perry,"",2016,Pop/Western Pop/Pop Vocal,"",""
456239084,Twenty One Pilots,Heathens,Heathens [Single],Male/Male Duo,2016,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
456239075,Ed Sheeran,Photograph,×,Male/Male,2014,Pop/Western Pop/Adult Alternative Pop,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
456239054,Jasmine Thompson,Chandelier,Chandelier,Female/Female,2014,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
456239053,Jasmine Thompson,Adore,Adore,Female/Female,2015,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/120s
456239045,Hurts,Nothing Will Be Bigger Than Us,Surrender (Deluxe),Male/Male Duo,2015,Pop/Western Pop/Adult Alternative Pop,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
456239039,Diana Vickers,The Boy Who Murdered Love,Songs From The Tainted Cherry Tree,Female/Female,2010,Pop/Western Pop/Adult Alternative Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
351914166,James Arthur,Impossible,James Arthur,Male/Male,2013,Pop/Western Pop/Pop Vocal,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
366390491,Ed Sheeran,I'M A Mess,×,Male/Male,2014,Pop/Western Pop/Adult Alternative Pop,Sensual/Soft Soulful,Medium Tempo/Medium/60s
347770111,Avril Lavigne,Take Me Away,Under My Skin,Female/Female,2004,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
340492386,Dido,I'm No Angel,No Angel,Female/Female,1999,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
340209144,Milky Chance,Flashed Junk Mind,Sadnecessary,Male/Male Duo,2013,Pop/Western Pop/Adult Alternative Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium Slow/50s
320627447,Gavin DeGraw,I Don't Want To Be,Chariot,Male/Male,2003,Pop/Western Pop/Adult Alternative Pop,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
299797166,Michael Bolton,We're Not Makin' Love Anymore,Time Love a Tenderness,Male/Male,1991,Pop/Western Pop/Adult Contemporary,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/60s
270269284,The Teen Agers,Please Be Mine (Featuring Frankie Lymon),The Collection - Featuring Frankie Lymon,"",2008,Pop/Western Pop/Pop Vocal,Romantic/Lush / Romantic,Medium Tempo/Medium Slow/50s
201981766,Lindsay Lohan,Rumors,Speak,Female/Female,2004,Pop/Western Pop/Teen Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/110s
191916333,Natalia Kills,Mirrors,Perfectionist,Female/Female,2011,Pop/Western Pop/Dance Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
163261294,The Wanted,Chasing The Sun,Word Of Mouth [Bonus Tracks],Male/Male Group,2013,Pop/Western Pop/Teen Boy Band,Sensual/Intimate,Medium Tempo/Medium Slow/60s
158569102,Kevin Rudolf,Gimme A Sign,In The City [Explicit],Male/Male,2008,Pop/Western Pop/Urban Crossover: Pop,Fiery/Passionate Rhythm,Medium Tempo/Medium/60s
155031505,Savage Garden,To The Moon a Back,Savage Garden [International Version],Male/Male Duo,1997,Pop/Western Pop/Adult Alternative Pop,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/100s
110251218,Alexis Jordan,Hush Hush,Alexis Jordan,Female/Female,2011,Pop/Western Pop/Teen Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
105800320,Various Artists,E.T.,Now That's What I Call Music! 78 [Disc 2],Mixed/Mixed Duo,2011,Pop/Western Pop/Dance Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium/70s
104870163,Backstreet Boys,Incomplete,Never Gone,Male/Male Group,2005,Pop/Western Pop/Teen Boy Band,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
82359339,Hana Pestle,Need,This Way,"",2009,Pop/Western Pop/Pop Vocal,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
133457921,Various Artists,Белые Лошади,Русская Дискотека Vol. 5,"",2007,Pop/Western Pop/Pop Vocal,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
182822408,OneRepublic,All Fall Down,Dreaming Out Loud,Male/Male Group,2007,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
