id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239133,Molly Sandén,Phoenix,Like No One's Watching,Female/Female,2015,Pop/European Pop/Euro Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
456239067,Motörhead,God Was Never On Your Side,Kiss Of Death,Male/Male Group,2006,Rock/Metal/Speed Metal,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
456239031,The Faint,Typing: 1974-2048,Media,Male/Male Group,1998,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
394427174,Bring Me The Horizon,Doomed,That's The Spirit,Male/Male Group,2015,Alternative a Punk/Emo a Hardcore/Hardcore,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
359711732,The Subways,Rock a Roll Queen,Young For Eternity,Mixed/Mixed Group,2005,Alternative a Punk/Alternative/Alternative Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
358682041,30 Seconds To Mars,Northern Lights,Love Lust Faith + Dreams,Male/Male Group,2013,Alternative a Punk/Emo a Hardcore/Emo,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
351296796,The Exies,This Is The Sound,A Modern Way Of Living With The Truth,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
347770111,Avril Lavigne,Take Me Away,Under My Skin,Female/Female,2004,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
318249931,Rihanna,Te Amo,Rated R,Female/Female,2009,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
311461715,Fall Out Boy,Centuries,American Beauty / American Psycho,Male/Male Group,2015,Alternative a Punk/Emo a Hardcore/Emo,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
299796451,30 Seconds To Mars,Attack,A Beautiful Lie,Male/Male Group,2005,Alternative a Punk/Emo a Hardcore/Emo,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
288516778,Red Hot Chili Peppers,Can't Stop,By The Way,Male/Male Group,2002,Alternative a Punk/Alternative/Alternative Rock,Urgent/Dark Urgent,Medium Tempo/Medium Fast/90s
287592840,Nickelback,If Everyone Cared,All The Right Reasons,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
191916333,Natalia Kills,Mirrors,Perfectionist,Female/Female,2011,Pop/Western Pop/Dance Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
191145521,Sirenia,Lost In Life,The 13th Floor,Mixed/Mixed Group,2009,Rock/Metal/Gothic Metal,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
191002891,Reamonn,Sometimes,Wish,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
142712557,Rihanna,Only Girl (In The World),Loud,Female/Female,2010,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
141174308,Linkin Park,Bleed It Out,Minutes To Midnight,Male/Male Group,2007,Rock/Metal/Rap Metal,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
119611622,T-Killah Feat. Лоя,Вернись,Вернись,Mixed/Mixed Duo,2012,"",Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
116632233,Tom Novy Feat. Lima,Take It [Radio Edit],Take It [Maxi CD],Mixed/Mixed Duo,2005,Electronica/House/General House,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
90836611,Виа Гра,Спасибо За Лето,Попытка №5,Female/Female Group,2001,Pop/European Pop/Eastern European Pop,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
90768506,The Downtown Fiction,I Just Wanna Run,Let's Be Animals,Male/Male Group,2011,Alternative a Punk/Emo a Hardcore/Emo,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
