id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239113,Delerium,Silence (Sanctuary Mix) (Featuring Sarah McLachlan),Karma [Disc 2],Female/Female,1997,Electronica/Trance/Trance,Energizing/Abstract Beat,Fast Tempo/Fast/130s
456239080,Three Days Grace,Give Me A Reason,Transit Of Venus,Male/Male Group,2012,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
456239063,Meg Myers,Desire,Sorry,Female/Female,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
456239055,Ludovico Einaudi,Walk,In A Time Lapse,Male/Male,2013,Classical/Classical Crossover/Classical Crossover Instrumental,Serious/Thrilling,Fast Tempo/Fast/130s
456239024,Bring Me The Horizon,Run,That's The Spirit,Male/Male Group,2015,Alternative a Punk/Emo a Hardcore/Hardcore,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
363941215,Dash Berlin,Man On The Run,The New Daylight,Male/Male Group,2009,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
352178870,Mike Candys,I Run 2 U (Radio Mix),Smile,Mixed/Mixed Duo,2012,Electronica/House/General House,Excited/Euphoric Energy,Fast Tempo/Fast/130s
345589964,Armin Van Buuren,Man On The Run (Nic Chagall Remix),A State Of Trance 2009 [Disc 1],Mixed/Mixed Group,2009,Electronica/Trance/Trance,Aggressive/Dark Hard Beat,Fast Tempo/Fast/130s
287592840,Nickelback,If Everyone Cared,All The Right Reasons,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
262632190,Linkin Park,The Catalyst,A Thousand Suns,Male/Male Group,2010,Rock/Metal/Rap Metal,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
258870193,Linkin Park,Pretend To Be (Unreleased Demo 2008),Underground X,Male/Male Group,2010,Rock/Metal/Rap Metal,Rowdy/Driving Dark Groove,Fast Tempo/Fast/130s
191916333,Natalia Kills,Mirrors,Perfectionist,Female/Female,2011,Pop/Western Pop/Dance Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
142712689,Markus Schulz,The New World,Progression Progressed,Male/Male,2013,Electronica/Trance/Trance,Energizing/Heavy Beat,Fast Tempo/Fast/130s
142712273,Robert Miles,Fable (Message Version),Dreamland,Male/Male,1996,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
142712248,Ministry Of Sound,Say It (Nero Remix),Addicted To Bass Winter 2009 [Disc 1],Female/Female Duo,2009,Electronica/House/General House,Excited/Euphoric Energy,Fast Tempo/Fast/130s
121731660,Nelly,Liv Tonight,5.0,Male/Male,2010,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Excited/Euphoric Energy,Fast Tempo/Fast/130s
176695584,ATB,All I Need Is You,Distant Earth,Male/Male,2011,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
