id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239133,Molly Sandén,Phoenix,Like No One's Watching,Female/Female,2015,Pop/European Pop/Euro Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
456239129,Papa Roach,Between Angels And Insects (Live),Time For Annihilation: On The Record a On The Road,Male/Male Group,2010,Rock/Metal/Rap Metal,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/190s
456239113,Delerium,Silence (Sanctuary Mix) (Featuring Sarah McLachlan),Karma [Disc 2],Female/Female,1997,Electronica/Trance/Trance,Energizing/Abstract Beat,Fast Tempo/Fast/130s
456239104,Breaking Benjamin,Give Me A Sign,Dear Agony,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
456239080,Three Days Grace,Give Me A Reason,Transit Of Venus,Male/Male Group,2012,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
456239063,Meg Myers,Desire,Sorry,Female/Female,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
456239055,Ludovico Einaudi,Walk,In A Time Lapse,Male/Male,2013,Classical/Classical Crossover/Classical Crossover Instrumental,Serious/Thrilling,Fast Tempo/Fast/130s
456239024,Bring Me The Horizon,Run,That's The Spirit,Male/Male Group,2015,Alternative a Punk/Emo a Hardcore/Hardcore,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
394427174,Bring Me The Horizon,Doomed,That's The Spirit,Male/Male Group,2015,Alternative a Punk/Emo a Hardcore/Hardcore,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
364720318,Die Happy,Survivor,Red Box,Mixed/Mixed Group,2011,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
364664833,The Exies,Stray,A Modern Way Of Living With The Truth,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
363941215,Dash Berlin,Man On The Run,The New Daylight,Male/Male Group,2009,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
359711732,The Subways,Rock a Roll Queen,Young For Eternity,Mixed/Mixed Group,2005,Alternative a Punk/Alternative/Alternative Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
352178870,Mike Candys,I Run 2 U (Radio Mix),Smile,Mixed/Mixed Duo,2012,Electronica/House/General House,Excited/Euphoric Energy,Fast Tempo/Fast/130s
351296796,The Exies,This Is The Sound,A Modern Way Of Living With The Truth,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
346235799,Thousand Foot Krutch,Take It Out On Me,Welcome to the Masquerade (Fan Edition),Male/Male Group,2011,Other/Religious/Christian Rock a Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
345589964,Armin Van Buuren,Man On The Run (Nic Chagall Remix),A State Of Trance 2009 [Disc 1],Mixed/Mixed Group,2009,Electronica/Trance/Trance,Aggressive/Dark Hard Beat,Fast Tempo/Fast/130s
318249931,Rihanna,Te Amo,Rated R,Female/Female,2009,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
287592840,Nickelback,If Everyone Cared,All The Right Reasons,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
262632190,Linkin Park,The Catalyst,A Thousand Suns,Male/Male Group,2010,Rock/Metal/Rap Metal,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
258870193,Linkin Park,Pretend To Be (Unreleased Demo 2008),Underground X,Male/Male Group,2010,Rock/Metal/Rap Metal,Rowdy/Driving Dark Groove,Fast Tempo/Fast/130s
191916333,Natalia Kills,Mirrors,Perfectionist,Female/Female,2011,Pop/Western Pop/Dance Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
189300035,Godsmack,I Stand Alone,Faceless,Male/Male Group,2003,Rock/Metal/Nu-Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/170s
142712689,Markus Schulz,The New World,Progression Progressed,Male/Male,2013,Electronica/Trance/Trance,Energizing/Heavy Beat,Fast Tempo/Fast/130s
142712273,Robert Miles,Fable (Message Version),Dreamland,Male/Male,1996,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
142712248,Ministry Of Sound,Say It (Nero Remix),Addicted To Bass Winter 2009 [Disc 1],Female/Female Duo,2009,Electronica/House/General House,Excited/Euphoric Energy,Fast Tempo/Fast/130s
141174589,Linkin Park,Papercut,Hybrid Theory,Male/Male Group,2000,Rock/Metal/Rap Metal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/150s
141174308,Linkin Park,Bleed It Out,Minutes To Midnight,Male/Male Group,2007,Rock/Metal/Rap Metal,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
121731660,Nelly,Liv Tonight,5.0,Male/Male,2010,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Excited/Euphoric Energy,Fast Tempo/Fast/130s
91833724,Daft Punk,Tron Legacy (End Titles),TRON: Legacy,Male/Male Duo,2010,Soundtrack/Original Film/TV Music/Sci-Fi Film/TV Music,Excited/Euphoric Energy,Fast Tempo/Very Fast/200s
176695584,ATB,All I Need Is You,Distant Earth,Male/Male,2011,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
148313870,Gamma Ray,Time To Break Free [Live From Matrix Bochum Germany December 17th/2011],Master Of Confusion,Male/Male Group,2013,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/160s
