id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239130,Three Days Grace,Someone Who Cares,Life Starts Now,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239128,Feder Feat. Alex Aiono,Lordly,Lordly [Single],Male/Male Duo,2014,Pop/Western Pop/Dance Pop,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/110s
456239125,Cris Angel 陳奕文,渴望,靈魂備忘錄 Vol. 2,Mixed/Mixed Duo,2015,Pop/Chinese Pop/General Chinese Pop,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium Fast/120s
456239121,Amnesia Beach,Just the Way You Are (Bruno Mars Cover),The Promise of a New Year EP,"",2011,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/110s
456239117,Dash Berlin Feat. Emma Hewitt,Waiting (Dabruck a Klein Remix Edit),Dash Berlin Top 15 - September 2011 (Including Classic Bonus Track),Mixed/Mixed Group,2011,Electronica/Trance/Trance,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
456239116,Полина Гагарина,Я Твоя,Попроси У Облаков,Female/Female,2007,Pop/European Pop/Eastern European Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/110s
456239105,Hollywood Undead,Levitate,American Tragedy [Explicit Version],Male/Male Group,2011,Rock/Metal/Rap Metal,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/120s
456239097,Placebo,Protège Moi,Once More With Feeling: Singles 1996-2004,Male/Male Group,2004,Alternative a Punk/Brit Rock/Brit Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/110s
456239095,Thousand Foot Krutch,Be Somebody,The End Is Where We Begin,Male/Male Group,2012,Other/Religious/Christian Rock a Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239085,Indaqo,Boom Boom Boom [Gabry Ponte Edit],Boom Boom Boom,Unknown/Other,2016,Electronica/House/General House,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
456239084,Twenty One Pilots,Heathens,Heathens [Single],Male/Male Duo,2016,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
456239081,Swedish House Mafia,Walking Alone / Miami 2 Ibiza,Until Now,Male/Male Group,2012,Electronica/House/Progressive House,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
456239079,Swedish House Mafia,Reload,Until Now,Male/Male Duo,2012,Electronica/House/Progressive House,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
456239061,Billy Talent,Surrender,Billy Talent II,Male/Male Group,2006,Alternative a Punk/Punk/Pop Punk,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
456239058,Kygo,Raging,Cloud Nine,Male/Male Group,2016,Electronica/House/Progressive House,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/100s
456239056,Loverush UK! Feat. Bryan Adams,Tonight in Babylon (2013 Remix),Tonight in Babylon (Remixes),Male/Male Group,2013,Electronica/Trance/Trance,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
456239053,Jasmine Thompson,Adore,Adore,Female/Female,2015,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/120s
