id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239140,Apocalyptica,Sacra,7th Symphony,Male/Male Group,2010,Rock/Metal/Progressive Metal,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
456239138,30 Seconds To Mars,End Of All Days,Love Lust Faith + Dreams,Male/Male Group,2013,Alternative a Punk/Emo a Hardcore/Emo,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239108,Sunrise Avenue,Fairytale Gone Bad (Acoustic Version),On The Way To Wonderland,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Gritty/Sober / Determined,Medium Tempo/Medium/60s
456239074,Bring Me The Horizon,Hospital For Souls,Sempiternal,Male/Male Group,2013,Alternative a Punk/Emo a Hardcore/Hardcore,Brooding/Alienated / Brooding,Medium Tempo/Medium/60s
456239071,The Glitch Mob,Bad Wings,Drink The Sea,Male/Male Group,2010,Electronica/Dubstep/Dubstep,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239022,Aaron Schweinberg,You Are Holy-Revelation Song,Deeper Places,"",2012,Other/Religious/Christian Inspirational,Romantic/Heartfelt Passion,Medium Tempo/Medium/60s
456239019,Ludovico Einaudi,Ora,Una mattina,Male/Male,2014,Classical/Classical Crossover/Classical Crossover Instrumental,Somber/Solemn / Spiritual,Medium Tempo/Medium/60s
366390491,Ed Sheeran,I'M A Mess,×,Male/Male,2014,Pop/Western Pop/Adult Alternative Pop,Sensual/Soft Soulful,Medium Tempo/Medium/60s
351911500,Andrew Belle,Pieces,Black Bear,Male/Male,2013,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
342877703,Myrkur,Why,Why / Lament - EP,Male/Male,2008,Electronica/Dubstep/Dubstep,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
328144033,Lifehouse,Broken,Who We Are,Male/Male Group,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
289931850,John Ottman,Hope (Xavier's Theme),X-Men: Days of Future Past (Original Motion Picture Soundtrack),Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
288301904,Linkin Park,Breaking The Habit,Meteora,Male/Male Group,2003,Rock/Metal/Rap Metal,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/60s
158570079,Joel a Luke,Love's To Blame,A Tale Of Two Towns - The EP,Male/Male Duo,2008,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Dramatic Emotion,Medium Tempo/Medium/60s
158569102,Kevin Rudolf,Gimme A Sign,In The City [Explicit],Male/Male,2008,Pop/Western Pop/Urban Crossover: Pop,Fiery/Passionate Rhythm,Medium Tempo/Medium/60s
155034832,David Arnold a Michael Price,SHERlocked,Sherlock: Series Two,"",2012,Soundtrack/Original Film/TV Music/General Film Music,Serious/Thrilling,Medium Tempo/Medium/60s
143097456,Clint Mansell,Leaving New York,World Traveler OST,Male/Male,2002,Soundtrack/Original Film/TV Music/General Film Music,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
127502334,Craig Armstrong,Main Title,The Incredible Hulk,Male/Male,2013,Soundtrack/Original Film/TV Music/General Film Music,Serious/Thrilling,Medium Tempo/Medium/60s
104870163,Backstreet Boys,Incomplete,Never Gone,Male/Male Group,2005,Pop/Western Pop/Teen Boy Band,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
106630039,Marcelo Zabros,Craig Worries,Remember Me (Original Motion Picture Score),"",2010,Soundtrack/Original Film/TV Music/General Film Music,Peaceful/Reverent / Healing,Medium Tempo/Medium/60s
91481981,DJ Paul,Twist It Hit It Lite It,Underground Vol. 16 For Da Summa,Male/Male,2002,Urban/Western Hip-Hop/Rap/Mixtape,Cool/Wary / Defiant,Medium Tempo/Medium/60s
84504502,Carter Burwell,I Know What You Are,Twilight: The Score,Male/Male,2008,Soundtrack/Original Film/TV Music/General Film Music,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
166899389,Dash Berlin,Man On The Skyfire,#musicislife,Mixed/Mixed Group,2012,Electronica/Trance/Trance,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
