id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239145,Whitey,People,Saturday Night Ate Our Lives,Male/Male,2012,Alternative a Punk/Indie Rock/Post-Punk Revival,Cool/Dark Groovy,Medium Tempo/Medium Fast/110s
443985873,Metric,Soft Rock Star,Grow Up and Blow Away,Mixed/Mixed Group,2007,Alternative a Punk/Indie Rock/Post-Punk Revival,Excited/Upbeat Pop Groove,Medium Tempo/Medium/80s
380676405,She Wants Revenge,Rachael,This Is Forever,Male/Male Duo,2007,Alternative a Punk/Indie Rock/Post-Punk Revival,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
372576222,Yeah Yeah Yeahs,Dull Life,It's Blitz,Mixed/Mixed Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
362602332,Yeah Yeah Yeahs,Gold Lion,Show Your Bones,Mixed/Mixed Group,2006,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
335746018,Boy Kill Boy,Promises,Stars And The Sea,Male/Male Group,2008,Alternative a Punk/Indie Rock/Post-Punk Revival,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
325526887,Metric,Sick Muse,Fantasies,Mixed/Mixed Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Brooding/Energetic Melancholy,Fast Tempo/Fast/150s
312674564,Cathedrals,In the Dark,Cathedrals,Male/Male Group,2015,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
300426899,Blood Red Shoes,It's Getting Boring By The Sea,Box Of Secrets,Mixed/Mixed Duo,2007,Alternative a Punk/Indie Rock/Post-Punk Revival,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
277400798,She Wants Revenge,Tear You Apart,She Wants Revenge,Male/Male Duo,2006,Alternative a Punk/Indie Rock/Post-Punk Revival,Energizing/Arousing Groove,Fast Tempo/Fast/150s
273990570,Arctic Monkeys,Why'd You Only Call Me When You're High?,AM,Male/Male Group,2013,Alternative a Punk/Indie Rock/Post-Punk Revival,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/90s
228929662,Arctic Monkeys,I Bet You Look Good On The Dancefloor,Whatever People Say I Am That's What I'm Not,Male/Male Group,2006,Alternative a Punk/Indie Rock/Post-Punk Revival,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
213310216,Hot Hot Heat,My Best Friend,Happiness Ltd,Male/Male Group,0,Alternative a Punk/Indie Rock/Post-Punk Revival,"",""
213286557,Franz Ferdinand,Take Me Out,Franz Ferdinand,Male/Male Group,2004,Alternative a Punk/Indie Rock/Post-Punk Revival,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/100s
196702189,Blood Red Shoes,I Wish I Was Someone Better,Box Of Secrets,Mixed/Mixed Duo,2007,Alternative a Punk/Indie Rock/Post-Punk Revival,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
172013741,The Temper Trap,Sweet Disposition,Conditions,Male/Male Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
165364856,Liam a Me,Say It Out Loud,Lives We Might Have Lived,Male/Male Group,2012,Alternative a Punk/Indie Rock/Post-Punk Revival,"",""
164995825,Yeah Yeah Yeahs,Heads Will Roll (A-Trak Remix) [Radio Edit],Heads Will Roll (A-Trak Remix) [Single],Mixed/Mixed Group,2010,Alternative a Punk/Indie Rock/Post-Punk Revival,Energizing/Arousing Groove,Fast Tempo/Fast/130s
164425430,Yeah Yeah Yeahs,Gold Lion,Show Your Bones,Mixed/Mixed Group,2006,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
143577496,IAMX,Think Of England,Kingdom Of Welcome Addiction,Male/Male Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
143569354,IAMX,My Secret Friend (Featuring Imogen Heap),Kingdom Of Welcome Addiction,Male/Male Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
143447521,IAMX,The Negative Sex,The Alternative,Male/Male Group,2006,Alternative a Punk/Indie Rock/Post-Punk Revival,Excited/Upbeat Pop Groove,Fast Tempo/Fast/130s
122607021,Yeah Yeah Yeahs,Cheated Hearts,Show Your Bones,Mixed/Mixed Group,2006,Alternative a Punk/Indie Rock/Post-Punk Revival,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
101572724,Arctic Monkeys,Old Yellow Bricks,Favourite Worst Nightmare,Male/Male Group,2007,Alternative a Punk/Indie Rock/Post-Punk Revival,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
72315647,Franz Ferdinand,Ulysses,Tonight: Franz Ferdinand,Male/Male Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/90s
