id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
323138228,Slash,Paradise City (Feat. Fergie a Cypress Hill),名称未設定のプレイリスト,Male/Male,0,Rock/Hard Rock/General Hard Rock,"",""
315208844,Slash,Anastasia,Apocalyptic Love,Male/Male,2012,Rock/Hard Rock/General Hard Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/100s
314706146,Slash,Beautiful Dangerous,Slash,Mixed/Mixed Duo,2010,Rock/Hard Rock/General Hard Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
313417512,Guns N' Roses,Sweet Child O' Mine,Appetite For Destruction,Male/Male Group,1987,Rock/Hard Rock/General Hard Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/120s
312908775,Slash,Nothing To Say (Featuring Matt Shadows of Avenged Sevenfold),Slash,Male/Male,2010,Rock/Hard Rock/General Hard Rock,"",""
305416401,Slash,Bad Rain,Apocalyptic Love,Male/Male,2012,Rock/Hard Rock/General Hard Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/100s
302848635,Sixx:A.M.,Life Is Beautiful,The Heroin Diaries,Male/Male Group,2007,Rock/Hard Rock/General Hard Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
283895589,Scorpions,Tainted Love,Comeblack,Male/Male Group,2011,Rock/Hard Rock/General Hard Rock,Aggressive/Heavy Triumphant,Fast Tempo/Fast/130s
235362326,Scorpions,Still Loving You,Love At First Sting,Male/Male Group,1984,Rock/Hard Rock/General Hard Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/50s
235328732,Scorpions,Humanity,Humanity: Hour 1,Male/Male Group,2007,Rock/Hard Rock/General Hard Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
205411224,Black Stone Cherry,Blind Man,Folklore And Superstition,Male/Male Group,2008,Rock/Hard Rock/General Hard Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/110s
190794906,Scorpions,Maybe I Maybe You,Unbreakable,Male/Male Group,2004,Rock/Hard Rock/General Hard Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/60s
162048994,Halestorm,I Miss The Misery,The Strange Case Of...,Mixed/Mixed Group,2012,Rock/Hard Rock/General Hard Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
148177877,Slash,Promise,Slash,Male/Male,2010,Rock/Hard Rock/General Hard Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
