id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239174,ウォン・ウィンツァン,旅のはじめに,光の華 [Disc 2] PianoaStrings Version,Male/Male,2009,Other/New Age/Adult Alternative New Age,Tender/Romantic / Lyrical,Medium Tempo/Medium Slow/50s
456239168,Luigi Rubino,Before Love,A Theme for the Moon,Male/Male,2009,Other/New Age/New Acoustic,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
456239167,Luigi Rubino,Last Dance,A Theme for the Moon,Male/Male,2009,Other/New Age/New Acoustic,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
395300829,Fabrizio Paterlini,Veloma,Fragments Viandanze,Male/Male,0,Other/New Age/New Acoustic,Tender/Romantic / Lyrical,Medium Tempo/Medium/70s
328190839,Elizabeth Guest,Lullaby and Goodnight,Sleep Baby Sleep,"",2013,Other/New Age/General New Age,Sentimental/Tender / Sincere,Slow Tempo/Very Slow/30s
268970814,Cirque Du Soleil,Atmadja,Quidam,Mixed/Mixed Group,1996,Other/New Age/Adult Alternative New Age,Serious/Thrilling,Medium Tempo/Medium/60s
268970724,Cirque Du Soleil,Rain One,Varekai [International Version],Mixed/Mixed Group,2006,Other/New Age/Adult Alternative New Age,Peaceful/Quiet / Introspective,Slow Tempo/Slow/40s
268970581,Cirque Du Soleil,Steel Dream,Quidam,Mixed/Mixed Group,1996,Other/New Age/Adult Alternative New Age,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/50s
268970491,Andreas Vollenweider,The Grand Ball Of The Duljas,Book Of Roses,Male/Male,2005,Other/New Age/Contemporary Instrumental,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
268970366,Andreas Vollenweider,Hirzel,Book Of Roses,Male/Male,2005,Other/New Age/Contemporary Instrumental,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
229135184,Adiemus Best Dreams,Cantus - Song Of Tears,Mystic Hits Volume 3,"",0,Other/New Age/General New Age,Serious/Thrilling,Medium Tempo/Medium/70s
226212382,Ashram,Maria and the Violin's String,Shining Silver Skies,Male/Male Group,2006,Other/New Age/New Acoustic,Melancholy/Wistful / Forlorn,Medium Tempo/Medium/70s
201040435,Jon Schmidt,Love Story Meets Love Story (Taylor Swift Remix),Bonus Tracks,Male/Male,2009,Other/New Age/Contemporary Instrumental,Stirring/Focused Sparkling,Fast Tempo/Fast/130s
142625631,Carly Comando,Everyday,One Take,Female/Female,2009,Other/New Age/New Acoustic,Easygoing/Cheerful / Playful,Fast Tempo/Fast/140s
