id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239190,Leighton Meester,Heartstrings,Heartstrings,Female/Female,2014,Pop/Western Pop/Dance Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/100s
416259986,Demi Lovato,Cool For The Summer,Confident [Deluxe Edition],Female/Female,2015,Pop/Western Pop/Dance Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/110s
406209921,Kylie Minogue,Confide In Me,Kylie Minogue,Female/Female,1994,Pop/Western Pop/Dance Pop,Fiery/Fiery Groove,Medium Tempo/Medium Fast/100s
346540588,Madonna,You'll See,Something To Remember,Female/Female,1995,Pop/Western Pop/Dance Pop,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
338221449,Madonna,Hung Up,Confessions On A Dance Floor,Female/Female,2005,Pop/Western Pop/Dance Pop,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
290878745,Lady Gaga,Dope,Artpop,Female/Female,2013,Pop/Western Pop/Dance Pop,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
185065350,Christina Aguilera,You Lost Me,Bionic,Female/Female,2010,Pop/Western Pop/Dance Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/50s
164744359,Madonna,Love Profusion,American Life,Female/Female,2003,Pop/Western Pop/Dance Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
150703460,Lady Gaga,Speechless,The Fame Monster,Female/Female,2009,Pop/Western Pop/Dance Pop,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
128481708,Sophie Ellis-Bextor,Murder On The Dancefloor,Read My Lips,Female/Female,2001,Pop/Western Pop/Dance Pop,Excited/Euphoric Energy,Medium Tempo/Medium Fast/110s
128194075,Sophie Ellis-Bextor,Off a On,Make a Scene,Female/Female,2011,Pop/Western Pop/Dance Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
128182052,Sophie Ellis-Bextor,Me And My Imagination,Trip The Light Fantastic,Female/Female,2007,Pop/Western Pop/Dance Pop,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
118103715,Ida Corr Vs. Fedde Le Grand,Let Me Think About It,Let Me Think About It [Single],Mixed/Mixed Duo,2007,Pop/Western Pop/Dance Pop,Energizing/Arousing Groove,Medium Tempo/Medium Fast/120s
116125581,Kylie Minogue,In Your Eyes,Fever,Female/Female,2001,Pop/Western Pop/Dance Pop,Fiery/Fiery Groove,Medium Tempo/Medium Fast/120s
72980698,Madonna,Sorry,Confessions On A Dance Floor,Female/Female,2005,Pop/Western Pop/Dance Pop,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
69675000,David Guetta,One Love,One Love,Mixed/Mixed Duo,2009,Pop/Western Pop/Dance Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/60s
