id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
177969231,Океан Ельзи,18 Хвилин,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
177969211,Океан Ельзи,Я Так Хочу...,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/100s
177969203,Океан Ельзи,Онлайн,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
177968478,Океан Ельзи,Ще Один День,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/50s
177968441,Океан Ельзи,На Лінії Вогню,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
177968437,Океан Ельзи,Ордени,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
177968103,Океан Ельзи,Королева,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/100s
177968043,Океан Ельзи,Небо Над Дніпром,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
177968024,Океан Ельзи,Я Так Хочу...,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/100s
177967462,Океан Ельзи,Більше Для Нас,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
177967384,Океан Ельзи,На Лінії Вогню,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
