id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239054,Coldplay,Amsterdam,A Rush Of Blood To The Head,Male/Male Group,2002,Alternative a Punk/Brit Rock/Brit Rock,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
323509032,Coldplay,The Scientist,A Rush Of Blood To The Head,Male/Male Group,2002,Alternative a Punk/Brit Rock/Brit Rock,Romantic/Sweet / Sincere,Slow Tempo/Very Slow/30s
196061552,Coldplay,The Hardest Part,XaY,Male/Male Group,2005,Alternative a Punk/Brit Rock/Brit Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
181473538,Coldplay,Christmas Lights,Christmas Lights [Single],Male/Male Group,2010,Alternative a Punk/Brit Rock/Brit Rock,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
151063342,Coldplay,Paradise,Mylo Xyloto,Male/Male Group,2011,Alternative a Punk/Brit Rock/Brit Rock,Upbeat/Happy / Soulful,Fast Tempo/Fast/140s
151063337,Coldplay,The Scientist,A Rush Of Blood To The Head,Male/Male Group,2002,Alternative a Punk/Brit Rock/Brit Rock,Romantic/Sweet / Sincere,Slow Tempo/Very Slow/30s
151063334,Coldplay,Paradise,Mylo Xyloto,Male/Male Group,2011,Alternative a Punk/Brit Rock/Brit Rock,Upbeat/Happy / Soulful,Fast Tempo/Fast/140s
151063326,Coldplay,Viva La Vida,Viva La Vida Or Death And All His Friends,Male/Male Group,2008,Alternative a Punk/Brit Rock/Brit Rock,Empowering/Idealistic / Stirring,Medium Tempo/Medium/60s
119234675,Coldplay,Clocks,A Rush Of Blood To The Head,Male/Male Group,2002,Alternative a Punk/Brit Rock/Brit Rock,Empowering/Dramatic Emotion,Medium Tempo/Medium/60s
119234653,Coldplay,Viva La Vida,Viva La Vida Or Death And All His Friends,Male/Male Group,2008,Alternative a Punk/Brit Rock/Brit Rock,Empowering/Idealistic / Stirring,Medium Tempo/Medium/60s
