id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
228883429,Inferno,Touch,Nato Morto,"",2013,Rock/Metal/Heavy Metal,"",""
183540114,Inferno,Саван,Воскресни,"",2005,Alternative a Punk/Goth/Goth,"",""
183540109,Inferno,Дул ветер,Не Ангелы,Female/Female Duo,0,Pop/European Pop/Eastern European Pop,"",""
183540101,Inferno,Another Brick,Воскресни,"",2005,Alternative a Punk/Goth/Goth,"",""
183540097,Inferno,In Memory,Воскресни,"",2005,Alternative a Punk/Goth/Goth,"",""
149824372,Inferno,Чувствуя боль,Воскресни,"",2005,Alternative a Punk/Goth/Goth,"",""
149824358,Inferno,Падать,Не Ангелы,Female/Female Duo,0,Pop/European Pop/Eastern European Pop,"",""
149824336,Inferno,Бескрылые птицы,Воскресни,"",2005,Alternative a Punk/Goth/Goth,"",""
149824326,Inferno,Останься со мной (re-mix version),Воскресни,"",2005,Alternative a Punk/Goth/Goth,"",""
149824304,Inferno,Воскресни,Воскресни,"",2005,Alternative a Punk/Goth/Goth,"",""
149824294,Inferno,Каплями крови,Воскресни,"",2005,Alternative a Punk/Goth/Goth,"",""
149824289,Inferno,Печальны демон тишины,Не Ангелы,"",0,Rock/Metal/Gothic Metal,"",""
149824259,Inferno,Останься со мной (re-mix version),Воскресни,"",2005,Alternative a Punk/Goth/Goth,"",""
149824231,Inferno,Падая с неба,Воскресни,"",2005,Alternative a Punk/Goth/Goth,"",""
