id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
434345029,Various Artists,Ace Of Base - Alle The She Wants,Take No Crap: Alle Tiders 90'er Hits [Disc 2],"",2006,Pop/Western Pop/Dance Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
425006028,Various Artists,Once Bitten Twice Shy (Cover),100 Hits Driving Rock,"",2011,Rock/Metal/Pop Metal,Excited/Loud Celebratory,Fast Tempo/Fast/130s
424599474,Various Artists,Erann DD,Now 7,"",2004,Pop/Western Pop/Pop Vocal,Sensual/Intimate,Medium Tempo/Medium Slow/50s
392891574,Various Artists,Осінь блукає в садах,На коня Ukrainian Folk,"",2014,Traditional/Folk/Traditional U.S. Folk,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
385971514,Various Artists,Ev Sistr,<ETH>îäîì Èç È<Eth>Ëàíäèè,"",0,Traditional/Celtic/Celtic,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/80s
383012782,Various Artists,Eurithmics - Sweet Dreams,The Power Of Rock,"",0,Rock/70's Rock/Classic Rock,"",""
378130446,Various Artists,Le grand voyage,Relaxation,"",2009,Other/Meditative a Space/Meditative,Yearning/Energetic Dreamy,Medium Tempo/Medium/80s
355364806,Various Artists,Где Ты,Сборник Русской Музыки,"",2005,Pop/Western Pop/Pop Vocal,Energizing/Edgy / Sexy,Medium Tempo/Medium Slow/60s
350060514,Various Artists,Bad guy (Wanna-Make-U-Dance Mix),Rain's Drama Soundtrack,"",0,Soundtrack/Original Film/TV Music/General TV Music,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
343507893,Various Artists,Ми - Хлопці З Бандерштадту,Я Вернувся Домів,"",2011,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
332463984,Various Artists,Мы Не Ангелы,Горячая 20. Осень-Зима 2008/09,"",2008,Pop/Western Pop/Pop Vocal,Romantic/Heartfelt Passion,Slow Tempo/Slow/40s
288662612,Various Artists,Le grand voyage,Relaxation,"",2009,Other/Meditative a Space/Meditative,Yearning/Energetic Dreamy,Medium Tempo/Medium/80s
