id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239042,Jimi Hendrix,Slow Version [Olympic Studios London February 14 1969],Hear My Music,Male/Male,2004,Rock/60's Rock/Acid Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/90s
456239026,The Beatles,Girl,Rubber Soul,Male/Male Group,1965,Rock/60's Rock/British Invasion,Melancholy/Sad / Soulful,Slow Tempo/Slow/40s
456239025,The Kinks,All Day And All Of The Night,The Kinks,Male/Male Group,1998,Rock/60's Rock/British Invasion,Excited/Loud Celebratory,Fast Tempo/Fast/130s
438721862,The Jimi Hendrix Experience,All Along The Watchtower (Recorded Live At Isle Of Wight England),Box Set 8 Song Sampler,Male/Male Group,0,Rock/60's Rock/Acid Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Slow/50s
328098567,The Beatles,Can't Buy Me Love,A Hard Day's Night,Male/Male Group,1964,Rock/60's Rock/British Invasion,Upbeat/Party / Fun,Fast Tempo/Fast/170s
319189147,The Beatles,And I Love Her,A Hard Day's Night,Male/Male Group,1964,Rock/60's Rock/British Invasion,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/50s
239441138,Manfred Mann,I Put A Spell On You,Ages Of Mann,Male/Male Group,1995,Rock/60's Rock/British Invasion,Yearning/Bittersweet Pop,Fast Tempo/Fast/130s
198952374,The Beatles,Oh! Darling,Abbey Road,Male/Male Group,1969,Rock/60's Rock/British Invasion,Upbeat/Carefree Pop,Medium Tempo/Medium/80s
193523567,The Electric Prunes,Hidden Track (Vox Wah Wah Pedal Radio Spot) [2007 Remaster] (Promo Single),Too Much To Dream Original Group Recordings: Reprise 1966-1967 [Disc 1],Male/Male Group,1967,Rock/60's Rock/Garage Rock,Lively/Lusty / Jaunty,Fast Tempo/Fast/130s
184683637,The Doors,You're Lost Little Girl,Strange Days,Male/Male Group,1967,Rock/60's Rock/Acid Rock,Sentimental/Gentle Bittersweet,Medium Tempo/Medium Slow/50s
184683632,The Doors,The Crystal Ship,The Doors,Male/Male Group,1967,Rock/60's Rock/Acid Rock,Romantic/Sweet / Sincere,Slow Tempo/Slow/40s
184683627,The Doors,Hello I Love You,Waiting For The Sun,Male/Male Group,1968,Rock/60's Rock/Acid Rock,Rowdy/Wild / Rowdy,Medium Tempo/Medium Fast/110s
184683619,The Doors,Light My Fire,The Doors,Male/Male Group,1967,Rock/60's Rock/Acid Rock,Sophisticated/Dark Playful,Medium Tempo/Medium Fast/120s
181402344,The Kinks,All Day And All Of The Night,The Kinks,Male/Male Group,1998,Rock/60's Rock/British Invasion,Excited/Loud Celebratory,Fast Tempo/Fast/130s
177113815,The Zombies,Remember You (Ost Version),R. I. P. Plus,Male/Male Group,2000,Rock/60's Rock/British Invasion,Gritty/Sober / Determined,Slow Tempo/Very Slow/30s
121928873,The Beatles,Yellow Submarine,Revolver,Male/Male Group,1966,Rock/60's Rock/Psychedelic Rock,Easygoing/Charming / Easygoing,Medium Tempo/Medium Fast/110s
