id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239144,Imagine Dragons,Radioactive,Night Visions,Male/Male Group,2012,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239141,Imagine Dragons,Monster,Smoke + Mirrors [Disc 2],Male/Male Group,2015,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239140,Imagine Dragons,Dream,Smoke + Mirrors,Male/Male Group,2015,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Dreamy Brooding,Slow Tempo/Very Slow/30s
456239124,Goo Goo Dolls,Iris,Dizzy Up The Girl,Male/Male Group,1998,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Idealistic / Stirring,Medium Tempo/Medium Fast/100s
456239100,Jehro,All I Want,Jehro,Male/Male,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Sensual/Soft Soulful,Slow Tempo/Slow/40s
456239050,Blue October,Schizophrenia,Consent To Treatment,Male/Male Group,2000,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
456239030,Blue October,Sway,Sway,Male/Male Group,2013,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
456239027,The Cranberries,Zombie,No Need To Argue,Mixed/Mixed Group,1994,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
352408925,Blue October,Calling You,History For Sale,Male/Male Group,2003,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
347526022,Gavin Rossdale,Adrenaline,Adrenaline,Male/Male,2002,Rock/Adult Alternative Rock/Adult Alternative Rock,"",""
330564179,Danielle Dax,Big Hollow Man,Dark Adapted Eye,Female/Female,2009,Rock/Adult Alternative Rock/Adult Alternative Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
295810390,Goo Goo Dolls,Let Love In,Let Love In,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Urgent/Dark Pop,Medium Tempo/Medium Fast/110s
295810387,Goo Goo Dolls,Without You Here,Let Love In,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
295810378,Goo Goo Dolls,Big Machine,Gutterflower,Male/Male Group,2002,Rock/Adult Alternative Rock/Adult Alternative Rock,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/110s
295810375,Goo Goo Dolls,Here Is Gone,Gutterflower,Male/Male Group,2002,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/100s
295810371,Goo Goo Dolls,Stay With You,Let Love In,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Defiant/Hard Positive Excitement,Fast Tempo/Fast/140s
295810366,Goo Goo Dolls,Better Days,Let Love In,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
295810363,Goo Goo Dolls,Before It's Too Late,Greatest Hits Vol. 1: The Singles,Male/Male Group,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
295809716,Goo Goo Dolls,Rebel Beat,Magnetic,Male/Male Group,2013,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
295574529,R.E.M.,Losing My Religion,Out Of Time,Male/Male Group,1991,Rock/Adult Alternative Rock/Adult Alternative Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Slow/60s
277486717,Reamonn,Moments Like This,Reamonn,Male/Male Group,2008,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/90s
277486649,Reamonn,Strong,Beautiful Sky,Male/Male Group,2003,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
277448494,Lenny Kravitz,If You Can't Say No,5,Male/Male,1998,Rock/Adult Alternative Rock/Adult Alternative Rock,Cool/Dark Groovy,Medium Tempo/Medium/70s
266280505,David Cook,Permanent,David Cook,Male/Male,2008,Rock/Adult Alternative Rock/Adult Alternative Rock,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
234934187,Lazlo Bane,Superman,All the Time in the World,Male/Male Group,2002,Rock/Adult Alternative Rock/Adult Alternative Rock,Easygoing/Friendly,Medium Tempo/Medium/80s
215637422,Chris Cornell,You Know My Name,Carry On,Male/Male,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
212779841,G. Love a Special Sauce,Garbage Man,G. Love a Special Sauce,Male/Male Group,1994,Rock/Adult Alternative Rock/Adult Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
209241902,U2,It's A Beautiful Day,How To Launch An Atomic Bomb,Male/Male Group,2004,Rock/Adult Alternative Rock/Adult Alternative Rock,"",""
207249100,The Fray,Over My Head,How To Save A Life,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
202130220,Ryan Star,We Might Fall,Songs From The Eye Of An Elephant,Male/Male,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
194407455,Eddie Vedder,End,Into The Wild,Male/Male,0,Rock/Adult Alternative Rock/Adult Alternative Rock,"",""
194324759,Train,Hey Soul Sister,Save Me San Francisco,Male/Male Group,2009,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
193520304,Santana,Love Of My Life,Supernatural,Male/Male Group,1999,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
177855954,Spin Doctors,Two Princes,Pocket Full Of Kryptonite,Male/Male Group,1991,Rock/Adult Alternative Rock/Adult Alternative Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/100s
174834408,U2,Sunday Bloody Sunday,War,Male/Male Group,1983,Rock/Adult Alternative Rock/Adult Alternative Rock,Excited/Loud Celebratory,Medium Tempo/Medium Fast/100s
174834307,Eddie Vedder,No Ceiling,Into The Wild,Male/Male,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/100s
174834306,Eddie Vedder,Hard Sun,Into The Wild,Male/Male,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
174834304,Eddie Vedder,Long Nights,Into The Wild,Male/Male,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
174834303,Eddie Vedder,Society,Into The Wild,Male/Male,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Gritty/Sober / Determined,Medium Tempo/Medium/80s
174834300,Eddie Vedder,Rise,Into The Wild,Male/Male,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Fiery/Dark Sparkling Lyrical,Medium Tempo/Medium/80s
149029044,The Cranberries,Animal Instinct,Bury The Hatchet,Mixed/Mixed Group,1999,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
132683127,Reamonn,Supergirl,Tuesday,Male/Male Group,2000,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/110s
118552874,The Cranberries,Wake Up And Smell The Coffee,Wake Up And Smell The Coffee,Mixed/Mixed Group,2001,Rock/Adult Alternative Rock/Adult Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
118552655,Alanis Morissette,Crazy,The Collection,Female/Female,2005,Rock/Adult Alternative Rock/Adult Alternative Rock,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
118552570,Texas,Summer Son,The Hush,Mixed/Mixed Group,1999,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
