id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239089,OQJAV,Чердак,Марта,"",2016,Alternative a Punk/Indie Rock/General Indie Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
456239088,OQJAV,Джек,Окуджав,"",2014,Alternative a Punk/Indie Rock/General Indie Rock,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
384910856,Eels,Flyswatter,Daisies Of The Galaxy,Male/Male Group,2000,Alternative a Punk/Indie Rock/General Indie Rock,Cool/Wary / Defiant,Medium Tempo/Medium Slow/60s
384910543,Eels,Fresh Blood,Hombre Lobo,Male/Male Group,2009,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
350071214,Kaiser Chiefs,Ruby,Yours Truly Angry Mob,Male/Male Group,2007,Alternative a Punk/Indie Rock/General Indie Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/90s
350071195,Kaiser Chiefs,Oh My God,Employment,Male/Male Group,2005,Alternative a Punk/Indie Rock/General Indie Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
349546885,Arcade Fire,Ready To Start,The Suburbs,Mixed/Mixed Group,2010,Alternative a Punk/Indie Rock/General Indie Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
347018411,Junip,Line Of Fire,Junip,Male/Male Group,2013,Alternative a Punk/Indie Rock/General Indie Rock,Yearning/Energetic Dreamy,Medium Tempo/Medium Fast/90s
339506988,Ramona Falls,Fingerhold,Prophet,Mixed/Mixed Group,2012,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
313991810,Eels,I Need Some Sleep,Meet The Eels: Essential Eels Vol. 1 1996-2006,Male/Male Group,2008,Alternative a Punk/Indie Rock/General Indie Rock,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
312765589,Royal Bangs,Russia Goodbye,We Breed Champions,Male/Male Group,2009,Alternative a Punk/Indie Rock/General Indie Rock,Excited/Happy Excitement,Fast Tempo/Fast/140s
272395311,Kaiser Chiefs,Bows a Arrows,Education Education Education a War,Male/Male Group,2014,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/140s
262097198,Kaiser Chiefs,Love Is Not A Competition,Yours Truely Angry Mob,Male/Male Group,2007,Alternative a Punk/Indie Rock/General Indie Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
242025065,Vlad In Tears,At the End of World,Welcome to Vladyland,"",2011,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
242025003,Vlad In Tears,Here Comes the Rain,Welcome to Vladyland,"",2011,Alternative a Punk/Indie Rock/General Indie Rock,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
206511876,Fallulah,Dried-Out Cities,Escapism,Female/Female,2013,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
206511871,Fallulah,I Lay My Head,The Black Cat Neighbourhood,Female/Female,2010,Alternative a Punk/Indie Rock/General Indie Rock,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
206511862,Fallulah,Only Human,The Black Cat Neighbourhood,Female/Female,2010,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
206511857,Fallulah,Hey You,The Black Cat Neighbourhood,Female/Female,2010,Alternative a Punk/Indie Rock/General Indie Rock,Excited/Euphoric Energy,Fast Tempo/Very Fast/190s
206511853,Fallulah,Out of It,The Black Cat Neighbourhood,Female/Female,2011,Alternative a Punk/Indie Rock/General Indie Rock,Fiery/Passionate Rhythm,Fast Tempo/Fast/140s
206511042,Fallulah,Give Us A Little Love,The Black Cat Neighbourhood,Female/Female,2010,Alternative a Punk/Indie Rock/General Indie Rock,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/60s
184346501,Blue Foundation,As I Moved On,As I Moved On,Mixed/Mixed Group,2003,Alternative a Punk/Indie Rock/General Indie Rock,Cool/Wary / Defiant,Medium Tempo/Medium Fast/90s
