id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
433248349,John Legend,All Of Me,Love In The Future,Male/Male,2013,Urban/Contemporary RaB/Soul/Neo-Soul,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
429222301,Erykah Badu,Love Hangover (Diana Ross Cover) Live @ BET 2007,Badu Mixtape,Female/Female,2007,Urban/Contemporary RaB/Soul/Neo-Soul,Cool/Dark Groovy,Medium Tempo/Medium Fast/110s
406742518,Lionel Richie,Lady (Featuring Kenny Rogers),Lionel Richie - Tuskegee (Deluxe Edition),Male/Male,2012,Urban/Contemporary RaB/Soul/Pop Soul,Melancholy/Wistful / Forlorn,Slow Tempo/Very Slow/30s
406269942,Sam Smith,I'm Not The Only One,In The Lonely Hour [Deluxe Edition],Male/Male,2014,Urban/Contemporary RaB/Soul/Neo-Soul,Empowering/Idealistic / Stirring,Medium Tempo/Medium/80s
359328325,Pianoбой,Ведьма!,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
334019364,Sunsay,Вiдчувай,Дайвер,Male/Male,2014,Urban/Contemporary RaB/Soul/Urban Crossover,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
289164446,The Dukes,Just in Case,Smoke Against the Beat,"",2015,Urban/Contemporary RaB/Soul/Contemporary RaB,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
282219184,Michael Jackson,Workin' Day And Night (Original Demo Recording From 1978),Off The Wall,Male/Male,1979,Urban/Contemporary RaB/Soul/Pop Soul,Other,Medium Tempo/Medium/60s
269658748,Caprice,Philomel With Melody,Kywitt ! Kywitt !,"",2008,Urban/Contemporary RaB/Soul/Contemporary RaB,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/90s
269658173,Caprice,Kywitt ! Kywitt !,Kywitt ! Kywitt !,"",2008,Urban/Contemporary RaB/Soul/Contemporary RaB,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/80s
266971845,Caprice,Dundellion Wine,Kywitt ! Kywitt !,"",2008,Urban/Contemporary RaB/Soul/Contemporary RaB,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/90s
264433303,Michael Jackson,Is It Scary,Blood On The Dance Floor: HIStory In The Mix,Male/Male,1997,Urban/Contemporary RaB/Soul/Pop Soul,Lively/Showy / Rousing,Medium Tempo/Medium Fast/100s
216952895,Lionel Richie,How Long,Renaissance,Male/Male,2000,Urban/Contemporary RaB/Soul/Pop Soul,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/100s
215455050,Mariah Carey,Everything Fades Away,Music Box,Female/Female,1993,Urban/Contemporary RaB/Soul/Urban AC,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
204608277,Michael Jackson,This Is It,This Is It,Male/Male,2009,Urban/Contemporary RaB/Soul/Pop Soul,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
190818595,Pianoбой,Спутники,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/50s
190818590,Pianoбой,Простые вещи,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
190818582,Pianoбой,Ночная,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Cool/Cool Confidence,Medium Tempo/Medium/80s
190818567,Pianoбой,Ведьма!,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
178049149,Whitney Houston,All The Man That I Need,I'm Your Baby Tonight,Female/Female,1990,Urban/Contemporary RaB/Soul/Urban AC,Empowering/Dramatic Emotion,Medium Tempo/Medium/70s
178049140,YU-A,ごめんね、ママ (Piano Live Version),優しい顔で近づかないで,Female/Female,2012,Urban/Contemporary RaB/Soul/Urban Crossover,"",""
177113738,Михей и Джуманджи,Дорога К Морю,Сука Любовь,Male/Male Group,1999,Urban/Contemporary RaB/Soul/Urban Crossover,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
121634438,Michael Jackson,Little Susie,HIStory: Past Present And Future Book 1 [Disc 2],Male/Male,1995,Urban/Contemporary RaB/Soul/Pop Soul,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
121634308,Michael Jackson,Hold My Hand (Duet With Akon,Michael,Male/Male,2010,Urban/Contemporary RaB/Soul/Pop Soul,"",""
121633549,Rihanna,Russian Roulette,Rated R,Female/Female,2009,Urban/Contemporary RaB/Soul/Urban Crossover,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
121633496,Rihanna,Rude Boy,Rated R,Female/Female,2009,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
118276888,Michael Jackson,Little Susie,HIStory: Past Present And Future Book 1 [Disc 2],Male/Male,1995,Urban/Contemporary RaB/Soul/Pop Soul,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
118276807,Michael Jackson Feat. Akon,Hold My Hand,Hold My Hand [Single],Male/Male Duo,2010,Urban/Contemporary RaB/Soul/Urban Crossover,Sensual/Intimate,Medium Tempo/Medium Slow/60s
118276757,Michael Jackson,Hold My Hand (Duet With Akon,Michael,Male/Male,2010,Urban/Contemporary RaB/Soul/Pop Soul,"",""
