id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239095,The Birthday Massacre,Goodnight,Walking With Strangers,Mixed/Mixed Group,2007,Alternative a Punk/Goth/Goth,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
434344705,HIM,Right Here In My Arms,Razorblade Romance,Male/Male Group,2003,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
266871108,Холодне Сонце,Я Тебе Кохаю,Театр Темних Пелюсток,"",2010,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
254484982,Diary Of Dreams,She,Freak Perfume,Male/Male Duo,2002,Alternative a Punk/Goth/Goth,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
212537234,Die Verbannten Kinder Evas,Unreal Mystery,Come Heavy Sleep,"",1997,Alternative a Punk/Goth/Goth,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
195704837,Холодне Сонце,Поверни,Театр Темних Пелюсток,"",2010,Alternative a Punk/Goth/Goth,Urgent/Dark Pop,Medium Tempo/Medium Fast/90s
184308887,HIM,Join Me In Death,Razorblade Romance,Male/Male Group,2003,Alternative a Punk/Goth/Goth,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
184308179,HIM,Funeral Of Hearts,Love Metal,Male/Male Group,2003,Alternative a Punk/Goth/Goth,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
184307498,HIM,Pretending,Deep Shadows And Brilliant Highlights,Male/Male Group,2004,Alternative a Punk/Goth/Goth,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
183546223,The 69 Eyes,Tonight,X,Male/Male Group,2012,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
183546168,The 69 Eyes,Angels,Angels,Male/Male Group,2007,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
183546145,The 69 Eyes,Grey,Paris Kills,Male/Male Group,2002,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/110s
