id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239138,The Neighbourhood,Sweater Weather,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239137,The Kooks,Seaside,Inside In/Inside Out,Male/Male Group,2006,Alternative a Punk/Indie Rock/Indie Pop,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/60s
456239134,Echo a The Bunnymen,Lost On You,What Are You Going To Do With Your Life?,Male/Male Group,1999,Alternative a Punk/Indie Rock/Original Post-Punk,Empowering/Powerful / Heroic,Medium Tempo/Medium Slow/60s
456239101,Franz Ferdinand,Love Illumination,Right Thoughts Right Words Right Action,Male/Male Group,2013,Alternative a Punk/Indie Rock/Post-Punk Revival,Rowdy/Confident / Tough,Medium Tempo/Medium/70s
456239089,OQJAV,Чердак,Марта,"",2016,Alternative a Punk/Indie Rock/General Indie Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
456239088,OQJAV,Джек,Окуджав,"",2014,Alternative a Punk/Indie Rock/General Indie Rock,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
456239037,Woodkid,Run Boy Run,The Golden Age,Male/Male,2013,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
456239021,The Killers,Somebody Told Me,Hot Fuss,Male/Male Group,2004,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
456239017,The Killers,Somebody Told Me,Hot Fuss,Male/Male Group,2004,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
424589974,Foals,Lonely Hunter,What Went Down,Male/Male Group,2015,Alternative a Punk/Indie Rock/Post-Punk Revival,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/110s
416775519,Anastasia,Left Outside Alone,Pieces of a Dream,Male/Male Group,2005,Alternative a Punk/Indie Rock/Dream Pop,"",""
414085376,The Kooks,Ooh La,Inside In/Inside Out,Male/Male Group,2006,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
411465192,Hurts,Devotion,Happiness,Mixed/Mixed Group,2010,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Energetic Anxious,Medium Tempo/Medium/70s
410910362,The Neighbourhood,Flawless,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
388802678,Kwoon,Swan,Swan,Male/Male Group,2014,Alternative a Punk/Indie Rock/Post-Rock,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
386590221,MIKA,Staring At The Sun,No Place In Heaven,Male/Male,2015,Alternative a Punk/Indie Rock/Neo-Glam,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
385738508,Revolver,Leave Me Alone,Music For A While,Male/Male Group,2009,Alternative a Punk/Indie Rock/Indie Pop,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/70s
384910856,Eels,Flyswatter,Daisies Of The Galaxy,Male/Male Group,2000,Alternative a Punk/Indie Rock/General Indie Rock,Cool/Wary / Defiant,Medium Tempo/Medium Slow/60s
