id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239136,Volbeat,16 Dollars (Live At Forum Copenhagen/2010),Live From Beyond Hell / Above Heaven,Male/Male Group,2011,Rock/Metal/Nu-Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/250s
456239135,Samsas Traum Vs. Weena Morloch,Endstation Eden (Live in Wien - 16.11.2009) [Live],Käfer.Maden.Würmer.Spinnen [Disc 1],"",2011,Rock/Metal/Gothic Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/130s
456239115,Theatre Of Tragedy,Episode,Assembly,Mixed/Mixed Group,2002,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
456239090,Kid Rock,Blue Jeans And A Rosary,Rock N Roll Jesus,Male/Male,2007,Rock/Metal/Rap Metal,Yearning/Bittersweet Pop,Fast Tempo/Fast/130s
456239057,Van Canto,The Seller of Souls,Break the Silence (Bonus Version),Mixed/Mixed Group,2011,Rock/Metal/Progressive Metal,Rowdy/Driving Dark Groove,Medium Tempo/Medium/70s
456239028,Red Sun Rising,My Muse,Polyester Zeal,Male/Male Group,2015,Rock/Metal/Nu-Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
414800144,Helloween,If I Could Fly,The Dark Ride,Male/Male Group,2000,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
411489663,Korn,Souvenir,See You On The Other Side,Male/Male Group,2005,Rock/Metal/Rap Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
425006028,Various Artists,Once Bitten Twice Shy (Cover),100 Hits Driving Rock,"",2011,Rock/Metal/Pop Metal,Excited/Loud Celebratory,Fast Tempo/Fast/130s
424841137,Korn,Twisted Transistor,See You On The Other Side,Male/Male Group,2005,Rock/Metal/Rap Metal,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/110s
409149981,Genitorturers,Kabangin' All Night,Blackheart Revolution,Mixed/Mixed Group,2009,Rock/Metal/Industrial Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium/80s
408956416,Helloween,The Smile Of The Sun,7 Sinners,Male/Male Group,2010,Rock/Metal/Power Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium Slow/50s
403890121,Nightwish,End Of All Hope,Century Child,Mixed/Mixed Group,2002,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
397463801,Амбер,Шаг во мрак,Чёрная Дорога,"",2007,Rock/Metal/Heavy Metal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
396141814,Disturbed,Save Our Last Goodbye,Immortalized [Deluxe Edition],Male/Male Group,2015,Rock/Metal/Nu-Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
391350745,Faun,Tanz Mit Mir,Von Den Elben,Mixed/Mixed Group,2013,Rock/Metal/Industrial Metal,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
382472542,Sepultura,War (Bob Marley cover),Roots [Special Edition],Male/Male Group,2008,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/140s
380047263,Doro/Warlock,All We Are,Rare Diamonds,Mixed/Mixed Group,1991,Rock/Metal/Pop Metal,Rowdy/Confident / Tough,Fast Tempo/Fast/130s
376928048,Hollywood Undead,Comin' In Hot,American Tragedy [Explicit Version],Male/Male Group,2011,Rock/Metal/Rap Metal,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
376008736,Chroming Rose,Stay,Insight,Male/Male Group,1999,Rock/Metal/Power Metal,"",""
372533408,Bon Jovi,Livin' On A Prayer,Slippery When Wet,Male/Male Group,1986,Rock/Metal/Pop Metal,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
368082561,Teräsbetoni,Missä miehet ratsastaa,Myrskyntuoja,Male/Male Group,2008,Rock/Metal/Power Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/140s
367055642,Beyond The Black,Running To The Edge,Songs Of Love And Death,Mixed/Mixed Group,2015,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
349546245,Dark Tranquillity,Dry Run,Character,Male/Male Group,2005,Rock/Metal/Death Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
349546243,Dark Tranquillity,Iridium,We Are the Void,Male/Male Group,2011,Rock/Metal/Death Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
348334114,SoulRelic,Dying Angels,Love Is A Lie We Both Believed,"",2005,Rock/Metal/Heavy Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
348316849,Rammstein,Nebel,Mutter,Male/Male Group,2001,Rock/Metal/Industrial Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
