id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239105,Один в каное,Демони,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
456239055,NF,Can You Hold Me,Mansion,Mixed/Mixed Duo,2015,Other/Religious/Christian Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239031,Will Vidows T. J. Irving,Fire In The Water,Life Style Meditacion,"",2010,Other/New Age/General New Age,Other,Slow Tempo/Static/0
437820930,Nine Lashes,My Friend,World We View,Male/Male Group,2012,Other/Religious/Christian Alt-Rock,Empowering/Idealistic / Stirring,Medium Tempo/Medium Fast/100s
436202664,Sophie Ellis-Bextor,Music Gets The Best Of Me,Music Gets The Best Of Me (Promo),Male/Male Group,0,Other/Mexican/Norteño,"",""
433603688,Один в каное,Стіни,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
410910039,MAGIC!,Rude,Don't Kill The Magic,Male/Male Group,2014,Other/Reggae/Other Reggae,Sensual/Intimate,Medium Tempo/Medium/70s
403440558,Один в каное,Шахи,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
402575134,Один в каное,Маленький хлопчик,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
396142027,Hotel FM,Change,Change (Promo),"",0,Other/Data a Other/Data a Other,"",""
384907966,Dr. Horrible's Sing Along Blog Cast,Everything You Ever Knew,Dr. Horrible's Sing-Along Blog,Mixed/Mixed Group,0,Other/Comedy/Comedy,"",""
384907952,Dr. Horrible's Sing Along Blog Cast,Slipping,Dr. Horrible's Sing-Along Blog,Mixed/Mixed Group,0,Other/Comedy/Comedy,"",""
384907784,Dr. Horrible's Sing Along Blog Cast,Brand New Day,Dr. Horrible's Sing-Along Blog,Mixed/Mixed Group,0,Other/Comedy/Comedy,"",""
380210060,Один в каное,Лю,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
378130446,Various Artists,Le grand voyage,Relaxation,"",2009,Other/Meditative a Space/Meditative,Yearning/Energetic Dreamy,Medium Tempo/Medium/80s
365929243,Day Of Fire,Fade Away,Day Of Fire,Male/Male Group,2004,Other/Religious/Christian Rock a Metal,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
365373813,David Cross,Even Though I Am In The Closet That Won't Prevent Me From Getting Cheap Laughs At The Expense Of Homosexuals!,It's Not Funny,Male/Male,2004,Other/Comedy/Comedy,Other,Slow Tempo/Static/0
364913207,Один в каное,Човен,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
364562327,Один в каное,Коти,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
360722828,The Passion Cast,With Arms Wide Open,The Passion New Orleans,Male/Male,2016,Other/Latin Pop/General Latin Pop,"",""
349161047,Thousand Foot Krutch,Outta Control,Welcome To The Masquerade,Male/Male Group,2009,Other/Religious/Christian Rock a Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
345592526,Kutless,Take Me In,Strong Tower,Male/Male Group,2005,Other/Religious/Christian Alt-Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium/70s
345088256,Phil Wickham,You're Beautiful,Cannons,Male/Male,2008,Other/Religious/Hymns a Spirituals,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
336870318,Superchick,Hey Hey,Rock What You Got,Mixed/Mixed Group,2008,Other/Religious/Christian Alt-Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/120s
336632638,МОТОР'РОЛЛА,8-Ий Колір,…Шо Кому Не Ясно?,"",2005,Other/Data a Other/Data a Other,"",""
325185802,Elizabeth Guest,Lullaby and Goodnight,Sleep Baby Sleep,"",2013,Other/New Age/General New Age,Sentimental/Tender / Sincere,Slow Tempo/Very Slow/30s
324718792,The Giant Leap,Somebody Else,Another Day Rising,"",2007,Other/Data a Other/Data a Other,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
323736036,Elizabeth Guest,Lullaby and Goodnight,Sleep Baby Sleep,"",2013,Other/New Age/General New Age,Sentimental/Tender / Sincere,Slow Tempo/Very Slow/30s
322804835,Gian Marco,Ave Maria,A Tiempo,Male/Male,2002,Other/Latin Pop/General Latin Pop,Fiery/Fiery Groove,Medium Tempo/Medium Fast/90s
295954316,Miguel Bosé,Decirnos Adiós,Papitwo [Disc 1],Mixed/Mixed Duo,2012,Other/Latin Pop/General Latin Pop,Gritty/Strumming Yearning,Medium Tempo/Medium Slow/60s
291733103,Semargl,Poison,Love,"",2014,Other/Data a Other/Data a Other,Excited/Euphoric Energy,Fast Tempo/Fast/130s
288662612,Various Artists,Le grand voyage,Relaxation,"",2009,Other/Meditative a Space/Meditative,Yearning/Energetic Dreamy,Medium Tempo/Medium/80s
276998319,Thousand Foot Krutch,Absolute,The Art Of Breaking,Male/Male Group,2005,Other/Religious/Christian Rock a Metal,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/100s
276998313,Thousand Foot Krutch,Phenomenon,Phenomenon,Male/Male Group,2003,Other/Religious/Christian Rock a Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
276998308,KJ-52,Let's Go,Five-Two Television,Male/Male,2009,Other/Religious/Christian Rap,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/100s
276998301,Thousand Foot Krutch,E For Extinction,Welcome To The Masquerade,Male/Male Group,2009,Other/Religious/Christian Rock a Metal,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/110s
276997360,Thousand Foot Krutch,Take It Out On Me,Welcome to the Masquerade (Fan Edition),Male/Male Group,2011,Other/Religious/Christian Rock a Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
276589043,Watch Tower Bible And Tract Society Of PA,091-V My Father My God And Friend,Sing To Jehovah—Vocal Renditions [Disc 1],Mixed/Mixed Group,2009,Other/Spoken Word/General Spoken Word,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
273756222,Lisa Lynne,Lake Of Dreams,Daughters Of the Celtic Moon: A Windham Hill Collection featuring Lisa Lynne,Female/Female,1998,Other/New Age/New Age World Music,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
272104221,The Letter Black,Pain Killer,Rebuild,Mixed/Mixed Group,2013,Other/Religious/Christian Alt-Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
272100017,Mano Negra,King Of Bongo,King Of Bongo,Male/Male Group,1991,Other/Latin Rock/Latin Alternative,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
267593383,Морски Песъчинки,14 - Знамето Ни Е Трицветно,Незабравими Детски Песнички,"",0,Other/Children's/General Children's Music,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
266280694,David C. Cook,Rainy Days,The Action Bible,"",2010,Other/Spoken Word/Audio Book,"",""
257202299,Sovereign Grace Music,O Great God (Featuring Matt Boswell),30: Three Decades of Songs for the Church,Mixed/Mixed Group,2014,Other/Religious/Hymns a Spirituals,Empowering/Idealistic / Stirring,Medium Tempo/Medium Fast/100s
255960095,Red,Perfect Life,Release The Panic,Male/Male Group,2013,Other/Religious/Christian Alt-Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
252744876,диакон Николай Червон,Мы живем на святой земле,За державу за Российскую!,"",2007,Other/Religious/Christian Rock a Metal,"",""
249576223,David McCullough,1782 [Disc 03]- Track 01,1776,Male/Male,2005,Other/Spoken Word/Audio Book,Other,Slow Tempo/Static/0
249151296,Дикі серцем,Любив Любитиму,Без Зайвих Слів,"",2013,Other/Data a Other/Data a Other,"",""
249151254,Дикі серцем,Без Зайвих Слів,Без Зайвих Слів,"",2013,Other/Data a Other/Data a Other,"",""
247410183,Хор Братии Спасо-Преображенского Валаамского Монастыря,Об'ятия Отча - Напев Свято-Троицкой Сергиевой Лавры,Northern Athos,Male/Male Group,1999,Other/Religious/Christian Inspirational,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
242929052,Один в каное,Подобається як ти ідеш,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
242928967,Один в каное,Пообіцяй мені,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
242928853,Один в каное,Небо,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
219851622,Various Artists,Rock Steady,100% Dynamite,"",1998,Other/Reggae/Other Reggae,Cool/Casual Groove,Slow Tempo/Slow/40s
217342617,The Third Barramundi Sampler,Quiet Light,The Third Barramundi Sampler,"",1995,Other/Data a Other/Data a Other,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
212797827,Various Artists,Le grand voyage,Relaxation,"",2009,Other/Meditative a Space/Meditative,Yearning/Energetic Dreamy,Medium Tempo/Medium/80s
212780733,Iona,Songs Of Ascent Pt. 3,Open Sky,Mixed/Mixed Group,2000,Other/New Age/New Age World Music,Peaceful/Pastoral / Serene,Medium Tempo/Medium/70s
210071322,Digital Publishing,New York - Cab drivers,English 1,"",2008,Other/Spoken Word/Audio Book,Other,Slow Tempo/Static/0
205349177,Kevin Kern,I Am Always Right Here,Imagination's Light,Male/Male,2005,Other/New Age/New Acoustic,Tender/Romantic / Lyrical,Medium Tempo/Medium Slow/50s
205181473,Living Language,Lesson 13: Is It a Good Movie?: 13G Culture Note,Drive Time Japanese,Unknown/Other,2006,Other/Spoken Word/General Spoken Word,Other,Slow Tempo/Static/0
201984370,Seabird,Rescue,'Til We See The Shore,Male/Male Group,2008,Other/Religious/Christian Alt-Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
199332200,Различные Исполнители,Я На Солнышке Лежу,Любимые Песни Детства,"",2006,Other/Children's/General Children's Music,Upbeat/Carefree Pop,Medium Tempo/Medium Slow/60s
196153271,Larry Pierce,Rich Man's Bitch,Songs For Studs,Male/Male,0,Other/Comedy/Comedy,"",""
196115482,Plumb,In My Arms,Blink,Female/Female,2007,Other/Religious/Christian Pop,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/50s
196112909,Ólafur Arnalds,Faun,Found Songs,Male/Male,2009,Other/New Age/New Acoustic,Melancholy/Wistful / Forlorn,Medium Tempo/Medium/60s
196112905,Ólafur Arnalds,(Euology For Evolution).,Euology For Evolution,Male/Male,2007,Other/New Age/New Acoustic,Somber/Solemn / Spiritual,Medium Tempo/Medium Slow/50s
196112877,Ólafur Arnalds,3055,Eulogy For Evolution,Male/Male,2008,Other/New Age/New Acoustic,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
196112875,Ólafur Arnalds,This Place Is A Shelter,Living Room Songs,Male/Male,2011,Other/New Age/New Acoustic,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
196112870,Ólafur Arnalds,Pu Ert Solin (You Are The Sun),...And They Have Escaped The Weight Of Darkness,Male/Male,2010,Other/New Age/New Acoustic,Peaceful/Pastoral / Serene,Slow Tempo/Very Slow/30s
196112865,Ólafur Arnalds,Raein,Found Songs,Male/Male,2009,Other/New Age/New Acoustic,Peaceful/Delicate / Tranquil,Medium Tempo/Medium Slow/60s
194402906,Kanada,Голова профессора доуэля,Сияние,"",2011,Other/Data a Other/Data a Other,"",""
