id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239110,Hurts,Rolling Stone,Surrender (Deluxe),Male/Male Duo,2015,Pop/Western Pop/Adult Alternative Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239085,Rachel Taylor,Light A Fire,Come Alive,Female/Female,2014,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
456239082,Puggy,When You Know,Something You Might Like,Male/Male Group,2009,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
456239069,Jason Mraz,Plane,Mr. A-Z,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/60s
456239049,Hurts,Help,Exile,Male/Male Duo,2013,Pop/Western Pop/Adult Alternative Pop,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
456239032,Ed Sheeran,Give Me Love,+,Male/Male,2011,Pop/Western Pop/Adult Alternative Pop,Empowering/Idealistic / Stirring,Medium Tempo/Medium Fast/110s
440702427,Brunettes Shoot Blondes,Every Monday,Every Monday,Male/Male Group,2016,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/120s
436768168,Brunettes Shoot Blondes,Bittersweet,Bittersweet - EP,Male/Male Group,2015,Pop/Western Pop/Adult Alternative Pop,"",""
432781968,Ed Sheeran,I See Fire,X: Wembley Edition,Male/Male,2015,Pop/Western Pop/Adult Alternative Pop,"",""
411475705,Hurts,Some Kind of Heaven,Surrender (Deluxe),Male/Male Duo,2015,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
411465482,Hurts,Unspoken,Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Medium Tempo/Medium/60s
411464848,Hurts,Better Than Love,Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
411464064,Hurts,Illuminated,Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
411463102,Hurts,Blood Tears a Gold,Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
411462799,Hurts,Wonderful Life,Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
411462514,Hurts,Silver Lining,Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
398153799,Maroon 5,Secret,Songs About Jane,Male/Male Group,2002,Pop/Western Pop/Adult Alternative Pop,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
393625045,Phillip Phillips,Wanted Is Love,The World From The Side Of The Moon,Male/Male,2012,Pop/Western Pop/Adult Alternative Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
385831956,Lenka,The Show,Lenka,Female/Female,2008,Pop/Western Pop/Adult Alternative Pop,Yearning/Bittersweet Pop,Medium Tempo/Medium Fast/120s
376543831,James Gruntz,Dark Side of the Moon,Belvedere,Male/Male,2014,Pop/Western Pop/Adult Alternative Pop,Romantic/Sweet / Sincere,Medium Tempo/Medium Slow/50s
370696507,Hurts,Somebody To Die For,Exile,Male/Male Duo,2013,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/60s
