id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
434345029,Various Artists,Ace Of Base - Alle The She Wants,Take No Crap: Alle Tiders 90'er Hits [Disc 2],"",2006,Pop/Western Pop/Dance Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
404225435,P!nk,Family Portrait,Missundaztood,Female/Female,2001,Pop/Western Pop/Dance Pop,Sensual/Intimate,Slow Tempo/Slow/40s
357575478,Madonna,Ghosttown,Rebel Heart [Deluxe Edition],Female/Female,2015,Pop/Western Pop/Dance Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
336157746,Madonna,Easy Ride,American Life,Female/Female,2003,Pop/Western Pop/Dance Pop,Sensual/Intimate,Slow Tempo/Slow/40s
295574903,Rixton,Me And My Broken Heart,Let The Road,Male/Male Group,2014,Pop/Western Pop/Dance Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
295573860,Taco,Puttin' On The Ritz,After Eight,Male/Male,2008,Pop/Western Pop/Dance Pop,Energizing/Arousing Groove,Medium Tempo/Medium Fast/90s
279920196,David Guetta,Sweat,Nothing But The Beat: Vocal Album,Male/Male Duo,2011,Pop/Western Pop/Dance Pop,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
273995368,Adam Lambert,Music Again,For Your Entertainment,Male/Male,2009,Pop/Western Pop/Dance Pop,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
207246300,The Veronicas,Leave Me Alone,The Secret Life Of The Veronicas,Female/Female Duo,2005,Pop/Western Pop/Dance Pop,Urgent/Dark Pop,Medium Tempo/Medium/70s
200767756,The Veronicas,Forever,The Secret Life Of...,Female/Female Duo,0,Pop/Western Pop/Dance Pop,"",""
200767394,The Veronicas,Mouth Shut,The Secret Life Of The Veronicas,Female/Female Duo,2005,Pop/Western Pop/Dance Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
200767034,The Veronicas,Untouched,Hook Me Up,Female/Female Duo,2007,Pop/Western Pop/Dance Pop,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
196115873,Lady Gaga,You And I,Born This Way [Deluxe Editon] [Disc 1],Female/Female,2011,Pop/Western Pop/Dance Pop,Empowering/Idealistic / Stirring,Medium Tempo/Medium Slow/60s
196114847,The Veronicas,Lolita,Lolita,Female/Female Duo,2012,Pop/Western Pop/Dance Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
180842300,Akcent,Stay With Me,Fără Lacrimi,Male/Male Group,2009,Pop/Western Pop/Dance Pop,Fiery/Fiery Groove,Medium Tempo/Medium Fast/120s
180413180,The Veronicas,Someone Wake Me Up,Hook Me Up,Female/Female Duo,2007,Pop/Western Pop/Dance Pop,Urgent/Dark Pop,Medium Tempo/Medium/70s
174623007,David Guetta,Love Don't Let Me Go (Original Edit),Just A Little More Love,Male/Male,0,Pop/Western Pop/Dance Pop,"",""
