id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239145,Robbie Williams,Party Like A Russian,Party Like A Russian [Single],Male/Male,2016,Pop/Western Pop/Adult Contemporary,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239133,浜崎あゆみ,"A Song for xx ""030213 Session #2""",A BALLADS,Female/Female,2003,Pop/Japanese Pop/J-Pop,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
456239130,Святослав Вакарчук,Така як ти,Вночі,Male/Male,2009,Pop/European Pop/Eastern European Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
456239119,Grace Feat. G-Eazy,You Don't Own Me,You Don't Own Me [Single],Mixed/Mixed Duo,2015,Pop/Western Pop/Urban Crossover: Pop,Cool/Wary / Defiant,Medium Tempo/Medium Slow/60s
456239113,Justin Timberlake,Can't Stop The Feeling!,Can't Stop The Feeling! [Single],Male/Male,2016,Pop/Western Pop/Urban Crossover: Pop,Cool/Casual Groove,Medium Tempo/Medium Slow/50s
456239112,Toto Cutugno,L'Italiano,L'italiano,Male/Male,1983,Pop/European Pop/Mediterranean Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/60s
456239111,浜崎あゆみ,"A Song for xx ""030213 Session #2""",A BALLADS,Female/Female,2003,Pop/Japanese Pop/J-Pop,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
456239110,Hurts,Rolling Stone,Surrender (Deluxe),Male/Male Duo,2015,Pop/Western Pop/Adult Alternative Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239096,Neil Diamond,If You Go Away,Stones,Male/Male,1971,Pop/Western Pop/Pop Vocal,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
456239085,Rachel Taylor,Light A Fire,Come Alive,Female/Female,2014,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
456239083,Barbra Streisand,Woman In Love,Guilty,Female/Female,1980,Pop/Western Pop/Pop Vocal,Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
456239082,Puggy,When You Know,Something You Might Like,Male/Male Group,2009,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
456239080,Визбор V.S. Хутас,Мюнхгаузен,Земляника,"",2015,Pop/Western Pop/Pop Vocal,Cool/Dark Groovy,Medium Tempo/Medium/80s
456239079,Wolf Colony,Holy,Unmasked,"",2015,Pop/Western Pop/Teen Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
456239069,Jason Mraz,Plane,Mr. A-Z,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/60s
456239068,Jüri Pootsmann,Play (Eurovision 2016 - Estonia),Play,Male/Male,2016,Pop/European Pop/Euro Pop,Gritty/Sober / Determined,Medium Tempo/Medium Fast/90s
456239049,Hurts,Help,Exile,Male/Male Duo,2013,Pop/Western Pop/Adult Alternative Pop,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
456239032,Ed Sheeran,Give Me Love,+,Male/Male,2011,Pop/Western Pop/Adult Alternative Pop,Empowering/Idealistic / Stirring,Medium Tempo/Medium Fast/110s
456239020,ortoPilot,Supermassive Black Hole (originally by Muse) ((Acoustic version)),Covers Album Vol. 4,"",2011,Pop/Western Pop/Pop Vocal,Cool/Dark Groovy,Medium Tempo/Medium Fast/110s
