id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
359328325,Pianoбой,Ведьма!,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
334019364,Sunsay,Вiдчувай,Дайвер,Male/Male,2014,Urban/Contemporary RaB/Soul/Urban Crossover,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
190818595,Pianoбой,Спутники,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/50s
190818590,Pianoбой,Простые вещи,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
190818582,Pianoбой,Ночная,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Cool/Cool Confidence,Medium Tempo/Medium/80s
190818567,Pianoбой,Ведьма!,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
178049140,YU-A,ごめんね、ママ (Piano Live Version),優しい顔で近づかないで,Female/Female,2012,Urban/Contemporary RaB/Soul/Urban Crossover,"",""
177113738,Михей и Джуманджи,Дорога К Морю,Сука Любовь,Male/Male Group,1999,Urban/Contemporary RaB/Soul/Urban Crossover,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
121633549,Rihanna,Russian Roulette,Rated R,Female/Female,2009,Urban/Contemporary RaB/Soul/Urban Crossover,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
121633496,Rihanna,Rude Boy,Rated R,Female/Female,2009,Urban/Contemporary RaB/Soul/Urban Crossover,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
118276807,Michael Jackson Feat. Akon,Hold My Hand,Hold My Hand [Single],Male/Male Duo,2010,Urban/Contemporary RaB/Soul/Urban Crossover,Sensual/Intimate,Medium Tempo/Medium Slow/60s
