id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239136,Volbeat,16 Dollars (Live At Forum Copenhagen/2010),Live From Beyond Hell / Above Heaven,Male/Male Group,2011,Rock/Metal/Nu-Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/250s
456239135,Samsas Traum Vs. Weena Morloch,Endstation Eden (Live in Wien - 16.11.2009) [Live],Käfer.Maden.Würmer.Spinnen [Disc 1],"",2011,Rock/Metal/Gothic Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/130s
456239063,Epolets,Зраджуй,Dogma,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Chaotic / Intense,Medium Tempo/Medium Fast/100s
456239044,Led Zeppelin,Whole Lotta Love,Led Zeppelin II,Male/Male Group,1969,Rock/70's Rock/Classic Hard Rock,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
456239029,Without Limit,Sun Lies,Neoclassical,"",2010,Rock/Japanese Rock/Japanese Rock,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
411489663,Korn,Souvenir,See You On The Other Side,Male/Male Group,2005,Rock/Metal/Rap Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
409149981,Genitorturers,Kabangin' All Night,Blackheart Revolution,Mixed/Mixed Group,2009,Rock/Metal/Industrial Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium/80s
384910588,Muse,Survival,The 2nd Law,Male/Male Group,2012,Alternative a Punk/Alternative/Alternative Rock,Aggressive/Heavy Triumphant,Fast Tempo/Fast/160s
383032060,Mani Sharma,Naan Nadanthal Adhiradi,Suraa,Male/Male,2010,Pop/Indian Subcontinent Pop/Indian Film Pop,Aggressive/Dark Hard Beat,Fast Tempo/Fast/130s
382472542,Sepultura,War (Bob Marley cover),Roots [Special Edition],Male/Male Group,2008,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/140s
368082561,Teräsbetoni,Missä miehet ratsastaa,Myrskyntuoja,Male/Male Group,2008,Rock/Metal/Power Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/140s
357580292,Depeche Mode,Useless (The Kruder + Dorfmeister Session),Remixes 81-04 [Disc 2],Male/Male Group,2004,Electronica/Downtempo Lounge a Ambient/General Downtempo,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
343507893,Various Artists,Ми - Хлопці З Бандерштадту,Я Вернувся Домів,"",2011,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
334972224,Bloodbound,We Raise the Dead,Stormborn,Male/Male Group,2014,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
334972175,Sabaton,Talvisota,The Art Of War,Male/Male Group,2008,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
330587367,For My Pain...,Autumn Harmony,Fallen,Male/Male Group,2012,Rock/Metal/Gothic Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/130s
318208231,Helloween,World Of Fantasy,7 Sinners,Male/Male Group,2010,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
314379989,Clawfinger,Nothing Going On,A Whole Lot Of Nothing,Male/Male Group,2001,Rock/Metal/Rap Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/140s
312789128,Gotthard,Dirty Devil Rock,Dial Hard,Male/Male Group,1994,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/220s
307069384,Dream Evil,The Book Of Heavy Metal (March Of The Metallians),The Book Of Heavy Metal,Male/Male Group,2004,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
298412856,Rave The Reqviem,The Svlphvry Void,Rave the Reqviem,"",2014,Alternative a Punk/Alternative/Alternative Rock,Aggressive/Chaotic / Intense,Medium Tempo/Medium Fast/110s
293180210,Bathory,The Sword,Blood On Ice,Male/Male Group,1996,Rock/Metal/Black Metal,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
291735629,Semargl,Credo Satania,Ordo Bellictum Satanas,"",2010,Traditional/Other Traditions/General World,Aggressive/Heavy Triumphant,Fast Tempo/Fast/130s
288672287,Kiske / Somerville,Nothing Left To Say,Kiske / Somerville,"",2010,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
288670785,Revolution Renaissance,Heroes,New Era,"",2008,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
288663133,Kiske / Somerville,Nothing Left To Say,Kiske / Somerville,"",2010,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
