id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239080,Визбор V.S. Хутас,Мюнхгаузен,Земляника,"",2015,Pop/Western Pop/Pop Vocal,Cool/Dark Groovy,Medium Tempo/Medium/80s
456239071,White Town,Your Woman,Women In Technology,Male/Male,1997,Alternative a Punk/Alternative/Alternative Dance,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
456239020,ortoPilot,Supermassive Black Hole (originally by Muse) ((Acoustic version)),Covers Album Vol. 4,"",2011,Pop/Western Pop/Pop Vocal,Cool/Dark Groovy,Medium Tempo/Medium Fast/110s
429222301,Erykah Badu,Love Hangover (Diana Ross Cover) Live @ BET 2007,Badu Mixtape,Female/Female,2007,Urban/Contemporary RaB/Soul/Neo-Soul,Cool/Dark Groovy,Medium Tempo/Medium Fast/110s
387180340,Tim Bendzko,Nur Noch Kurz Die Welt Retten,Wenn Worte Meine Sprache Wären,Male/Male,2011,Pop/European Pop/German Pop,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
366390895,Trad.Attack!,Kooreke,Ah!,"",2015,Pop/Western Pop/Pop Vocal,Cool/Dark Groovy,Medium Tempo/Medium Fast/120s
336831683,Justin Hurwitz a Tim Simonec,Overture,Whiplash,Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Cool/Dark Groovy,Medium Tempo/Medium/60s
334019364,Sunsay,Вiдчувай,Дайвер,Male/Male,2014,Urban/Contemporary RaB/Soul/Urban Crossover,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
330579204,Yodelice,Free,Tree Of Life,Male/Male,2009,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Cool/Dark Groovy,Medium Tempo/Medium Fast/90s
324224716,Vivienne Mort,Персефона,Готика,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Cool/Dark Groovy,Medium Tempo/Medium Fast/110s
310753437,Bee Gees,Stayin' Alive,One Night Only [Live],Male/Male Group,1998,Pop/Western Pop/Adult Contemporary,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
277448494,Lenny Kravitz,If You Can't Say No,5,Male/Male,1998,Rock/Adult Alternative Rock/Adult Alternative Rock,Cool/Dark Groovy,Medium Tempo/Medium/70s
196116264,Over The Rhine,Faithfully Dangerous,Good Dog Bad Dog,Mixed/Mixed Group,1996,Alternative a Punk/Alternative Folk/Alternative Folk,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
136023904,Святослав Вакарчук,Airplane,Брюссель,Male/Male,2011,Pop/European Pop/Eastern European Pop,Cool/Dark Groovy,Medium Tempo/Medium Fast/90s
