id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
409149981,Genitorturers,Kabangin' All Night,Blackheart Revolution,Mixed/Mixed Group,2009,Rock/Metal/Industrial Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium/80s
383032060,Mani Sharma,Naan Nadanthal Adhiradi,Suraa,Male/Male,2010,Pop/Indian Subcontinent Pop/Indian Film Pop,Aggressive/Dark Hard Beat,Fast Tempo/Fast/130s
357580292,Depeche Mode,Useless (The Kruder + Dorfmeister Session),Remixes 81-04 [Disc 2],Male/Male Group,2004,Electronica/Downtempo Lounge a Ambient/General Downtempo,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
343507893,Various Artists,Ми - Хлопці З Бандерштадту,Я Вернувся Домів,"",2011,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
279920499,Various Artists,Ми - Хлопці З Бандерштадту,Я Вернувся Домів,"",2011,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
279920196,David Guetta,Sweat,Nothing But The Beat: Vocal Album,Male/Male Duo,2011,Pop/Western Pop/Dance Pop,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
276998308,KJ-52,Let's Go,Five-Two Television,Male/Male,2009,Other/Religious/Christian Rap,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/100s
271279133,Гайдамаки,Тіні забутих предків,Гайдамаки,Male/Male Group,2013,Rock/Folk Rock/General Folk Rock,Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
270482764,Various Artists,007-Hypo (S.A. Mix),There Is No Time - The RAS DVA Quaduple Compilation: The State of the Art on Four Discs [Disc 1],"",1995,Alternative a Punk/Industrial/Industrial,Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
261845080,Гайдамаки,Тіні забутих предків,Гайдамаки,Male/Male Group,2013,Rock/Folk Rock/General Folk Rock,Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
255448435,Theatres Des Vampires,Two Seconds,Anima Noir,Mixed/Mixed Group,2008,Rock/Metal/Gothic Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium/80s
249151729,t.A.T.u.,Нас Не Догонят (Not Gonna Get Us),200 Km/H In The Wrong Lane [Bonus Tracks],Female/Female Duo,2003,Pop/European Pop/Eastern European Pop,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
246785298,JMSN,Love a Pain (Ta-Ku Remix),Love a Pain [Remix EP],Male/Male,2013,Electronica/Electronica Mainstream/Pop Electronica,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
243542586,Гайдамаки,Тіні забутих предків,Гайдамаки,Male/Male Group,2013,Rock/Folk Rock/General Folk Rock,Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
243542583,Гайдамаки,Тіні забутих предків,Гайдамаки,Male/Male Group,2013,Rock/Folk Rock/General Folk Rock,Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
218572277,The Rapture,Pieces Of The People We Love,Pieces Of The People We Love,Male/Male Group,2006,Alternative a Punk/Indie Rock/Indie Pop,Aggressive/Dark Hard Beat,Medium Tempo/Medium/70s
209238416,Trust,Shoom,Trst,Male/Male Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/100s
196115580,Garbage,Shut Your Mouth,Beautiful Garbage,Mixed/Mixed Group,2001,Alternative a Punk/Alternative/Alternative Rock,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
193520329,Delilah,Disrespect,Purchased,Female/Female,2012,Electronica/House/U.K. Garage,Aggressive/Dark Hard Beat,Fast Tempo/Fast/150s
188226578,RINO LATINA II,バビロンに告ぐ,II -THE SECOND-,Male/Male,2006,Urban/Asian Hip-Hop/Rap/Japanese Hip-Hop/Rap,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
188226509,RINO LATINA II,バビロンに告ぐ,II -THE SECOND-,Male/Male,2006,Urban/Asian Hip-Hop/Rap/Japanese Hip-Hop/Rap,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
188226327,RINO LATINA II,バビロンに告ぐ,II -THE SECOND-,Male/Male,2006,Urban/Asian Hip-Hop/Rap/Japanese Hip-Hop/Rap,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
188226185,RINO LATINA II,バビロンに告ぐ,II -THE SECOND-,Male/Male,2006,Urban/Asian Hip-Hop/Rap/Japanese Hip-Hop/Rap,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
132159849,t.A.T.u.,Нас Не Догонят (Not Gonna Get Us),200 Km/H In The Wrong Lane [Bonus Tracks],Female/Female Duo,2003,Pop/European Pop/Eastern European Pop,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
120711198,Otto Dix,Мечта о весне,Зона Теней,Mixed/Mixed Group,2009,"",Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
