id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
424843310,Lovex,Watch Out!,Watch Out! [Bonus Tracks],Male/Male Group,2011,Alternative a Punk/Emo a Hardcore/Emo,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/100s
295810378,Goo Goo Dolls,Big Machine,Gutterflower,Male/Male Group,2002,Rock/Adult Alternative Rock/Adult Alternative Rock,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/110s
295810371,Goo Goo Dolls,Stay With You,Let Love In,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Defiant/Hard Positive Excitement,Fast Tempo/Fast/140s
257199870,Avantasia,Another Angel Down,The Scarecrow,Male/Male Group,2008,Rock/Metal/Progressive Metal,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/100s
209238580,Barenaked Ladies,Big Bang Theory Theme,BNL Rocks Red Rocks [Live],Male/Male Group,2016,Pop/Western Pop/Adult Alternative Pop,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
193602035,Fall Out Boy,She's My Winona,Folie À Deux,Male/Male Group,2008,Alternative a Punk/Emo a Hardcore/Emo,Defiant/Hard Positive Excitement,Fast Tempo/Fast/130s
193601863,Fall Out Boy,Saturday,Take This To Your Grave,Male/Male Group,2003,Alternative a Punk/Emo a Hardcore/Emo,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/90s
184058643,Sunrise Avenue,Bye Bye (One Night Kind),Popgasm,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
180412998,System Of A Down,Sky,Hypnotize,Male/Male Group,2005,Rock/Metal/Nu-Metal,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/90s
139716392,My Chemical Romance,Na Na Na (Na Na Na Na Na Na Na Na Na),Danger Days: The True Lives Of The Fabulous Killjoys,Male/Male Group,2010,Alternative a Punk/Emo a Hardcore/Emo,Defiant/Hard Positive Excitement,Fast Tempo/Fast/160s
136724307,The Kooks,Be Mine,Inside In/Inside Out,Male/Male Group,2006,Alternative a Punk/Indie Rock/Indie Pop,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/90s
121635309,Fall Out Boy,Don't You Know Who I Think I Am?,Infinity On High,Male/Male Group,2007,Alternative a Punk/Emo a Hardcore/Emo,Defiant/Hard Positive Excitement,Fast Tempo/Fast/160s
