id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239064,Epolets,Мелодія,Cult,"",2016,Alternative a Punk/Alternative/Alternative Rock,Energizing/Arousing Groove,Medium Tempo/Medium Fast/110s
345052059,Prince,Kiss,The Hits/The B-Sides [Disc 2],Mixed/Mixed Group,1993,Urban/Classic RaB/Soul/Funk,Energizing/Arousing Groove,Medium Tempo/Medium Fast/110s
298555031,Example,One More Day (Stay With Me),Live Life Living [Deluxe Edition],Male/Male,2014,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Energizing/Arousing Groove,Medium Tempo/Medium Fast/120s
295573860,Taco,Puttin' On The Ritz,After Eight,Male/Male,2008,Pop/Western Pop/Dance Pop,Energizing/Arousing Groove,Medium Tempo/Medium Fast/90s
279919736,Глюкоза,Аста Ла Виста,Глюк'oza Nostra,Female/Female,2003,"",Energizing/Arousing Groove,Medium Tempo/Medium Fast/110s
270976539,Haddaway,Fallen Angel,Pop Splits,Male/Male,2011,Electronica/Dance a Club/Club Dance,Energizing/Arousing Groove,Medium Tempo/Medium Fast/120s
213232596,Dr. Dre,Lil' Ghetto Boy,The Chronic,Male/Male Group,1992,Urban/Western Hip-Hop/Rap/Gangsta Rap,Energizing/Arousing Groove,Medium Tempo/Medium Fast/90s
202448158,Жанна Агузарова,Мальчик В Теннисных Туфлях,Back 2 Future,Female/Female,2003,"",Energizing/Arousing Groove,Fast Tempo/Fast/140s
181098429,Royal Crown Revue,Hey Pachuco!,Mugzy's Move,Male/Male Group,1995,Alternative a Punk/Swing Revival/Swing Revival,Energizing/Arousing Groove,Fast Tempo/Fast/130s
155912597,Maroon 5,Give A Little More,Hands All Over,Male/Male Group,2010,Pop/Western Pop/Adult Alternative Pop,Energizing/Arousing Groove,Medium Tempo/Medium Fast/110s
136023962,Святослав Вакарчук,Адреналін,Брюссель,Male/Male,2011,Pop/European Pop/Eastern European Pop,Energizing/Arousing Groove,Medium Tempo/Medium Fast/90s
