id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239098,Therr Maitz,365,365,Mixed/Mixed Group,2016,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,Excited/Euphoric Energy,Medium Tempo/Medium Fast/110s
456239095,The Birthday Massacre,Goodnight,Walking With Strangers,Mixed/Mixed Group,2007,Alternative a Punk/Goth/Goth,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
456239091,Panic! At The Disco,Nicotine,Too Weird To Live Too Rare To Die!,Male/Male Group,2013,Alternative a Punk/Punk/Pop Punk,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
456239061,Eliot Sumner,Information,Information,Female/Female,2016,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Excited/Euphoric Energy,Fast Tempo/Fast/140s
434397391,Peter Schilling,Major Tom (völlig losgelöst),Retrospektive,Male/Male,2012,Alternative a Punk/New Wave Pop/New Wave Pop,Excited/Euphoric Energy,Fast Tempo/Fast/140s
374328506,Tiësto Feat. Christian Burns,In The Dark (Radio Edit) (Radio Edit),In The Dark,"",2013,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
358126550,Ash Code,Dry Your Eyes,Oblivion,"",2014,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Fast Tempo/Fast/150s
323509591,140 ударов в минуту,Я Не Отдм Тебя Никому,Скорость Звука,Male/Male Group,0,Pop/European Pop/Eastern European Pop,Excited/Euphoric Energy,Fast Tempo/Fast/130s
310752259,Moby,Lift Me Up,Hotel [Disc 1],Male/Male,2005,Electronica/Electronica Mainstream/Pop Electronica,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
291733103,Semargl,Poison,Love,"",2014,Other/Data a Other/Data a Other,Excited/Euphoric Energy,Fast Tempo/Fast/130s
276588867,Kool a The Gang,Джоанна (feat. Blazin 'Squad),Лучший из Kool a The Gang,Male/Male Group,2014,Urban/Classic RaB/Soul/Funk,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
269120740,Calvin Harris,Under Control,Motion,Male/Male Group,2014,Electronica/House/Progressive House,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
254484982,Diary Of Dreams,She,Freak Perfume,Male/Male Duo,2002,Alternative a Punk/Goth/Goth,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
243133129,Градусы,Радио Дождь,Чувство Ловкости,Male/Male Group,2014,"",Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
242025003,Vlad In Tears,Here Comes the Rain,Welcome to Vladyland,"",2011,Alternative a Punk/Indie Rock/General Indie Rock,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
240725891,Various Artists,Dubi Dam Dam (Single Version 2013),Die Kindergarten Hitparade - 02: Kinderdisco- und Partylieder,Mixed/Mixed Group,2013,Pop/Western Pop/Teen Pop,Excited/Euphoric Energy,Fast Tempo/Fast/140s
210602477,Guru Groove Foundation,Golden Love [Mr. Frenkie Radio Edit],Golden Love (Mr. Frenkie Remix),Mixed/Mixed Group,2015,Urban/Classic RaB/Soul/RaB/Soul,Excited/Euphoric Energy,Fast Tempo/Fast/170s
206511857,Fallulah,Hey You,The Black Cat Neighbourhood,Female/Female,2010,Alternative a Punk/Indie Rock/General Indie Rock,Excited/Euphoric Energy,Fast Tempo/Very Fast/190s
196116915,Various Artists,Be Your Sound (Orjan Nilsen Remix),The Annual Compilation 2012 [Disc 5],"",2012,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
194335025,Руки Вверх!,Сережа (Dance Mix),Маленькие девочки,Male/Male Duo,2001,Pop/European Pop/Eastern European Pop,Excited/Euphoric Energy,Fast Tempo/Fast/140s
190818861,My Darkest Days,Set It On Fire,My Darkest Days,Male/Male Group,2010,Alternative a Punk/Alternative/Alternative Rock,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
190818283,fun.,Some Nights,Some Nights,Male/Male Group,2012,Pop/Western Pop/Adult Alternative Pop,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
