id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239098,Therr Maitz,365,365,Mixed/Mixed Group,2016,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,Excited/Euphoric Energy,Medium Tempo/Medium Fast/110s
456239095,The Birthday Massacre,Goodnight,Walking With Strangers,Mixed/Mixed Group,2007,Alternative a Punk/Goth/Goth,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
456239091,Panic! At The Disco,Nicotine,Too Weird To Live Too Rare To Die!,Male/Male Group,2013,Alternative a Punk/Punk/Pop Punk,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
456239061,Eliot Sumner,Information,Information,Female/Female,2016,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Excited/Euphoric Energy,Fast Tempo/Fast/140s
456239047,Queen,Don't Stop Me Now,Jazz,Male/Male Group,1978,Rock/70's Rock/Classic Rock,Excited/Loud Celebratory,Fast Tempo/Fast/150s
456239046,Queen,I Want To Break Free,Live At Wembley '86 [Disc 1],Male/Male Group,1992,Rock/70's Rock/Classic Rock,Excited/Loud Celebratory,Medium Tempo/Medium Fast/110s
456239025,The Kinks,All Day And All Of The Night,The Kinks,Male/Male Group,1998,Rock/60's Rock/British Invasion,Excited/Loud Celebratory,Fast Tempo/Fast/130s
434397391,Peter Schilling,Major Tom (völlig losgelöst),Retrospektive,Male/Male,2012,Alternative a Punk/New Wave Pop/New Wave Pop,Excited/Euphoric Energy,Fast Tempo/Fast/140s
425006028,Various Artists,Once Bitten Twice Shy (Cover),100 Hits Driving Rock,"",2011,Rock/Metal/Pop Metal,Excited/Loud Celebratory,Fast Tempo/Fast/130s
386086415,Our Last Night,Younger Dreams,Younger Dreams,Male/Male Group,2015,Alternative a Punk/Emo a Hardcore/Hardcore,Excited/Happy Excitement,Fast Tempo/Fast/150s
376928682,KC a The Sunshine Band,Keep It Comin' Love,The Best Of KC a The Sunshine Band,Male/Male Group,1990,Electronica/Disco/Disco,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/110s
376928428,KC a The Sunshine Band,Give It Up,The Best Of KC a The Sunshine Band,Male/Male Group,1990,Electronica/Disco/Disco,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
374328506,Tiësto Feat. Christian Burns,In The Dark (Radio Edit) (Radio Edit),In The Dark,"",2013,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
358126550,Ash Code,Dry Your Eyes,Oblivion,"",2014,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Fast Tempo/Fast/150s
357234400,Lawson,Roads,Lawson,Male/Male Group,2015,Pop/Western Pop/Adult Alternative Pop,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/110s
351306496,EXILE TRIBE,VICTORY 2014,EXILE TRIBE REVOLUTION,Mixed/Mixed Group,2014,Pop/Japanese Pop/J-Pop,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
351305332,EXILE TRIBE,VICTORY 2014,EXILE TRIBE REVOLUTION,Mixed/Mixed Group,2014,Pop/Japanese Pop/J-Pop,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
349308272,a-ha,Take On Me,Hunting High a Low,Male/Male Group,1985,Alternative a Punk/New Wave Pop/New Wave Pop,Excited/Upbeat Pop Groove,Medium Tempo/Medium/80s
341222493,EXILE TRIBE,VICTORY 2014,EXILE TRIBE REVOLUTION,Mixed/Mixed Group,2014,Pop/Japanese Pop/J-Pop,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
336868772,Roxette,Real Sugar,Room Service,Mixed/Mixed Duo,2001,Rock/70's Rock/Classic Pop-Rock,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
323509591,140 ударов в минуту,Я Не Отдм Тебя Никому,Скорость Звука,Male/Male Group,0,Pop/European Pop/Eastern European Pop,Excited/Euphoric Energy,Fast Tempo/Fast/130s
312765589,Royal Bangs,Russia Goodbye,We Breed Champions,Male/Male Group,2009,Alternative a Punk/Indie Rock/General Indie Rock,Excited/Happy Excitement,Fast Tempo/Fast/140s
