id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
319638179,Avenue Q Cast,What Do You Do With A B.A. In English/It Sucks To Be Me,Avenue Q,Mixed/Mixed Group,2003,Soundtrack/Stage Musicals/Stage Musicals,Lively/Showy / Rousing,Medium Tempo/Medium Fast/100s
264433303,Michael Jackson,Is It Scary,Blood On The Dance Floor: HIStory In The Mix,Male/Male,1997,Urban/Contemporary RaB/Soul/Pop Soul,Lively/Showy / Rousing,Medium Tempo/Medium Fast/100s
190822003,Различные исполнители,Внимание на старт!,Вместе весело шагать,"",2014,Other/Children's/General Children's Music,Lively/Showy / Rousing,Fast Tempo/Fast/150s
190821999,Различные исполнители,Внимание на старт!,Вместе весело шагать,"",2014,Other/Children's/General Children's Music,Lively/Showy / Rousing,Fast Tempo/Fast/150s
190821992,Различные исполнители,Внимание на старт!,Вместе весело шагать,"",2014,Other/Children's/General Children's Music,Lively/Showy / Rousing,Fast Tempo/Fast/150s
190821987,Различные исполнители,Внимание на старт!,Вместе весело шагать,"",2014,Other/Children's/General Children's Music,Lively/Showy / Rousing,Fast Tempo/Fast/150s
190821978,Различные исполнители,Внимание на старт!,Вместе весело шагать,"",2014,Other/Children's/General Children's Music,Lively/Showy / Rousing,Fast Tempo/Fast/150s
190821957,Различные исполнители,Внимание на старт!,Вместе весело шагать,"",2014,Other/Children's/General Children's Music,Lively/Showy / Rousing,Fast Tempo/Fast/150s
190821948,Различные исполнители,Внимание на старт!,Вместе весело шагать,"",2014,Other/Children's/General Children's Music,Lively/Showy / Rousing,Fast Tempo/Fast/150s
190821943,Различные исполнители,Внимание на старт!,Вместе весело шагать,"",2014,Other/Children's/General Children's Music,Lively/Showy / Rousing,Fast Tempo/Fast/150s
190821938,Различные исполнители,Внимание на старт!,Вместе весело шагать,"",2014,Other/Children's/General Children's Music,Lively/Showy / Rousing,Fast Tempo/Fast/150s
184309839,Gigi - Original 1985 London Cast,She's Not Thinking Of Me,Gigi - Original 1985 London Cast Recording,"",1985,Soundtrack/Stage Musicals/Stage Musicals,Lively/Showy / Rousing,Medium Tempo/Medium Fast/120s
