id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239077,Mutemath,You Are Mine,Mutemath,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
456239054,Coldplay,Amsterdam,A Rush Of Blood To The Head,Male/Male Group,2002,Alternative a Punk/Brit Rock/Brit Rock,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
376545029,Hozier,In The Woods Somewhere,Hozier: Deluxe Edition,Male/Male,2015,Alternative a Punk/Alternative Folk/Alternative Folk,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
366416714,2CELLOS,Shape of My Heart,Celloverse,Male/Male Duo,2015,Classical/Classical Crossover/Classical Crossover Instrumental,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
349788367,Iron a Wine,Such Great Heights,Around The Well [Disc 1],Male/Male,2009,Alternative a Punk/Alternative Folk/Alternative Folk,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
348577067,Dead Man's Bones,Pa Pa Power,Dead Man's Bones,Male/Male Duo,2009,Alternative a Punk/Indie Rock/Indie Pop,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
319045099,30 Seconds To Mars,100 Suns,This Is War,Male/Male Group,2009,Alternative a Punk/Emo a Hardcore/Emo,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
313555142,City And Colour,What Makes A Man?,Bring Me Your Love,Male/Male,2007,Alternative a Punk/Emo a Hardcore/Emo,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
272081001,Poets Of The Fall,Where Do We Draw the Line,Revolution Roulette,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
270253753,Hurts,Sunday [Demo],Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
253396916,ATB,Magnetic Girl,Distant Earth,Male/Male,2011,Electronica/Trance/Trance,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
226485909,Brainstorm,French Cartoon,Four Shores,Male/Male Group,2006,Pop/European Pop/Eastern European Pop,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/60s
209009711,Ed Sheeran,Kiss Me,+,Male/Male,2011,Pop/Western Pop/Adult Alternative Pop,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
206434248,Éléphant,Lisa,Collective mon amour,Mixed/Mixed Duo,2013,Pop/European Pop/French Pop,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
189180713,Yoav,Hotel Oblivion,Blood Vine,Male/Male,2015,Alternative a Punk/Indie Rock/Post-Modern Electronic Pop,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
188927018,PJ Harvey,England,Let England Shake,Female/Female,2011,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
183546072,The 69 Eyes,Rosary Blue (Featuring Kat von D) [Bonus Track],X (Bonus Version),Male/Male Group,2012,Alternative a Punk/Goth/Goth,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
177968441,Океан Ельзи,На Лінії Вогню,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
177967384,Океан Ельзи,На Лінії Вогню,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
118552407,Damien Rice,9 Crimes [Demo],9,Male/Male,2006,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
118277088,Океан Ельзи,Відпусти,Янанебібув,Male/Male Group,2002,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
