id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239031,Will Vidows T. J. Irving,Fire In The Water,Life Style Meditacion,"",2010,Other/New Age/General New Age,Other,Slow Tempo/Static/0
365373813,David Cross,Even Though I Am In The Closet That Won't Prevent Me From Getting Cheap Laughs At The Expense Of Homosexuals!,It's Not Funny,Male/Male,2004,Other/Comedy/Comedy,Other,Slow Tempo/Static/0
282219184,Michael Jackson,Workin' Day And Night (Original Demo Recording From 1978),Off The Wall,Male/Male,1979,Urban/Contemporary RaB/Soul/Pop Soul,Other,Medium Tempo/Medium/60s
279920405,Лесь Подерв'янський,Кацапи,Діана та інші п'єси,"",2003,Traditional/Folk/Traditional U.S. Folk,Other,Slow Tempo/Static/0
249576223,David McCullough,1782 [Disc 03]- Track 01,1776,Male/Male,2005,Other/Spoken Word/Audio Book,Other,Slow Tempo/Static/0
248931763,Various Artists,Водопад (Allegro),Малыш у реки,"",1999,Classical/Other Classical/General Classical,Other,Slow Tempo/Slow/40s
210071322,Digital Publishing,New York - Cab drivers,English 1,"",2008,Other/Spoken Word/Audio Book,Other,Slow Tempo/Static/0
205181473,Living Language,Lesson 13: Is It a Good Movie?: 13G Culture Note,Drive Time Japanese,Unknown/Other,2006,Other/Spoken Word/General Spoken Word,Other,Slow Tempo/Static/0
191934661,Dean Koontz,Dragon Tears [Disc 1] Track 12,Dragon Tears [Disc 1],Male/Male,1993,Other/Spoken Word/Audio Book,Other,Slow Tempo/Static/0
190818586,t.A.T.u.,Смысла Нет,Поднебесная,Female/Female Duo,2004,"",Other,Medium Tempo/Medium/60s
189891782,Dean Koontz,Dragon Tears [Disc 1] Track 12,Dragon Tears [Disc 1],Male/Male,1993,Other/Spoken Word/Audio Book,Other,Slow Tempo/Static/0
188208477,David McCullough,1782 [Disc 03]- Track 01,1776,Male/Male,2005,Other/Spoken Word/Audio Book,Other,Slow Tempo/Static/0
175877778,Edith Sitwell,Four in the Morning. Something Lies Beyond the Sea. Sir Beelzebub,Façade,"",2014,Other/Spoken Word/General Spoken Word,Other,Medium Tempo/Medium Slow/50s
147893746,Воплi Вiдоплясова,Як під небом,Хвилі амура,Male/Male Group,2000,Rock/Mainstream Rock/General Mainstream Rock,Other,Slow Tempo/Static/0
127464229,Eminem,The Kiss (Skit),The Eminem Show,Male/Male,2002,Urban/Western Hip-Hop/Rap/Midwestern Rap,Other,Medium Tempo/Medium Slow/60s
