id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
337400375,Alexandre Desplat,Alone With Numbers,The Imitation Game: Original Motion Picture Soundtrack,Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Peaceful/Quiet / Introspective,Medium Tempo/Medium Slow/50s
295818352,Eicca Toppinen,Love Song,Music For The Movie Black Ice,"",2007,Pop/Western Pop/Pop Vocal,Peaceful/Pastoral / Serene,Medium Tempo/Medium Slow/60s
266206964,Stephen Cleobury: Choir Of King's College Cambridge Academy Of Ancient Music,"Bach: Cantata #147 BWV 147 ""Herz Und Mund Und Tat Und Leben"" - Jesu Bleibet Meine Freude",Bach: Magnificat Etc. [Disc 2],Mixed/Mixed Group,2000,Classical/Other Classical/Classical Choral,Peaceful/Pastoral / Serene,Slow Tempo/Slow/40s
241818106,Isabel Alvarez Toyohiko Satoh Sour Cream,Rondeau No. 14. Ma fin est mon commencement,The Passion of Reason [Disc 1],"",2013,Classical/Other Classical/General Classical,Peaceful/Reverent / Healing,Medium Tempo/Medium/70s
212780733,Iona,Songs Of Ascent Pt. 3,Open Sky,Mixed/Mixed Group,2000,Other/New Age/New Age World Music,Peaceful/Pastoral / Serene,Medium Tempo/Medium/70s
212777720,Lumen,Гореть,Правда?,Male/Male Group,2007,Rock/Mainstream Rock/General Mainstream Rock,Peaceful/Quiet / Introspective,Medium Tempo/Medium/60s
200004483,Drew Tretick,Phantom of the Opera (Instrumental Medley: Andrew Lloyd Webber) [feat. Kirk Trevor a the Slovak National Symphony Orchestra],A Summer Serenade,Male/Male,2012,Classical/Classical Crossover/Classical Crossover Instrumental,Peaceful/Pastoral / Serene,Medium Tempo/Medium/60s
196112870,Ólafur Arnalds,Pu Ert Solin (You Are The Sun),...And They Have Escaped The Weight Of Darkness,Male/Male,2010,Other/New Age/New Acoustic,Peaceful/Pastoral / Serene,Slow Tempo/Very Slow/30s
196112865,Ólafur Arnalds,Raein,Found Songs,Male/Male,2009,Other/New Age/New Acoustic,Peaceful/Delicate / Tranquil,Medium Tempo/Medium Slow/60s
184058345,Sunrise Avenue,Something Sweet,Popgasm,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Peaceful/Delicate / Tranquil,Medium Tempo/Medium Fast/90s
