id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239060,Eliot Sumner,Species,Information,Female/Female,2016,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
384753145,Руслана,Дика енергія,Амазонка,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
375516605,Mike Oldfield,Evacuation (Remastered 2015 / Single Edit / Bonus Track),The Killing Fields (Original Motion Picture Soundtrack / Remastered 2015),Male/Male,2016,Rock/70's Rock/Classic Prog,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
366651389,Jamala,Шлях додому,Подих,Female/Female,2015,Jazz/Jazz Vocals/Jazz Vocals,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
352413067,The Maneken,Keep Moving On,Keep Moving On,Male/Male,2014,Alternative a Punk/Indie Rock/Indie Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
346365471,ONUKA,Look,Look,Female/Female,2014,"",Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
338379702,Bronski Beat,Smalltown Boy,The Age Of Consent [Bonus Tracks],Male/Male Group,2000,Alternative a Punk/Synth Pop/Synth Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
332466702,Massive Attack,Angel,Mezzanine,Mixed/Mixed Group,1998,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
261355129,VETO,Turing Machine,Point Break,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
217342617,The Third Barramundi Sampler,Quiet Light,The Third Barramundi Sampler,"",1995,Other/Data a Other/Data a Other,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
209241930,Foxes,Youth,Glorious [Deluxe Edition],Female/Female,2014,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
207356184,Zapaska,Cosmo Tour (Original Mix),Translitom,"",2011,Alternative a Punk/Alternative/Alternative Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
200292788,Various Artists,Moving Backwards (Featuring Kate Louise Smith),Distant Earth,Male/Male,2011,Electronica/Trance/Trance,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
193602795,FC Kahuna,Hayling,Machine Says Yes,Male/Male Duo,2002,Electronica/Electronica Mainstream/Big Beat,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
181935837,How To Destroy Angels,A Drowning,How To Destroy Angels,Mixed/Mixed Group,2010,Alternative a Punk/Industrial/Industrial,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
175878474,FC Kahuna,Hayling,Machine Says Yes,Male/Male Duo,2002,Electronica/Electronica Mainstream/Big Beat,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
165884523,Воплi Вiдоплясова,Ой Та Хто Горя Не Знае (Карпатская Танцевальная),Вiдрада,Male/Male Group,2004,Rock/Mainstream Rock/General Mainstream Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
118553075,Kelly Holiday,Dogma,Essential Music (Album),"",2014,Electronica/Dance a Club/Club Dance,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
118553072,Kelly Holiday,Dogma,Essential Music (Album),"",2014,Electronica/Dance a Club/Club Dance,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
