id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239068,Jüri Pootsmann,Play (Eurovision 2016 - Estonia),Play,Male/Male,2016,Pop/European Pop/Euro Pop,Gritty/Sober / Determined,Medium Tempo/Medium Fast/90s
456239056,Snow Patrol,The Golden Floor,A Hundred Million Suns,Male/Male Group,2008,Alternative a Punk/Brit Rock/Brit Rock,Gritty/Sober / Determined,Medium Tempo/Medium/70s
456239033,Imany,Kisses In The Dark,The Shape Of A Broken Heart,Female/Female,2011,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
456239019,ortoPilot,Moon River (originally by Andy Williams),Covers Album Vol. 6,"",2011,Pop/Western Pop/Pop Vocal,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
403106090,Bahroma,Надолго,Внутри,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
402625716,Bob Dylan,To Make You Feel My Love,Classics Live,Male/Male,2007,Rock/Folk Rock/Classic Folk Rock,Gritty/Sober / Determined,Medium Tempo/Medium/70s
402449751,Макс Фадеев,Танцы На Стёклах,Ножницы,Male/Male,1997,"",Gritty/Sober / Determined,Medium Tempo/Medium/80s
391508817,Сергей Трофимов,Родина,Ностальгия,Male/Male,2005,Pop/European Pop/Eastern European Pop,Gritty/Sober / Determined,Medium Tempo/Medium/60s
350814483,Тарас Чубай Скрябін,Пливе кача,Наші партизани,"",2000,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Sober / Determined,Medium Tempo/Medium Slow/60s
330578862,Yodelice,Sunday With A Flu,Tree Of Life,Male/Male,2009,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Gritty/Sober / Determined,Medium Tempo/Medium/80s
323739017,Валентин Стрыкало,Дешёвые драмы,Смирись и расслабься,Male/Male Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
267593379,Фіолет,Скинем светри,ВігВам,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Sober / Determined,Medium Tempo/Medium/70s
255434901,Arctic Monkeys,Do I Wanna Know?,AM,Male/Male Group,2013,Alternative a Punk/Indie Rock/Post-Punk Revival,Gritty/Sober / Determined,Medium Tempo/Medium/80s
219698512,Beccy Cole,Lazy Bones (Play School Theme Toot Toot Chugga Chugga Big Red Car Hot Potato Bananas In Pyjamas Round and Round The Garden Bob The Builder (Can We Fix It)),Live @ Lizottes,Female/Female,2007,Traditional/Country/General Country,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
