id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
399758235,Babybird,You're Gorgeous,Ugly Beautiful,Male/Male Group,1996,Alternative a Punk/Brit Pop/Brit Pop,Empowering/Strong / Stable,Medium Tempo/Medium/80s
368083342,Paradise Oskar,Da Da Dam,Sunday Songs,"",2011,Pop/Western Pop/Pop Vocal,Empowering/Strong / Stable,Medium Tempo/Medium/70s
365368940,Корни,А Мне Бы Голубем,На Века,Male/Male Group,2003,Pop/European Pop/Eastern European Pop,Empowering/Strong / Stable,Medium Tempo/Medium/70s
323509364,Placebo,Dark Globe,B-Sides 1996-2006 [Disc 1],Male/Male Group,2011,Alternative a Punk/Brit Rock/Brit Rock,Empowering/Strong / Stable,Medium Tempo/Medium Fast/90s
313678524,Tom Petty,Free Fallin',Full Moon Fever,Male/Male,1989,Rock/Mainstream Rock/General Mainstream Rock,Empowering/Strong / Stable,Medium Tempo/Medium/80s
312789289,Gotthard,Lonely People,Homerun,Male/Male Group,2001,Rock/Mainstream Rock/General Mainstream Rock,Empowering/Strong / Stable,Medium Tempo/Medium Slow/50s
293174925,Savage Garden,Truly Madly Deeply,Savage Garden [Bonus Track],Male/Male Duo,1997,Pop/Western Pop/Adult Alternative Pop,Empowering/Strong / Stable,Medium Tempo/Medium/80s
264733516,Van Morrison,I Need Your Kind Of Loving,Hymns To The Silence [Disc 2],Male/Male,1991,Rock/Folk Rock/Classic Folk Rock,Empowering/Strong / Stable,Medium Tempo/Medium/80s
260764891,Patrick Nuo,She's Like The Wind,Welcome [Bonus Tracks],Male/Male,2004,Pop/Western Pop/Teen Pop,Empowering/Strong / Stable,Medium Tempo/Medium Slow/60s
213349821,Свинцовый Туман,В Толпе Твое Имя...,Свинцовый Туман,Mixed/Mixed Group,2013,"",Empowering/Strong / Stable,Medium Tempo/Medium/60s
206436897,Saving Abel,Beautiful Day,Saving Abel,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Empowering/Strong / Stable,Medium Tempo/Medium/60s
195014858,С.К.А.Й.,Зникаю,Те Що Треба,Male/Male Group,2006,"",Empowering/Strong / Stable,Medium Tempo/Medium Slow/60s
194333955,Kenny Chesney,Life Is Good,Everywhere We Go,Male/Male,1999,Traditional/Country/Contemporary Country,Empowering/Strong / Stable,Medium Tempo/Medium/80s
185053065,Jack Mack And The Heart Attack,Somewhere Somebody,Jack It Up,"",1990,Rock/Mainstream Rock/General Mainstream Rock,Empowering/Strong / Stable,Medium Tempo/Medium/80s
184352331,С.К.А.Й.,Тебе Це Може Вбити,Те Що Треба,Male/Male Group,2006,"",Empowering/Strong / Stable,Medium Tempo/Medium/60s
118858480,С.К.А.Й.,Тебе Це Може Вбити,Те Що Треба,Male/Male Group,2006,Rock/Mainstream Rock/General Mainstream Rock,Empowering/Strong / Stable,Medium Tempo/Medium/60s
