id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
441541815,Robbie Williams,The Road To Mondalay,The Best Of,Male/Male,0,Pop/Western Pop/Adult Contemporary,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
397464758,Reelroad,Roze,Past the Gate,Mixed/Mixed Group,2016,Traditional/Celtic/Celtic,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/100s
383024488,Revolver,Get Around Town,Music For A While,Male/Male Group,2009,Alternative a Punk/Indie Rock/Indie Pop,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
352399443,Plumbo,Drømmeland,De 15 beste,Male/Male Group,2015,Rock/Folk Rock/General Folk Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
347413367,Broken Bells,Control,After The Disco,Male/Male Duo,2013,Alternative a Punk/Indie Rock/Post-Modern Electronic Pop,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/110s
346774554,Robbie Williams,Feel,Escapology,Male/Male,2002,Pop/Western Pop/Adult Contemporary,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
332436576,Vivienne Mort,Лети,Лети,"",2014,Pop/Western Pop/Pop Vocal,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
324232569,Vivienne Mort,Лети,Лети,"",2014,Pop/Western Pop/Pop Vocal,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
324232463,Vivienne Mort,Лети,Лети,"",2014,Pop/Western Pop/Pop Vocal,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
323730714,Vivienne Mort,Лети,Лети,"",2014,Pop/Western Pop/Pop Vocal,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
312762012,Антитіла,Їдем їдем,Над полюсами,Male/Male Group,2013,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
308665079,Нумер 482,Він вона,Kawai,"",2013,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/100s
295954316,Miguel Bosé,Decirnos Adiós,Papitwo [Disc 1],Mixed/Mixed Duo,2012,Other/Latin Pop/General Latin Pop,Gritty/Strumming Yearning,Medium Tempo/Medium Slow/60s
295574529,R.E.M.,Losing My Religion,Out Of Time,Male/Male Group,1991,Rock/Adult Alternative Rock/Adult Alternative Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Slow/60s
285590633,Тінь Сонця,Козача могила,Танець серця,"",2011,Alternative a Punk/Alternative/Alternative Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
279921084,Гарик Сукачев,"Гибель ""Курска""",Poetica,Male/Male,2003,Pop/European Pop/Eastern European Pop,Gritty/Strumming Yearning,Medium Tempo/Medium Slow/60s
279920027,Океан Ельзи,Я до тебе,Модель,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/110s
274463729,Various Artists,Тільки Ти,Український Бум - 6,"",2005,Pop/Western Pop/Pop Vocal,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
262097198,Kaiser Chiefs,Love Is Not A Competition,Yours Truely Angry Mob,Male/Male Group,2007,Alternative a Punk/Indie Rock/General Indie Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
255959234,Various Artists,Девушка По Городу,Xxxl 11 Максимальный,"",2004,Pop/Western Pop/Pop Vocal,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
244864472,Мандри,Не спи моя рідна земля,Дорога,Male/Male Group,2006,Pop/European Pop/Eastern European Pop,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
242465059,Mad Heads XL,Спека Зимова,Надія Є,Male/Male Group,2005,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
230748073,Мері,Не люблю,Війни в прямому ефірі,"",2010,Pop/Western Pop/Pop Vocal,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/100s
219709686,Blonde Redhead,Melody,Misery Is A Butterfly,Mixed/Mixed Group,2004,Alternative a Punk/Indie Rock/Noise Pop,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
207285096,Земфира,Итоги,Вендетта,Female/Female,2005,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
205180955,Океан Ельзи,Караван,Земля,Male/Male Group,2013,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
200005217,Tom Petty,A Face In The Crowd,Full Moon Fever,Male/Male,1989,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/100s
189180695,Yoav,Pale Imitation,Blood Vine,Male/Male,2015,Alternative a Punk/Indie Rock/Post-Modern Electronic Pop,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
188926999,PJ Harvey,The Glorious Land,Let England Shake,Female/Female,2011,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
188225944,Нумер 482,Не напишу,Kawai,"",2013,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Slow/60s
188210157,Mad Heads XL,Спека Зимова,Надія Є,Male/Male Group,2005,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
177969787,Океан Ельзи,Вона пидийшла до викна,Вибране,Male/Male Group,2007,"",Gritty/Strumming Yearning,Medium Tempo/Medium/80s
177969509,Океан Ельзи,Для Тебе,Суперсиметрiя,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/110s
177969244,Океан Ельзи,911 (Тихий Океан),12 21,Male/Male Group,2006,"",Gritty/Strumming Yearning,Medium Tempo/Medium Slow/60s
177969231,Океан Ельзи,18 Хвилин,Dolce Vita,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
177968841,Океан Ельзи,Я до тебе,Модель,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/110s
177968655,Океан Ельзи,Без Бою,GLORIA,Male/Male Group,2005,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
177968456,Океан Ельзи,Вулиця (може все не так),Модель,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
177968405,Океан Ельзи,Вона Пiдiйшла До Вiкна,12 21,Male/Male Group,2006,"",Gritty/Strumming Yearning,Medium Tempo/Medium Slow/60s
177968077,Океан Ельзи,Мало мені,Янанебібув,Male/Male Group,2002,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
177967612,Океан Ельзи,Я до тебе,Модель,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/110s
177967380,Океан Ельзи,Холодно,Суперсиметрiя,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
174834307,Eddie Vedder,No Ceiling,Into The Wild,Male/Male,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/100s
123141976,Vacuum,Culture Of Night,Culture Of Night,Male/Male Duo,2002,Alternative a Punk/Synth Pop/Synth Pop,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/100s
123141961,Vacuum,Pride In My Religion,The Plutonium Cathedral,Male/Male Duo,2014,Alternative a Punk/Synth Pop/Synth Pop,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/110s
121932309,Скрябін,Старі фотографії,Танго,Male/Male Group,2015,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
118734702,a-ha,Forever Not Yours,Lifelines,Male/Male Group,2002,Alternative a Punk/New Wave Pop/New Wave Pop,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
118552728,a-ha,Forever Not Yours,Lifelines,Male/Male Group,2002,Alternative a Punk/New Wave Pop/New Wave Pop,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
118277130,Океан Ельзи,Квітка,Модель,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
118277106,Океан Ельзи,Без Бою,GLORIA,Male/Male Group,2005,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
