id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239138,The Neighbourhood,Sweater Weather,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239110,Hurts,Rolling Stone,Surrender (Deluxe),Male/Male Duo,2015,Pop/Western Pop/Adult Alternative Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239108,Depeche Mode,I Feel You,Songs Of Faith And Devotion,Male/Male Group,1993,Alternative a Punk/Synth Pop/Synth Pop,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
456239102,Lost Frequencies,Reality,Less Is More,Male/Male,2016,Electronica/House/Deep House,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
456239091,Panic! At The Disco,Nicotine,Too Weird To Live Too Rare To Die!,Male/Male Group,2013,Alternative a Punk/Punk/Pop Punk,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
456239082,Puggy,When You Know,Something You Might Like,Male/Male Group,2009,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
456239065,Epolets,Прага,Cult,"",2016,Alternative a Punk/Alternative/Alternative Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
456239051,Bush,The Sound Of Winter,The Sea of Memories,Male/Male Group,2011,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
456239040,The Rasmus,Living In A World Without You,Black Roses,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239038,Red Hot Chili Peppers,Don't Forget Me,By The Way,Male/Male Group,2002,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
456239024,Крихітка,Без імені,Без імені,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
441537502,Muse,City Of Delusion,Black Holes And Revelations,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
440702427,Brunettes Shoot Blondes,Every Monday,Every Monday,Male/Male Group,2016,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/120s
438460339,Epolets,Джейн,Dogma,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
423073374,Bonnie Tyler,If You Were A Woman (And I Was A Man),Secret Dreams And Forbidden Fire,Female/Female,1986,Rock/70's Rock/Classic Pop-Rock,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
422347444,Белый Орел,Но Когда Зазвонит Телефон,Потому Что Нельзя Быть Красивой Такой,Male/Male Group,1998,Pop/European Pop/Eastern European Pop,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
415342492,AC/DC,T.N.T.,AC/DC Live,Male/Male Group,1992,Rock/Hard Rock/General Hard Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
411475705,Hurts,Some Kind of Heaven,Surrender (Deluxe),Male/Male Duo,2015,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
411462799,Hurts,Wonderful Life,Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
410910362,The Neighbourhood,Flawless,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
409759992,Danny Elfman,The Little Things,Wanted: Original Motion Picture Soundtrack,Male/Male,2008,Soundtrack/Original Film/TV Music/General Film Music,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
409183787,Panic! At The Disco,The Ballad Of Mona Lisa,Vices a Virtues,Male/Male Group,2011,Alternative a Punk/Punk/Pop Punk,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
397818901,Мельница,Шаман,Дикие травы,Mixed/Mixed Group,2009,Traditional/European Traditional/Eastern European,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
389747165,Винтаж,Мама-Америка,Анечка,Mixed/Mixed Group,2014,Pop/European Pop/Eastern European Pop,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
385831956,Lenka,The Show,Lenka,Female/Female,2008,Pop/Western Pop/Adult Alternative Pop,Yearning/Bittersweet Pop,Medium Tempo/Medium Fast/120s
376928428,KC a The Sunshine Band,Give It Up,The Best Of KC a The Sunshine Band,Male/Male Group,1990,Electronica/Disco/Disco,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
374709106,Journey,Don't Stop Believin',Escape,Male/Male Group,1981,Rock/70's Rock/Classic Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/120s
373947543,Gotye Feat. Kimbra,Somebody That I Used To Know (Gang Colours Remix),Somebody That I Used To Know (Remixes),Mixed/Mixed Duo,2012,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Energizing/Abstract Beat,Medium Tempo/Medium Fast/120s
372533408,Bon Jovi,Livin' On A Prayer,Slippery When Wet,Male/Male Group,1986,Rock/Metal/Pop Metal,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
372239922,Frank Sinatra,Medley: You Make Me Feel So Young/Them There Eyes/A Foggy Day/i've Got You Under My Skin/Taking A Chance On Love/They Can't Take That Away From Me/All Of Me/Daddy/I Can't Give You Anything But Love Baby/You Must Have Been A Beautiful Baby,Classic Duets,Mixed/Mixed Duo,2002,Pop/Western Pop/Other Pop,Lively/Playful / Swingin',Medium Tempo/Medium Fast/120s
