id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239144,Imagine Dragons,Radioactive,Night Visions,Male/Male Group,2012,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239137,The Kooks,Seaside,Inside In/Inside Out,Male/Male Group,2006,Alternative a Punk/Indie Rock/Indie Pop,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/60s
456239055,NF,Can You Hold Me,Mansion,Mixed/Mixed Duo,2015,Other/Religious/Christian Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
424715212,Антитіла,Над полюсами,Над полюсами,Male/Male Group,2013,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
419111837,Океан Ельзи,Мить,Мить,Male/Male Group,2015,Rock/Mainstream Rock/General Mainstream Rock,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/60s
411465482,Hurts,Unspoken,Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Medium Tempo/Medium/60s
411463102,Hurts,Blood Tears a Gold,Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
399759197,Babybird,Back Together,There's Something Going On,Male/Male Group,1998,Alternative a Punk/Brit Pop/Brit Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
391508817,Сергей Трофимов,Родина,Ностальгия,Male/Male,2005,Pop/European Pop/Eastern European Pop,Gritty/Sober / Determined,Medium Tempo/Medium/60s
389680803,Caprice,To my sister,Sister simplicity,"",2004,Classical/Other Classical/General Classical,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
386590221,MIKA,Staring At The Sun,No Place In Heaven,Male/Male,2015,Alternative a Punk/Indie Rock/Neo-Glam,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
383020241,Smokie,Stumblin' In,Smokie-1990-Golden Stars,Male/Male Group,0,Rock/70's Rock/Classic Pop-Rock,Cool/Casual Groove,Medium Tempo/Medium/60s
374700131,Владимир Высоцкий,"Ах Утону Я В Западной Двине..."" (Сл. И Муз. Г. Шпаликова)",Тихорецкая (том16),Male/Male,1965,Traditional/European Traditional/Eastern European,Gritty/Gritty / Soulful,Medium Tempo/Medium/60s
368051196,Elina Born a Stig Rästa,Goodbye To Yesterday,Goodbye To Yesterday,Mixed/Mixed Duo,2015,Pop/Western Pop/Pop Vocal,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
366831310,Gotye,Eyes Wide Open,Making Mirrors,Male/Male,2011,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
352399443,Plumbo,Drømmeland,De 15 beste,Male/Male Group,2015,Rock/Folk Rock/General Folk Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
350065042,Sting,Englishman In New York,...Nothing Like The Sun,Male/Male,1987,Pop/Western Pop/Adult Contemporary,Sensual/Sensual Groove,Medium Tempo/Medium/60s
349243614,Carla Bruni,Quelqu'un M'a Dit,Quelqu'un M'a Dit,Female/Female,2002,Pop/European Pop/French Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
348334114,SoulRelic,Dying Angels,Love Is A Lie We Both Believed,"",2005,Rock/Metal/Heavy Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
347721489,Руслана,Відлуння мрій,Амазонка,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sensual/Sensual Groove,Medium Tempo/Medium/60s
347721465,Краски,Старший Брат,Старший Брат,Mixed/Mixed Group,2002,Pop/European Pop/Eastern European Pop,Sensual/Soft Soulful,Medium Tempo/Medium/60s
347721026,Vitas,Лист осенний,Мама,Male/Male,2003,"",Sophisticated/Smoky / Romantic,Medium Tempo/Medium/60s
346306723,Cornerstone,End Of The World,Once Upon Our Yesterdays,"",2005,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/60s
346304799,Herbert Von Karajan: Berlin Philharmonic Orchestra,Grieg: Peer Gynt Suite #2 Op. 55 - 3. Peer Gynt's Return Home,Grieg: Peer Gynt Suites Sibelius: Valse Triste Etc.,Mixed/Mixed Group,1993,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium/60s
345670368,Édith Piaf,Sous Le Ciel De Paris,La Legend De La Chanson [Disc 3] La Vie En Rose,Female/Female,2005,Pop/European Pop/Chanson,Romantic/Lush / Romantic,Medium Tempo/Medium/60s
338379702,Bronski Beat,Smalltown Boy,The Age Of Consent [Bonus Tracks],Male/Male Group,2000,Alternative a Punk/Synth Pop/Synth Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
336831683,Justin Hurwitz a Tim Simonec,Overture,Whiplash,Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Cool/Dark Groovy,Medium Tempo/Medium/60s
330595648,For My Pain...,Killing Romance,Fallen,Male/Male Group,2012,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/60s
327405114,Vivienne Mort,Готика,Готика,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Sad / Soulful,Medium Tempo/Medium/60s
324719228,The Giant Leap,Open All Night,The Giant Leap,"",2010,Rock/Mainstream Rock/General Mainstream Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
324718792,The Giant Leap,Somebody Else,Another Day Rising,"",2007,Other/Data a Other/Data a Other,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
318214891,SoulRelic,Dying Angels,Love Is A Lie We Both Believed,"",2005,Rock/Metal/Heavy Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
318211988,End Of You,Memoir,Mimesis,"",2008,Rock/Metal/Heavy Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium/60s
318210338,Negative,In My Heaven,Sweet a Deceitful,Male/Male Group,2004,Alternative a Punk/Indie Rock/Neo-Glam,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
318210182,Negative,The Moment Of Our Love,War Of Love,Male/Male Group,2003,Alternative a Punk/Indie Rock/Neo-Glam,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
312759695,Гудімов,Серце не спи,Трампліни,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Sensual/Intimate,Medium Tempo/Medium/60s
311894845,Glenn Gould,Bach: Goldberg Variations BWV 988 - Variatio 13 A 2 Clav. (1955),Bach: Goldberg Variations 1955 Performance a Zenph Re-Performance,Male/Male,2006,Classical/Other Classical/Classical Solo Instrumental,Tender/Romantic / Lyrical,Medium Tempo/Medium/60s
306655706,HammerFall,Always Will Be,Renegade,Male/Male Group,2000,Rock/Metal/Power Metal,Brooding/Evocative / Intriguing,Medium Tempo/Medium/60s
303809611,Die Antwoord,Gucci Coochie,Mount Ninji And Da Nice Time Kid,Mixed/Mixed Group,2016,Urban/Western Hip-Hop/Rap/Conscious Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/60s
303013170,Marie Laforêt,Ivan Boris Et Moi,Talents Du Siecle,Female/Female,2001,Pop/European Pop/French Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/60s
302420994,Richie Kotzen,You Can't Save Me,Into The Black,Male/Male,2006,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/60s
300343961,Fleur,Будь моим смыслом,Будь моим смыслом,Female/Female Group,2015,Rock/Metal/Gothic Metal,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
295810363,Goo Goo Dolls,Before It's Too Late,Greatest Hits Vol. 1: The Singles,Male/Male Group,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
285588318,Ленинград,Танго (Я Так Люблю Тебя),Точка,Mixed/Mixed Group,2002,Rock/Mainstream Rock/General Mainstream Rock,Sophisticated/Suave / Sultry,Medium Tempo/Medium/60s
282219184,Michael Jackson,Workin' Day And Night (Original Demo Recording From 1978),Off The Wall,Male/Male,1979,Urban/Contemporary RaB/Soul/Pop Soul,Other,Medium Tempo/Medium/60s
279920874,Скрябін,Spy sobi sama (Спи собі сама),Natura (Натура),Male/Male Group,2005,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
279919732,Аквариум,Бессмертная Сестра Хо,Zoom Zoom Zoom,Male/Male Group,2005,Rock/Mainstream Rock/General Mainstream Rock,Empowering/Idealistic / Stirring,Medium Tempo/Medium/60s
279919654,Тарас Чубай та друзі,Я піду в далекі гори,Наш Івасюк,"",2003,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium/60s
269663337,Penta Leslee Swanson,Homeles Blues,Sorrow a Solitude,"",1999,Jazz/Jazz Vocals/Jazz Vocals,Melancholy/Sad / Soulful,Medium Tempo/Medium/60s
264856073,Epica,Dance Of Fate,Consign To Oblivion,Mixed/Mixed Group,2005,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/60s
263177489,Sting,Fragile,...Nothing Like The Sun,Male/Male,1987,Pop/Western Pop/Adult Contemporary,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/60s
262097198,Kaiser Chiefs,Love Is Not A Competition,Yours Truely Angry Mob,Male/Male Group,2007,Alternative a Punk/Indie Rock/General Indie Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
261355129,VETO,Turing Machine,Point Break,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
255958308,Tiamat,I Am In Love With Myself,Judas Christ,Male/Male Group,2002,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/60s
255957570,Руслана,Я йду за тобою,Амазонка,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sensual/Intimate,Medium Tempo/Medium/60s
254100211,Nightwish,While Your Lips Are Still Red,Made In Hong Kong (And In Various Other Places),Mixed/Mixed Group,2009,Rock/Metal/Progressive Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
