id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239113,Justin Timberlake,Can't Stop The Feeling!,Can't Stop The Feeling! [Single],Male/Male,2016,Pop/Western Pop/Urban Crossover: Pop,Cool/Casual Groove,Medium Tempo/Medium Slow/50s
456239092,Muse,Undisclosed Desires,The Resistance,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Sensual/Intimate,Medium Tempo/Medium Slow/50s
456239033,Imany,Kisses In The Dark,The Shape Of A Broken Heart,Female/Female,2011,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
456239019,ortoPilot,Moon River (originally by Andy Williams),Covers Album Vol. 6,"",2011,Pop/Western Pop/Pop Vocal,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
438721862,The Jimi Hendrix Experience,All Along The Watchtower (Recorded Live At Isle Of Wight England),Box Set 8 Song Sampler,Male/Male Group,0,Rock/60's Rock/Acid Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Slow/50s
436213775,Stereophonics,I Miss You Now,You Gotta Go There To Come Back,Male/Male Group,2003,Alternative a Punk/Brit Rock/Brit Rock,Melancholy/Sad / Soulful,Medium Tempo/Medium Slow/50s
427598415,The Heavy,Short Change Hero,The House That Dirt Built,Male/Male Group,2009,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
427595956,Harmaja,Hauras,Lento,"",2010,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
419044044,Nirvana,The Man Who Sold The World,MTV Unplugged In New York,Male/Male Group,1994,Alternative a Punk/Alternative/Grunge,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/50s
415976421,Imany,Slow Down,The Shape Of A Broken Heart,Female/Female,2011,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
424599474,Various Artists,Erann DD,Now 7,"",2004,Pop/Western Pop/Pop Vocal,Sensual/Intimate,Medium Tempo/Medium Slow/50s
409469993,Гуша Катушкин a Мария Чайковская,Чекай,КРАСОТА13,"",2014,Pop/Western Pop/Pop Vocal,Sophisticated/Suave / Sultry,Medium Tempo/Medium Slow/50s
409388804,Марія Бурмака,Верни до мене пам'яте моя,Марія,"",2015,Pop/Western Pop/Pop Vocal,Romantic/Lush / Romantic,Medium Tempo/Medium Slow/50s
408956416,Helloween,The Smile Of The Sun,7 Sinners,Male/Male Group,2010,Rock/Metal/Power Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium Slow/50s
403106090,Bahroma,Надолго,Внутри,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
402919542,Harel Skaat,Milim - Eurovision edit,Milim (Promo),Male/Male,0,Pop/Middle East Pop/Israeli Pop,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
396157982,Alexandre Desplat,The Imitation Game,The Imitation Game: Original Motion Picture Soundtrack,Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
396157959,Alexandre Desplat,The Imitation Game,The Imitation Game: Original Motion Picture Soundtrack,Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
376543831,James Gruntz,Dark Side of the Moon,Belvedere,Male/Male,2014,Pop/Western Pop/Adult Alternative Pop,Romantic/Sweet / Sincere,Medium Tempo/Medium Slow/50s
375516605,Mike Oldfield,Evacuation (Remastered 2015 / Single Edit / Bonus Track),The Killing Fields (Original Motion Picture Soundtrack / Remastered 2015),Male/Male,2016,Rock/70's Rock/Classic Prog,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
352413067,The Maneken,Keep Moving On,Keep Moving On,Male/Male,2014,Alternative a Punk/Indie Rock/Indie Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
346752575,Of Monsters And Men,Dirty Paws,My Head Is An Animal,Mixed/Mixed Group,2012,Alternative a Punk/Alternative Folk/Alternative Folk,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
346365471,ONUKA,Look,Look,Female/Female,2014,"",Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
341245860,Metric,Help I'm Alive (Acoustic),Fantasies,Mixed/Mixed Group,2010,Alternative a Punk/Indie Rock/Post-Punk Revival,Melancholy/Sad / Soulful,Medium Tempo/Medium Slow/50s
340916149,Скрябін,Добряк,Добряк,Male/Male Group,2013,Rock/Mainstream Rock/General Mainstream Rock,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
338647647,Red Hot Chili Peppers,The Adventures Of Rain Dance Maggie,I'm With You,Male/Male Group,2011,Alternative a Punk/Alternative/Alternative Rock,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
337400375,Alexandre Desplat,Alone With Numbers,The Imitation Game: Original Motion Picture Soundtrack,Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Peaceful/Quiet / Introspective,Medium Tempo/Medium Slow/50s
336289486,Ray Band,Крила,Старик и море,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
334181959,Валерий Меладзе,Чуть Ниже Небес,Вопреки,Male/Male,2008,Pop/European Pop/Eastern European Pop,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
334022535,Champagne Morning,Your Day,Your Day [Single],"",2011,Pop/Western Pop/Teen Pop,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
332466702,Massive Attack,Angel,Mezzanine,Mixed/Mixed Group,1998,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
330564249,Yodelice,More Than Meets The Eye,Cardioid,Male/Male,2010,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
328096754,Latimore,You've Still Got The Touch,You're Welcome To Ride,Male/Male,2000,Urban/Classic RaB/Soul/Deep Soul,Romantic/Sweet / Sincere,Medium Tempo/Medium Slow/50s
324623243,Reflexion,Child in Dark,Out of the Dark,"",2006,Alternative a Punk/Alternative/Alternative Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/50s
323739017,Валентин Стрыкало,Дешёвые драмы,Смирись и расслабься,Male/Male Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
323508824,Ghost a Gale,Rosemary,Ghost a Gale - EP,"",2013,Traditional/Folk/Traditional U.S. Folk,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/50s
322804740,Nightwish,"While Your Lips Are Still Red (Theme From The Movie ""Lieksa!"")",Made In Hong Kong (And In Various Other Places) [Live],Mixed/Mixed Group,2009,Rock/Metal/Progressive Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
319189147,The Beatles,And I Love Her,A Hard Day's Night,Male/Male Group,1964,Rock/60's Rock/British Invasion,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/50s
