id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239099,Various Artists,Is It Too Late Featuring Lena Belgart [Classic Piano Mix],Airport Lounge Vol. 2,"",2014,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
456239044,Various Artists,Faded,Mastermix Pro Disc 190 [April 2016],"",2016,Pop/Western Pop/Pop Vocal,"",""
438963366,Various Artists,Гарри Поттер,XXXL 16: Танцевальный,"",2006,Electronica/Dance a Club/Club Dance,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
435425140,Various Artists,Водопад (Allegro),Малыш у реки,"",1999,Classical/Other Classical/General Classical,Other,Slow Tempo/Slow/40s
428751982,Various Artists,Once Bitten Twice Shy (Cover),100 Hits Driving Rock,"",2011,Rock/Metal/Pop Metal,Excited/Loud Celebratory,Fast Tempo/Fast/130s
370866844,Various Artists,Флейта,Нашествие 14,"",2003,Rock/70's Rock/Classic Pop-Rock,"",""
347349407,Various Artists,In And Out Of Love,Hitzone 47 [Disc 2],"",2008,Traditional/Other Traditions/General World,Excited/Euphoric Energy,Fast Tempo/Fast/130s
338921982,Various Artists,Electricity,Nu Disco,Male/Male Duo,2013,Pop/Western Pop/Adult Alternative Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/110s
335880829,Various Artists,"They Long To Be Close To You (From O.S.T. ""The Heartbreak Kid"")",The Readymade Hall Of Fame,"",1994,Pop/Easy Listening/Other Easy Listening,Sentimental/Lyrical Sentimental,Slow Tempo/Slow/40s
331654624,Various Artists,Eyes That Never Lie (Belarus),Eurovision Song Contest: Moscow 2009 [Disc 1],"",2009,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
327891786,Various Artists,Ми - Хлопці З Бандерштадту,Я Вернувся Домів,"",2011,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
326940888,Various Artists,Towards The Within,Voce: Music From Women Of The World,"",1999,Pop/Easy Listening/Other Easy Listening,Serious/Hypnotic Rhythm,Medium Tempo/Medium/70s
326911922,Various Artists,Towards The Within,Voce: Music From Women Of The World,"",1999,Pop/Easy Listening/Other Easy Listening,Serious/Hypnotic Rhythm,Medium Tempo/Medium/70s
318714910,Various Artists,Romanoir,Heavenly Voices III,"",1995,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
300426780,Various Artists,We Are Sex Bob-Omb,Scott Pilgrim Vs. The World,Mixed/Mixed Group,2010,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Defiant/Hard Dark Excitement,Fast Tempo/Fast/170s
272691585,Various Artists,Firefly Main Title - The Ballad Of Serenity,Done The Impossible - The Fans' Tale Of Firefly a Serenity,"",2006,Traditional/Celtic/Celtic,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
271368920,Various Artists,So Long (As We Are Together),Music From The Showtime Series Californication Season 6,"",2013,Soundtrack/Original Film/TV Music/General Film Music,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
201883498,Various Artists,BACH IS BACK,JULIANA'S TOKYO VOL.3,"",1992,Electronica/Trance/Trance,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
201052253,Various Artists,Careless Whisper (George Michael),The Very Best Of That Lovin' Feeling [Disc 1],"",0,Other/Data a Other/Data a Other,Sensual/Sensual Groove,Slow Tempo/Very Slow/30s
201044515,Various Artists,Привяжи меня к себе,Русская 30-ка,"",2004,Pop/Western Pop/Pop Vocal,Excited/Euphoric Energy,Fast Tempo/Fast/130s
193200591,Various Artists,Serious Problems (Mirco Niemeier Remix),About: Berlin Vol: 4,"",2013,Electronica/Electronica Mainstream/Pop Electronica,"",""
176107379,Various Artists,Haifa (Club Star Remix),The Annual Ibiza 2002,"",2002,Electronica/Techno/Minimalist Techno,Excited/Euphoric Energy,Fast Tempo/Fast/130s
170784270,Various Artists,Радуйтеся люди всі,Колядки та щедрівки,"",2014,Traditional/Country/General Country,Romantic/Heartfelt Passion,Slow Tempo/Slow/40s
170686351,Various Artists,Bikini (Cyberpunker Remix),Remixes by Discograph,"",2014,Rock/70's Rock/Classic Rock,Defiant/Attitude / Defiant,Medium Tempo/Medium/60s
169737377,Various Artists,NO bambino,Fresh Hits Summer 2007,"",2007,Traditional/Folk/Old Timey,Energizing/Heavy Beat,Medium Tempo/Medium Fast/90s
166674860,Various Artists,Be Your Sound (Orjan Nilsen Remix),The Annual Compilation 2012 [Disc 5],"",2012,Electronica/Trance/Trance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
132246909,Various Artists,"El Tango De Roxanne (Instr. From ""Moulin Rouge"")",Ballroom Emotions,"",2002,Pop/Western Pop/Other Pop,Sophisticated/Dark Playful,Medium Tempo/Medium Fast/120s
117133856,Various Artists,Смысл Жизни (Radio Remix),Музыка.Ру 18,Mixed/Mixed Duo,2011,Pop/European Pop/Eastern European Pop,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
105797488,Various Artists,Розамунда,Музыка 30-40 Годов,"",1998,Pop/Easy Listening/Other Easy Listening,Lively/Playful / Swingin',Fast Tempo/Fast/130s
87263041,Various Artists,Gonna Fly Now - DeEtta Little a Nelson Pigford,Absolute Movie Classics [Disc 2],"",2005,Pop/Western Pop/Pop Vocal,"",""
67718672,Various Artists,The Fifth Element (Diva Full Opera Mix),Soundtracks [Disc 1],"",0,Soundtrack/Original Film/TV Music/General Film Music,"",""
