id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239188,The Rasmus,First Day Of My Life,Dead Letters,Male/Male Group,2003,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
456239185,The Rasmus,Immortal,Hide From The Sun,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239184,The Rasmus,Night After Night (Out Of The Shadows),Hide From The Sun,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
456239183,The Rasmus,Lucifer's Angel,Hide From The Sun,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239166,Muse,Butterflies a Hurricanes,Absolution,Male/Male Group,2003,Alternative a Punk/Alternative/Alternative Rock,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
456239154,The Pretty Reckless,Kill Me,Going To Hell [Bonus Tracks],Mixed/Mixed Group,2014,Alternative a Punk/Alternative/Alternative Rock,"",""
456239142,Panivalkova,Крейзі Нікіта,Панівалькова,"",0,Alternative a Punk/Alternative/Alternative Rock,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
456239135,Egor Grushin,Kaisermarsch,Dominicano,"",2015,Alternative a Punk/Alternative/Alternative Rock,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
456239134,Egor Grushin,Beginning,Dominicano,"",2015,Alternative a Punk/Alternative/Alternative Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/60s
456239131,Red Hot Chili Peppers,The Getaway,The Getaway,Male/Male Group,2016,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/110s
456239082,Stanislav Artemyev,Time,Creatio,"",2015,Alternative a Punk/Alternative/Alternative Rock,Tender/Romantic / Lyrical,Medium Tempo/Medium/70s
456239061,Mutemath,You Are Mine,Mutemath,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
456239053,Household Name Records,Life Jacket Water Wings,Household-Name-Records,"",2004,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Positive Excitement,Fast Tempo/Fast/170s
432067240,Young The Giant,Cough Syrup,Young The Giant,Male/Male Group,2010,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
408407893,Muse,City Of Delusion,Black Holes And Revelations,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
408407849,Muse,Stockholm Syndrome,Absolution,Male/Male Group,2003,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
402596312,Muse,Starlight,Black Holes And Revelations,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
