id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
339194891,No Doubt,It's My Life,The Singles 1992-2003,Mixed/Mixed Group,1992,Alternative a Punk/Alternative/Alternative Pop,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
328377681,Noel Gallagher's High Flying Birds,Let The Lord Shine A Light On Me,Noel Gallagher's High Flying Birds,Male/Male Group,2011,Alternative a Punk/Alternative/Alternative Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
326822168,OK Go,Invincible,Oh No,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Pop,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
319734532,New Politics,Give Me Hope,A Bad Girl In Harlem,Male/Male Group,2013,Alternative a Punk/Alternative/Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
310090402,Icon For Hire,Make A Move,Scripted,Mixed/Mixed Group,2011,Alternative a Punk/Alternative/Alternative Pop,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
304093339,Weezer,Island In The Sun,Weezer (The Green Album),Male/Male Group,2001,Alternative a Punk/Alternative/Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
246904529,OK Go,Here It Goes Again,Oh No,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
234993446,No Doubt,Don't Speak,Tragic Kingdom,Mixed/Mixed Group,1995,Alternative a Punk/Alternative/Alternative Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
226342175,Крихітка Цахес,На першому місці,На першому місці,Mixed/Mixed Group,2005,Alternative a Punk/Alternative/Alternative Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
180192346,Neon Trees,Everybody Talks,Picture Show,Male/Male Group,2012,Alternative a Punk/Alternative/Alternative Pop,Excited/Happy Excitement,Medium Tempo/Medium Fast/100s
178785442,The Cat Empire,Til The Ocean Takes Us All,So Many Nights,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
162523211,Plain White T's,1 2 3 4,Big Bad World,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Pop,Yearning/Bittersweet Pop,Medium Tempo/Medium Fast/90s
162523208,Plain White T's,Welcome To Mystery,Wonders Of The Younger,Male/Male Group,2010,Alternative a Punk/Alternative/Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Slow/60s
139241896,Neon Trees,In The Next Room,Habits,Male/Male Group,2010,Alternative a Punk/Alternative/Alternative Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/90s
