id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
419625466,2CELLOS,The Trooper (Overture),Celloverse,Male/Male Duo,2015,Classical/Classical Crossover/Classical Crossover Instrumental,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium Fast/90s
308902933,Ludovico Einaudi,Experience,In A Time Lapse,Male/Male,2013,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
305738524,Lindsey Stirling,Roundtable Rival,Shatter Me,Female/Female,2014,Classical/Classical Crossover/Classical Crossover Instrumental,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
303184913,The Piano Guys,All Of Me,The Piano Guys 2,Male/Male Duo,2015,Classical/Classical Crossover/Classical Crossover Instrumental,"",""
290865683,David Garrett,Who Wants To Live Forever?,Encore,Male/Male,2008,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
278013146,Lindsey Stirling,Shatter Me- Ft. Lzzy Hale,Shatter Me-The Complete Experience,Female/Female,2014,Classical/Classical Crossover/Classical Crossover Instrumental,"",""
192040297,Ludovico Einaudi,Divenire,The Royal Albert Hall Concert,Male/Male,2010,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
192034858,Ludovico Einaudi,Primavera,The Royal Albert Hall Concert,Male/Male,2010,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
191995959,Ludovico Einaudi,Time Lapse,In A Time Lapse,Male/Male,2013,Classical/Classical Crossover/Classical Crossover Instrumental,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
191995682,Ludovico Einaudi,Life,In A Time Lapse,Male/Male,2013,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
74970214,Vanessa-Mae,Toccata a Fugue In D Minor,The Violin Player,Female/Female,1995,Classical/Classical Crossover/Classical Crossover Instrumental,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
74969433,Vanessa-Mae,Storm,Storm,Female/Female,1998,Classical/Classical Crossover/Classical Crossover Instrumental,Excited/Euphoric Energy,Fast Tempo/Fast/140s
74910515,Vanessa-Mae,Toccata a Fugue In D Minor,The Violin Player,Female/Female,1995,Classical/Classical Crossover/Classical Crossover Instrumental,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
