id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239171,Flunk,Cigarette Burns,This Is What You Get,Mixed/Mixed Group,2009,Electronica/Downtempo Lounge a Ambient/Trip Hop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
456239099,Various Artists,Is It Too Late Featuring Lena Belgart [Classic Piano Mix],Airport Lounge Vol. 2,"",2014,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
456239071,Sneaker Pimps,Low Place Like Home,Becoming X,Mixed/Mixed Group,1997,Electronica/Downtempo Lounge a Ambient/Trip Hop,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
456239068,8mm,Angel,Songs To Love And Die By...,Mixed/Mixed Group,2006,Electronica/Downtempo Lounge a Ambient/Neo-Lounge,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
456239039,Hooverphonic,Amalfi,Reflection,Mixed/Mixed Group,2013,Electronica/Downtempo Lounge a Ambient/General Downtempo,Empowering/Dramatic Emotion,Medium Tempo/Medium/60s
424444859,Archive,Bullets,Controlling Crowds,Mixed/Mixed Group,2009,Electronica/Downtempo Lounge a Ambient/Trip Hop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
414946310,UNKLE,When Things Explode (Featuring Ian Astbury),War Stories,Male/Male Group,2007,Electronica/Downtempo Lounge a Ambient/Trip Hop,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
393851786,DJ Vadim,Beyond Thought,U.S.S.R. Reconstruction,Male/Male,2005,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
391828382,Portishead,Elysium,Portishead,Mixed/Mixed Group,1997,Electronica/Downtempo Lounge a Ambient/Trip Hop,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
372574980,I Monster,Daydream In Blue,neveroddoreven,Male/Male Duo,2004,Electronica/Downtempo Lounge a Ambient/General Downtempo,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
326600809,The Cinematic Orchestra,To Build A Home -Feat. Patrick Watson-,Ma Fleur,Mixed/Mixed Group,0,Electronica/Downtempo Lounge a Ambient/General Downtempo,"",""
326595725,The Cinematic Orchestra,Arrival Of The Birds,The Crimson Wing: Mystery Of The Flamingos,Mixed/Mixed Group,2009,Electronica/Downtempo Lounge a Ambient/General Downtempo,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
306217379,Portishead,Roads,Dummy,Mixed/Mixed Group,1994,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
276476137,Hooverphonic,Eden,Blue Wonder Power Milk,Mixed/Mixed Group,1998,Electronica/Downtempo Lounge a Ambient/General Downtempo,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
276110686,Hooverphonic,Norwegian Stars,The Night Before,Mixed/Mixed Group,2012,Electronica/Downtempo Lounge a Ambient/General Downtempo,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
276109128,Hooverphonic,Devil Kind of Girl,Reflection,Mixed/Mixed Group,2013,Electronica/Downtempo Lounge a Ambient/General Downtempo,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium/70s
263536410,Hooverphonic,No More Sweet Music,More Sweet Music [Disc 2],Mixed/Mixed Group,2005,Electronica/Downtempo Lounge a Ambient/General Downtempo,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
263525366,Hooverphonic,Vinegar a Salt,The Magnificent Tree,Mixed/Mixed Group,2000,Electronica/Downtempo Lounge a Ambient/General Downtempo,Yearning/Energetic Yearning,Medium Tempo/Medium Slow/60s
263500527,Hooverphonic,Mad About You,The Magnificent Tree,Mixed/Mixed Group,2000,Electronica/Downtempo Lounge a Ambient/General Downtempo,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
263220913,Hooverphonic,Radio Silence,Reflection,Mixed/Mixed Group,2013,Electronica/Downtempo Lounge a Ambient/General Downtempo,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
250338780,The Cinematic Orchestra,Arrival Of The Birds,The Crimson Wing: Mystery Of The Flamingos,Mixed/Mixed Group,2009,Electronica/Downtempo Lounge a Ambient/General Downtempo,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
213236062,Portishead,Roads,Dummy,Mixed/Mixed Group,1994,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
91516560,Archive,You make me feel [Live Zénith Paris],Live At The Zenith,Mixed/Mixed Group,2007,Electronica/Downtempo Lounge a Ambient/Trip Hop,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
72477572,Massive Attack,Splitting The Atom,Heligoland,Male/Male Group,2010,Electronica/Downtempo Lounge a Ambient/Trip Hop,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
