id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239190,Leighton Meester,Heartstrings,Heartstrings,Female/Female,2014,Pop/Western Pop/Dance Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/100s
456239180,Sarah McLachlan,Path Of Thorns,Mirrorball [Live],Female/Female,1999,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
456239173,Ringo Starr,You're Sixteen,Ringo a His New All-Starr Band,Male/Male,2002,Pop/Western Pop/Singer-Songwriter,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium/60s
456239172,Misty Miller,Evergreen Love,Misty Miller,Female/Female,2011,Pop/Western Pop/Adult Alternative Pop,Easygoing/Friendly,Slow Tempo/Slow/40s
456239164,Daniel O'Donnell,The Moon Of Love Medley: Dream Lover Single Girl I'm A Believer Bobby's Girl When Don't Go Breaking My Heart Shoop Shoop Song Da Doo Ron Ron Then I Kissed Her Under The Moon Of Love,The Rock 'n' Roll Show [Disc 2],Male/Male,2006,Pop/Western Pop/Pop Vocal,Lively/Showy / Rousing,Fast Tempo/Fast/130s
456239151,Christina Perri,The Lonely,Lovestrong.,Female/Female,2011,Pop/Western Pop/Adult Alternative Pop,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
456239147,Ingrid Michaelson,Die Alone,Girls And Boys,Female/Female,2006,Pop/Western Pop/Adult Alternative Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/110s
456239144,Fool's Garden,Reason,25 Miles To Kissimmee,Male/Male Group,2004,Pop/Western Pop/Adult Alternative Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
456239140,Katie Melua,If You Were A Sailboat,Pictures,Female/Female,2007,Pop/Western Pop/Adult Contemporary,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
456239139,Katie Melua,All Over The World,Secret Symphony,Female/Female,2012,Pop/Western Pop/Adult Contemporary,Sensual/Soft Soulful,Medium Tempo/Medium/60s
456239132,Визбор V.S. Хутас,Мюнхгаузен,Земляника,"",2015,Pop/Western Pop/Pop Vocal,Cool/Dark Groovy,Medium Tempo/Medium/80s
456239125,Neele Ternes,Dad (#heimkommen),Dad,Female/Female,2015,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239118,Jamie-Lee Kriewitz,Ghost,Ghost,Female/Female,2016,Pop/Western Pop/Pop Vocal,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
456239116,f(x),좋아해도 되나요 (...Is It OK?),Hot Summer,Female/Female Group,2011,Pop/Korean Pop/K-Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/120s
456239109,Nerina Pallot,Someday Soon,Dear Frustrated Superstar,Female/Female,2001,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239100,Hailee Steinfeld,Rock Bottom,Haiz,Mixed/Mixed Group,2016,Pop/Western Pop/Adult Alternative Pop,"",""
456239098,Francesca Michielin,Nessun Grado Di Separazione,Di20are,Female/Female,2016,Pop/European Pop/Mediterranean Pop,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
456239097,Michal Szpak,Color Of Your Life,Byle Byc Soba,Male/Male,2015,Pop/European Pop/Euro Pop,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
456239093,Diana Vickers,The Boy Who Murdered Love,Songs From The Tainted Cherry Tree,Female/Female,2010,Pop/Western Pop/Adult Alternative Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239086,Rafferty,Apple Pie,Apple Pie [Single],"",2016,Pop/Western Pop/Pop Vocal,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/110s
456239062,Jason Mraz,Plane,Mr. A-Z,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/60s
456239060,Little Mix,Word Up!,Word Up!,Female/Female Group,2014,Pop/Western Pop/Teen Girl Group,"",""
456239059,Alizée,Moi... Lolita,Gourmandises,Female/Female,2000,Pop/European Pop/French Pop,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
456239058,Puggy,When You Know,Something You Might Like,Male/Male Group,2009,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
456239045,Henry Mancini,Moon River,Breakfast At Tiffany's (Music From The Motion Picture Score),Male/Male,1961,Pop/Easy Listening/Other Easy Listening,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
456239044,Various Artists,Faded,Mastermix Pro Disc 190 [April 2016],"",2016,Pop/Western Pop/Pop Vocal,"",""
456239036,Elton John,Your Sister Can't Twist (But She Can Rock a Roll),Goodbye Yellow Brick Road,Male/Male,1973,Pop/Western Pop/Singer-Songwriter,Excited/Happy Excitement,Fast Tempo/Very Fast/190s
431789542,KBDM,Ангелы и демоны,Ангелы и демоны,"",2014,Pop/Western Pop/Pop Vocal,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
425073146,Nik Page,Voices from Outer Space,Rocketqueen,"",2009,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
423646791,The Mamas a The Papas,Words Of Love,16 Greatest Hits,Mixed/Mixed Group,1970,Pop/Western Pop/Folk Pop,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/110s
419619487,The Mamas a The Papas,Dancing In The Street,16 Greatest Hits,Mixed/Mixed Group,1970,Pop/Western Pop/Folk Pop,Excited/Loud Celebratory,Medium Tempo/Medium Fast/120s
419608365,Karpatt,Des Idées,Dans D'Beaux Draps,Male/Male Group,2005,Pop/European Pop/Chanson,Cool/Dark Groovy,Medium Tempo/Medium/80s
417705900,Pentatonix,Dance Of The Sugar Plum Fairy,That's Christmas To Me,Mixed/Mixed Group,2014,Pop/Western Pop/Other Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
416259986,Demi Lovato,Cool For The Summer,Confident [Deluxe Edition],Female/Female,2015,Pop/Western Pop/Dance Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/110s
414952768,Bravo The Hits 2015 CD1,Living For Love,Bravo The Hits 2015 CD1,"",2015,Pop/Western Pop/Pop Vocal,"",""
410286555,Mylène Farmer,Pourvu Qu'elles Soient Douces,Les Mots,Female/Female,2001,Pop/European Pop/French Pop,Gritty/Sober / Determined,Medium Tempo/Medium Fast/90s
406209921,Kylie Minogue,Confide In Me,Kylie Minogue,Female/Female,1994,Pop/Western Pop/Dance Pop,Fiery/Fiery Groove,Medium Tempo/Medium Fast/100s
397002727,Cœur De Pirate,Oceans Brawl,Roses,Female/Female,2015,Pop/European Pop/Chanson,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
