id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239150,Kanye West,Breathe In Breathe Out,The College Dropout,Male/Male Duo,2004,Urban/Western Hip-Hop/Rap/Conscious Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239102,1st BLOOD',Live Like Legends,Live Like Legends,"",2014,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
456239025,Die Antwoord,Gucci Coochie,Mount Ninji And Da Nice Time Kid,Mixed/Mixed Group,2016,Urban/Western Hip-Hop/Rap/Conscious Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/60s
431789887,Macklemore a Ryan Lewis,Thrift Shop,The Heist,Male/Male Group,2012,Urban/Western Hip-Hop/Rap/Conscious Hip-Hop/Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
430939293,Swingrowers,That's Right!,Remote,Mixed/Mixed Group,2014,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Cool/Wary / Defiant,Slow Tempo/Slow/40s
427691716,The Kooks,Down,Listen,Male/Male Group,2014,Alternative a Punk/Indie Rock/Indie Pop,Cool/Wary / Defiant,Slow Tempo/Slow/40s
415261258,Pigeon John,The Bomb,Dragon Slayer,Male/Male,2010,Other/Religious/Christian Rap,Cool/Wary / Defiant,Slow Tempo/Slow/40s
372347361,Eels,Flyswatter,Daisies Of The Galaxy,Male/Male Group,2000,Alternative a Punk/Indie Rock/General Indie Rock,Cool/Wary / Defiant,Medium Tempo/Medium Slow/60s
368158745,Lorde,Tennis Court,Pure Heroine,Female/Female,2013,Alternative a Punk/Synth Pop/Synth Pop,Cool/Wary / Defiant,Medium Tempo/Medium Fast/90s
335478978,Maroon 5,Animals,V,Male/Male Group,2014,Pop/Western Pop/Adult Alternative Pop,Cool/Wary / Defiant,Medium Tempo/Medium Slow/60s
323971461,Wu-Tang Clan,One Blood Under W,The W,Male/Male Group,2000,Urban/Western Hip-Hop/Rap/East Coast Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
315060006,Meghan Trainor,All About That Bass,Title [Bonus Tracks],Female/Female,2014,Pop/Western Pop/Adult Alternative Pop,Cool/Wary / Defiant,Medium Tempo/Medium/60s
291811380,The Glitch Mob,Animus Vox,Drink The Sea,Male/Male Group,2010,Electronica/Dubstep/Dubstep,Cool/Wary / Defiant,Medium Tempo/Medium/60s
268965814,Action Bronson,Cirque Du Soleil,Well Done,Male/Male,2011,Urban/Western Hip-Hop/Rap/East Coast Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/90s
198122280,Far East Movement,Like A G6,Free Wired,Male/Male Group,2010,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/80s
196700319,OneRepublic,Good Life,Waking Up,Male/Male Group,2009,Pop/Western Pop/Adult Alternative Pop,Cool/Wary / Defiant,Medium Tempo/Medium Slow/60s
170686351,Various Artists,Bikini (Cyberpunker Remix),Remixes by Discograph,"",2014,Rock/70's Rock/Classic Rock,Defiant/Attitude / Defiant,Medium Tempo/Medium/60s
132694595,Eminem,Drips,The Eminem Show,Male/Male Duo,2002,Urban/Western Hip-Hop/Rap/Midwestern Rap,Cool/Wary / Defiant,Medium Tempo/Medium/80s
132491346,Blue Foundation,Bonfires,Sweep Of Days,Mixed/Mixed Group,2005,Alternative a Punk/Indie Rock/General Indie Rock,Cool/Wary / Defiant,Medium Tempo/Medium/80s
99980131,OneRepublic,Everybody Loves Me,Waking Up,Male/Male Group,2013,Pop/Western Pop/Adult Alternative Pop,Defiant/Attitude / Defiant,Medium Tempo/Medium/80s
96784096,Method Man,Mr. Sandman,Tical,Mixed/Mixed Group,1994,Urban/Western Hip-Hop/Rap/East Coast Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/100s
67717755,Бумбокс,Поліна,III,Male/Male Group,2008,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
