id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239182,The Beatles,Here There And Everywhere,Revolver,Male/Male Group,1966,Rock/60's Rock/Psychedelic Rock,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
456239130,Zee Avi,Honey Bee,Zee Avi,Female/Female,2009,Alternative a Punk/Indie Rock/Indie Pop,Sentimental/Tender / Sincere,Medium Tempo/Medium/80s
399962190,Tim Minchin,Fat Children,So Rock,Male/Male,2006,Other/Comedy/Comedy,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
396815761,Cat Stevens,Morning Has Broken,Teaser And The Firecat,Male/Male,1971,Pop/Western Pop/Folk Pop,Sentimental/Tender / Sincere,Medium Tempo/Medium/60s
338914381,Аквариум,Город Золотой,Grand Collection: Аквариум,Male/Male Group,2001,"",Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/60s
328190839,Elizabeth Guest,Lullaby and Goodnight,Sleep Baby Sleep,"",2013,Other/New Age/General New Age,Sentimental/Tender / Sincere,Slow Tempo/Very Slow/30s
283989453,Moddi,House By The Sea,Live at Jakob Church of Culture Oslo Norway,Male/Male,2014,Alternative a Punk/Alternative Folk/Alternative Folk,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/50s
272691585,Various Artists,Firefly Main Title - The Ballad Of Serenity,Done The Impossible - The Fans' Tale Of Firefly a Serenity,"",2006,Traditional/Celtic/Celtic,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
256405547,John Lennon,Imagine,Imagine,Male/Male,1971,Pop/Western Pop/Singer-Songwriter,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/60s
228932668,Сергей Бабкин,Забери,Ура!,Male/Male,2004,"",Sentimental/Tender / Sincere,Medium Tempo/Medium/70s
208521174,Agnes Obel,Just So,Philharmonics,Female/Female,2010,Alternative a Punk/Indie Rock/Chamber Pop,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
177086679,Jocelyn Pook,Loving Strangers,Habitación en Roma (BSO),Female/Female,2010,Soundtrack/Original Film/TV Music/General Film Music,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/50s
165209525,Revolver,Back To You,Music For A While,Male/Male Group,2009,Alternative a Punk/Indie Rock/Indie Pop,Sentimental/Tender / Sincere,Medium Tempo/Medium Slow/60s
74974055,Katie Melua,Chase Me,Ketevan,Female/Female,2013,Pop/Western Pop/Adult Contemporary,Romantic/Sweet / Sincere,Medium Tempo/Medium Slow/50s
