id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239178,Linkin Park,Given Up,Minutes To Midnight,Male/Male Group,2007,Rock/Metal/Rap Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/100s
456239141,Manowar,Die For Metal,Gods Of War,Male/Male Group,2007,Rock/Metal/Power Metal,Aggressive/Aggressive Power,Medium Tempo/Medium/70s
426321858,The Prodigy,The Day Is My Enemy,The Day Is My Enemy,Male/Male Group,2015,Electronica/Electronica Mainstream/Big Beat,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/100s
417977485,Manowar,Warriors Of The World United,Warriors Of The World,Male/Male Group,2002,Rock/Metal/Power Metal,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
388013037,The Funk Junkeez,I Love It Loud (Injected Mix),Injected,Male/Male Group,1995,Alternative a Punk/Alternative/Funk Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/100s
308590827,Godsmack,I Stand Alone,Faceless,Male/Male Group,2003,Rock/Metal/Nu-Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/170s
302589995,System Of A Down,Prison Song,Toxicity,Male/Male Group,2001,Rock/Metal/Nu-Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
202782657,Foster The People,Don't Stop (Color On The Walls),Torches,Male/Male Group,2011,Alternative a Punk/Indie Rock/Indie Pop,Aggressive/Aggressive Power,Fast Tempo/Fast/130s
196702189,Blood Red Shoes,I Wish I Was Someone Better,Box Of Secrets,Mixed/Mixed Duo,2007,Alternative a Punk/Indie Rock/Post-Punk Revival,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
120441853,Blind Guardian,The Bard's Song (The Hobbit) [New Recording 2011],Memories Of A Time To Come [Disc 2],Male/Male Group,2012,Rock/Metal/Power Metal,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
