id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239144,Fool's Garden,Reason,25 Miles To Kissimmee,Male/Male Group,2004,Pop/Western Pop/Adult Alternative Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
456239052,Astor Piazzolla,Libertango,Libertango,Male/Male,1974,Other/Latin Traditional/Tango,Brooding/Evocative / Intriguing,Medium Tempo/Medium Fast/90s
428704221,Tarja Turunen,Victim Of Ritual,Colours In The Dark,Female/Female,2013,Rock/Metal/Progressive Metal,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/60s
428691497,Tarja Turunen,I Walk Alone (Live At Teatro El Círculo Rosario Argentina/2012),Act 1 (Live At Teatro El Círculo Rosario Argentina/2012) [Disc 1],Female/Female,2012,Rock/Metal/Progressive Metal,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
424444859,Archive,Bullets,Controlling Crowds,Mixed/Mixed Group,2009,Electronica/Downtempo Lounge a Ambient/Trip Hop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
402587741,Muse,Feeling Good,Origin Of Symmetry,Male/Male Group,2001,Alternative a Punk/Alternative/Alternative Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
397002727,Cœur De Pirate,Oceans Brawl,Roses,Female/Female,2015,Pop/European Pop/Chanson,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
371170069,Sid Vicious,C'mon Everybody,Too Fast To Live...,Male/Male Group,2004,Alternative a Punk/Punk/Old School Punk,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
331575739,Marie Laforêt,Ivan Boris Et Moi,Talents Du Siecle,Female/Female,2001,Pop/European Pop/French Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/60s
325190758,Kate Bush,Wuthering Heights,The Kick Inside,Female/Female,1978,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/60s
311912468,The Cranberries,Zombie,No Need To Argue,Mixed/Mixed Group,1994,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
301771752,Yngwie J. Malmsteen,You Don't Remember I'll Never Forget,Trilogy,Male/Male,1986,Rock/Mainstream Rock/Instrumental Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/50s
283715344,Billy Joel,Honesty,52nd Street,Male/Male,1978,Pop/Western Pop/Singer-Songwriter,Brooding/Evocative / Intriguing,Medium Tempo/Medium/60s
271525597,Electric Light Orchestra,Mr. Blue Sky,Out Of The Blue,Male/Male Group,2007,Rock/70's Rock/Classic Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
268970581,Cirque Du Soleil,Steel Dream,Quidam,Mixed/Mixed Group,1996,Other/New Age/Adult Alternative New Age,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/50s
235362326,Scorpions,Still Loving You,Love At First Sting,Male/Male Group,1984,Rock/Hard Rock/General Hard Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/50s
234993446,No Doubt,Don't Speak,Tragic Kingdom,Mixed/Mixed Group,1995,Alternative a Punk/Alternative/Alternative Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
234974453,The Sensational Alex Harvey Band,Give My Compliments To The Chef,Tomorrow Belongs To Me,Male/Male Group,1975,Rock/Hard Rock/Glam,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
199302497,Tom Odell,Can't Pretend,Long Way Down,Male/Male,2013,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
190794906,Scorpions,Maybe I Maybe You,Unbreakable,Male/Male Group,2004,Rock/Hard Rock/General Hard Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/60s
185985795,Michael Bublé,Feeling Good,It's Time,Male/Male,2005,Pop/Classic Pop Vocals/Classic Male Vocal Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
162796862,The Sensational Alex Harvey Band,Give My Compliments To The Chef,Tomorrow Belongs To Me,Male/Male Group,1975,Rock/Hard Rock/Glam,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
