id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239181,Apocalyptica Feat. Adam Gontier,I Don't Care,I Don't Care,Male/Male Group,2007,Rock/Metal/Progressive Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
456239179,R.E.M.,Bittersweet Me,New Adventures In Hi-Fi,Male/Male Group,1996,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239170,Blonde Redhead,Elephant Woman,Misery Is A Butterfly,Mixed/Mixed Group,2004,Alternative a Punk/Indie Rock/Noise Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
456239165,Paper Route,Real Emotion,Real Emotion,Male/Male Group,2016,Alternative a Punk/Synth Pop/Synth Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239162,a-ha,Don't Do Me Any Favours,Analogue,Male/Male Group,2005,Alternative a Punk/New Wave Pop/New Wave Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/90s
456239148,M83,Go! (Featuring Mai Lan),Junk,Mixed/Mixed Group,2016,Alternative a Punk/Indie Rock/Dream Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239144,Fool's Garden,Reason,25 Miles To Kissimmee,Male/Male Group,2004,Pop/Western Pop/Adult Alternative Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
456239138,Egor Grushin,Essential,Once,"",2016,Classical/Other Classical/General Classical,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239119,Snow Patrol,The Weight Of Love,Fallen Empires,Male/Male Group,2011,Alternative a Punk/Brit Rock/Brit Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
456239114,Low Roar,I'Ll Keep Coming,0,Male/Male Group,2014,Alternative a Punk/Indie Rock/Post-Modern Art Music,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239107,Florence + The Machine,What The Water Gave Me,Ceremonials,Mixed/Mixed Group,2011,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239103,Yann Tiersen,Summer 78,Good Bye Lenin!,Male/Male,2003,Soundtrack/Original Film/TV Music/General Film Music,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
456239093,Diana Vickers,The Boy Who Murdered Love,Songs From The Tainted Cherry Tree,Female/Female,2010,Pop/Western Pop/Adult Alternative Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239091,Coldplay,Square One,XaY,Male/Male Group,2005,Alternative a Punk/Brit Rock/Brit Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
456239074,Rihanna,Towards The Sun,"Towards The Sun (From The ""Home"" Soundtrack)",Female/Female,2015,Urban/Contemporary RaB/Soul/Urban Crossover,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
456239067,Rob Dougan,There's Only Me,Furious Angels,Male/Male,2002,Electronica/Dance a Club/Club Dance,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/100s
456239065,Ramona Falls,Spore,Prophet,Mixed/Mixed Group,2012,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239052,Astor Piazzolla,Libertango,Libertango,Male/Male,1974,Other/Latin Traditional/Tango,Brooding/Evocative / Intriguing,Medium Tempo/Medium Fast/90s
456239035,Caravan Palace,Violente Valse,Caravan Palace,Mixed/Mixed Group,2008,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239031,The Hoosiers,Goodbye Mr A,The Trick To Life,Male/Male Group,2007,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/90s
456239030,The Hoosiers,Worried About Ray,The Trick To Life,Male/Male Group,2007,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
456239019,Крихітка,Без імені,Без імені,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
443980448,Amanda Palmer,Astronaut,Who Killed Amanda Palmer,Female/Female,2008,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/100s
430376085,Die Form,Cantique,Best Of XXX [Disc 2],Mixed/Mixed Duo,2008,Alternative a Punk/Goth/Goth,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
428704221,Tarja Turunen,Victim Of Ritual,Colours In The Dark,Female/Female,2013,Rock/Metal/Progressive Metal,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/60s
428691497,Tarja Turunen,I Walk Alone (Live At Teatro El Círculo Rosario Argentina/2012),Act 1 (Live At Teatro El Círculo Rosario Argentina/2012) [Disc 1],Female/Female,2012,Rock/Metal/Progressive Metal,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
