id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239186,Florence + The Machine,Hurricane Drunk,Lungs,Mixed/Mixed Group,2009,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
456239180,Sarah McLachlan,Path Of Thorns,Mirrorball [Live],Female/Female,1999,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
456239161,a-ha,A Fine Blue Line,Analogue,Male/Male Group,2005,Alternative a Punk/New Wave Pop/New Wave Pop,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
456239155,Ellie Goulding,Still Falling For You,Still Falling For You [Single],Female/Female,2016,Electronica/Electronica Mainstream/Pop Electronica,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
456239140,Katie Melua,If You Were A Sailboat,Pictures,Female/Female,2007,Pop/Western Pop/Adult Contemporary,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
456239137,Christian Education Publications,I Will Be With You,Connect - Infants B1,"",2011,Other/Children's/General Children's Music,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239125,Neele Ternes,Dad (#heimkommen),Dad,Female/Female,2015,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239109,Nerina Pallot,Someday Soon,Dear Frustrated Superstar,Female/Female,2001,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239039,Hooverphonic,Amalfi,Reflection,Mixed/Mixed Group,2013,Electronica/Downtempo Lounge a Ambient/General Downtempo,Empowering/Dramatic Emotion,Medium Tempo/Medium/60s
388002356,Paramore,The Only Exception,Brand New Eyes,Mixed/Mixed Group,2009,Alternative a Punk/Alternative/Alternative Rock,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
364606536,Крихітка,Щось на зразок,Рецепт,"",2009,Alternative a Punk/Alternative/Alternative Rock,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
350893176,First Aid Kit,Winter Is All Over You,The Big Black And The Blue,Female/Female Duo,2010,Alternative a Punk/Alternative Folk/Alternative Folk,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
315488066,Darren Korb,The Spine,Transistor Original Soundtrack,Mixed/Mixed Duo,2014,Soundtrack/Game Music/Game Music,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
315487687,Darren Korb,The Spine,Transistor Original Soundtrack,Mixed/Mixed Duo,2014,Soundtrack/Game Music/Game Music,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
