id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239181,Apocalyptica Feat. Adam Gontier,I Don't Care,I Don't Care,Male/Male Group,2007,Rock/Metal/Progressive Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
456239179,R.E.M.,Bittersweet Me,New Adventures In Hi-Fi,Male/Male Group,1996,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239170,Blonde Redhead,Elephant Woman,Misery Is A Butterfly,Mixed/Mixed Group,2004,Alternative a Punk/Indie Rock/Noise Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
456239162,a-ha,Don't Do Me Any Favours,Analogue,Male/Male Group,2005,Alternative a Punk/New Wave Pop/New Wave Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/90s
456239031,The Hoosiers,Goodbye Mr A,The Trick To Life,Male/Male Group,2007,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/90s
456239030,The Hoosiers,Worried About Ray,The Trick To Life,Male/Male Group,2007,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
456239019,Крихітка,Без імені,Без імені,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
414550755,Matthew Sweet,Lost My Mind,100% Fun,Male/Male,1995,Rock/Power Pop/Power Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Slow/50s
408407908,a-ha,Objects In The Mirror,Cast In Steel,Male/Male Group,2015,Alternative a Punk/New Wave Pop/New Wave Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/110s
398964026,Blondie,Call Me,Live,Mixed/Mixed Group,1999,Alternative a Punk/New Wave Pop/New Wave Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
387556732,Florence + The Machine,Queen Of Peace,How Big How Blue How Beautiful,Mixed/Mixed Group,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
350908045,Depeche Mode,Broken,Delta Machine,Male/Male Group,2013,Alternative a Punk/Synth Pop/Synth Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
334950883,Blind,Time Is Running Out,The Fire Remains,"",2010,Pop/Western Pop/Pop Vocal,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
332820022,Morrissey,You Have Killed Me,Ringleader Of The Tormentors,Male/Male,2006,Alternative a Punk/Indie Rock/Jangle Pop,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
325526887,Metric,Sick Muse,Fantasies,Mixed/Mixed Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Brooding/Energetic Melancholy,Fast Tempo/Fast/150s
325277033,Reamonn,Faith,Reamonn,Male/Male Group,2008,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/140s
307239893,Akira Yamaoka,You're Not Here,Silent Hill 3 Soundtrack,Male/Male,2003,Soundtrack/Game Music/Game Music,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
307220715,Akira Yamaoka,You're Not Here,Silent Hill 3 Soundtrack,Male/Male,2003,Soundtrack/Game Music/Game Music,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
306222322,Texas,Summer Son,The Hush,Mixed/Mixed Group,1999,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
294492255,Miike Snow,Paddling Out,Happy To You,Male/Male Group,2012,Electronica/Electronica Mainstream/Pop Electronica,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
293965929,Andreas Johnson,Glorious,Liebling,Male/Male,2000,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
290577366,Portugal. The Man,Creep In A T-Shirt,Evil Friends,Male/Male Group,2013,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
280181593,Kings Of Leon,Closer,Only By The Night,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
271586595,Kaiser Chiefs,Bows a Arrows,Education Education Education a War,Male/Male Group,2014,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/140s
271031954,Kaiser Chiefs,The Factory Gates,Education Education Education a War,Male/Male Group,2014,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
263220913,Hooverphonic,Radio Silence,Reflection,Mixed/Mixed Group,2013,Electronica/Downtempo Lounge a Ambient/General Downtempo,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
