id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239157,London Grammar,Hey Now,If You Wait,Mixed/Mixed Group,2013,Alternative a Punk/Indie Rock/Dream Pop,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
456239089,Lemâitre Feat. Jennie A.,Closer,Closer,Mixed/Mixed Group,2015,Alternative a Punk/Synth Pop/Synth Pop,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
456239055,Julie Thompson With Dragon a Jontron,Loved (Radio Edit),Loved,"",2014,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
393698569,Mydy Rabycad,Drowning,Let Your Body Move,Mixed/Mixed Group,2013,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
386547845,The Chemical Brothers,Escape Velocity,Further,Male/Male Duo,2010,Electronica/Electronica Mainstream/Big Beat,Excited/Euphoric Energy,Fast Tempo/Fast/140s
347349407,Various Artists,In And Out Of Love,Hitzone 47 [Disc 2],"",2008,Traditional/Other Traditions/General World,Excited/Euphoric Energy,Fast Tempo/Fast/130s
340635977,Lorde,Team,Pure Heroine,Female/Female,2013,Alternative a Punk/Synth Pop/Synth Pop,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
338221449,Madonna,Hung Up,Confessions On A Dance Floor,Female/Female,2005,Pop/Western Pop/Dance Pop,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
315499373,Twenty 4 Seven Feat. Stay-C a Nance,Leave Them Alone,Slave To The Music,Male/Male Group,1993,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
294511809,White Sea,Flash,In Cold Blood,Female/Female,2014,Electronica/Electronica Mainstream/Pop Electronica,Excited/Euphoric Energy,Fast Tempo/Fast/140s
280837639,CHVRCHES,Recover,The Bones Of What You Believe,Mixed/Mixed Group,2013,Alternative a Punk/Synth Pop/Synth Pop,Excited/Euphoric Energy,Fast Tempo/Fast/160s
265335739,Pnau,Embrace,Pnau,Male/Male Duo,2011,Electronica/Electronica Mainstream/Pop Electronica,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
254178749,Panic! At The Disco,Nicotine,Too Weird To Live Too Rare To Die!,Male/Male Group,2013,Alternative a Punk/Punk/Pop Punk,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
250317316,NONONO,Pumpin Blood,We Are Only What We Feel,Mixed/Mixed Group,2014,Alternative a Punk/Indie Rock/General Indie Rock,Excited/Euphoric Energy,Medium Tempo/Medium Fast/110s
239476800,Tim McMorris,Give Our Dreams Their Wings to Fly,Alive,Male/Male,2014,Pop/Western Pop/Adult Alternative Pop,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
228103905,Groove Armada,Easy,Lovebox,Male/Male Duo,2002,Electronica/Electronica Mainstream/Big Beat,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
226808404,Icona Pop,All Night,This Is... Icona Pop,Female/Female Duo,2013,Electronica/Electronica Mainstream/Pop Electronica,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
215311469,Armin Van Buuren Feat. Lauren Evans,Alone,Alone,Mixed/Mixed Duo,2010,Electronica/House/Progressive House,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
