id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239034,Caravan Palace,Dragons,Caravan Palace,Mixed/Mixed Group,2008,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
443985873,Metric,Soft Rock Star,Grow Up and Blow Away,Mixed/Mixed Group,2007,Alternative a Punk/Indie Rock/Post-Punk Revival,Excited/Upbeat Pop Groove,Medium Tempo/Medium/80s
388554389,Florence + The Machine,Rabbit Heart (Raise It Up),Lungs,Mixed/Mixed Group,2009,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/110s
342128570,Roxette,Real Sugar,Room Service,Mixed/Mixed Duo,2001,Rock/70's Rock/Classic Pop-Rock,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
300194070,Glenn Morrison Feat. Islove,Goodbye [Radio Edit],Goodbye [Single],Male/Male Duo,2013,Electronica/Electronica Mainstream/Pop Electronica,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
226807679,Stabilo,Everybody,Happiness a Disaster,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Excited/Upbeat Pop Groove,Medium Tempo/Medium/70s
177384709,Snow Patrol,Called Out In The Dark,Fallen Empires,Male/Male Group,2011,Alternative a Punk/Brit Rock/Brit Rock,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
177156757,Armin Van Buuren Vs. Sophie Ellis Bextor,Not Giving Up On Love [Radio Version],Not Giving Up On Love [Single],Mixed/Mixed Duo,2010,Electronica/Trance/Trance,Excited/Upbeat Pop Groove,Fast Tempo/Fast/130s
170643732,God Help The Girl,Baby You're Blind,Baby You're Blind,Mixed/Mixed Group,2010,Alternative a Punk/Indie Rock/Twee Pop,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/100s
143447521,IAMX,The Negative Sex,The Alternative,Male/Male Group,2006,Alternative a Punk/Indie Rock/Post-Punk Revival,Excited/Upbeat Pop Groove,Fast Tempo/Fast/130s
73019243,Lily Allen,Not Fair,It's Not Me It's You,Female/Female,2009,Alternative a Punk/Synth Pop/Synth Pop,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
