id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239053,Household Name Records,Life Jacket Water Wings,Household-Name-Records,"",2004,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Positive Excitement,Fast Tempo/Fast/170s
424472575,COOLaCREATE,レザマリでもつらくないっ!,drizzly train,Mixed/Mixed Duo,2006,Soundtrack/Game Music/Game Music,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
372362285,The Fratellis,Chelsea Dagger,Costello Music,Male/Male Group,2006,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
366177758,The Exies,Stray,A Modern Way Of Living With The Truth,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
305509832,Blondie,One Way Or Another,Parallel Lines,Mixed/Mixed Group,2001,Alternative a Punk/New Wave Pop/New Wave Pop,Defiant/Hard Positive Excitement,Fast Tempo/Fast/160s
302594309,System Of A Down,Kill Rock 'n Roll,Hypnotize,Male/Male Group,2005,Rock/Metal/Nu-Metal,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/90s
302593613,System Of A Down,Sad Statue,Mezmerize,Male/Male Group,2005,Rock/Metal/Nu-Metal,Defiant/Hard Positive Excitement,Fast Tempo/Fast/160s
244557359,Hollywood Undead,Levitate [Rock Mix],Levitate [Rock Mix],Male/Male Group,2011,Rock/Metal/Rap Metal,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/120s
213419691,Guyz Nite,Die Hard,Guyz Nite Meanz Everything / Bachelor Party Campout,"",2007,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/90s
181686305,Oasis,Falling Down (The Prodigy Version),Falling Down,Male/Male Group,2009,Alternative a Punk/Brit Pop/Brit Pop,Defiant/Hard Positive Excitement,Fast Tempo/Fast/130s
161426900,McFly,Five Colours In Her Hair,Room On The 3rd Floor,Male/Male Group,2004,Alternative a Punk/Punk/Pop Punk,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/90s
136967729,The Kooks,Be Mine,Inside In/Inside Out,Male/Male Group,2006,Alternative a Punk/Indie Rock/Indie Pop,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/90s
75206521,Fall Out Boy,Our Lawyer Made Us Change The Name Of This Song So We Wouldn't Get Sued,From Under The Cork Tree,Male/Male Group,2005,Alternative a Punk/Emo a Hardcore/Emo,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
42828703,Take That,Shine,Beautiful World,Male/Male Group,2006,Pop/Western Pop/Teen Boy Band,Defiant/Hard Positive Excitement,Medium Tempo/Medium Fast/90s
