id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239188,The Rasmus,First Day Of My Life,Dead Letters,Male/Male Group,2003,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
456239185,The Rasmus,Immortal,Hide From The Sun,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239184,The Rasmus,Night After Night (Out Of The Shadows),Hide From The Sun,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
456239183,The Rasmus,Lucifer's Angel,Hide From The Sun,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239113,Theatre Of Tragedy,City Of Light,Musique,Mixed/Mixed Group,2000,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
456239110,Material,Life Vest,Everything I Want To Say,Male/Male Group,2013,Alternative a Punk/Indie Rock/No Wave,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239108,Florence + The Machine,Seven Devils,Ceremonials,Mixed/Mixed Group,2011,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Defiant/Heavy Brooding,Medium Tempo/Medium Slow/50s
456239054,DOROTHY,Raise Hell,Rockisdead,Female/Female Duo,2016,Alternative a Punk/Alternative/Alternative Dance,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239047,Carpenter Brut,Escape From Midwich Valley,EP I,Male/Male,2014,Alternative a Punk/Synth Pop/Synth Pop,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
443450694,Hedged,Every Time I Call,Serving Time,"",2008,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
435603463,KONAMI,Shot Down in Flames,SILENT HILL ZERO ORIGINAL SOUNDTRACK,Unknown/Other,2008,Soundtrack/Game Music/Game Music,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
431790277,Tarja Turunen,In For A Kill,What Lies Beneath [Disc 1],Female/Female,2010,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
425243254,O. Children,Ruins,Ruins [Single],"",2010,Alternative a Punk/Indie Rock/General Indie Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
425073146,Nik Page,Voices from Outer Space,Rocketqueen,"",2009,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
414963202,The Neighbourhood,Afraid,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
414567787,Helloween,Stay Crazy,My God-Given Right,Male/Male Group,2015,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
408688668,Powerwolf,Sanctified with Dynamite,Blood of the Saints,Male/Male Group,2011,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
